round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1, 0, 2113.740374326706
1, 0, 0.1, 0, 4333.703336238861
2, 0, 0.1279, 0, 6323.222212791443
3, 0, 0.1163, 0, 8077.242163181305
4, 0, 0.182, 0, 9815.259868860245
5, 0, 0.2302, 0, 11544.738728284836
6, 0, 0.2508, 0, 13286.174301147461
7, 0, 0.3011, 0, 15004.423688411713
8, 0, 0.3432, 0, 16681.79438996315
9, 0, 0.3498, 0, 18110.24217748642
10, 0, 0.3585, 0, 19404.32714653015
11, 0, 0.4004, 0, 20727.071330070496
12, 0, 0.4121, 0, 22128.899419784546
13, 0, 0.4223, 0, 23552.373824357986
14, 0, 0.4228, 0, 24975.71410369873
15, 0, 0.4454, 0, 26398.98110628128
16, 0, 0.4478, 0, 27819.223222494125
17, 0, 0.4595, 0, 29249.508890867233
18, 0, 0.4667, 0, 30677.81326508522
19, 0, 0.4725, 0, 32119.623625278473
20, 0, 0.4754, 0, 33579.905359983444
21, 0, 0.4853, 0, 35059.33680272102
22, 0, 0.4857, 0, 36791.09319496155
23, 0, 0.4963, 0, 38786.12249469757
24, 0, 0.496, 0, 40771.876371622086
25, 0, 0.5019, 0, 42781.16957640648
26, 0, 0.4988, 0, 44860.804953575134
27, 0, 0.5118, 0, 46960.687274456024
28, 0, 0.5119, 0, 49055.23137688637
29, 0, 0.5197, 0, 50941.97910666466
30, 0, 0.526, 0, 52383.86454319954
31, 0, 0.5279, 0, 53807.27250981331
32, 0, 0.5369, 0, 55282.96067547798
33, 0, 0.5309, 0, 56880.96724772453
34, 0, 0.5263, 0, 58477.27519822121
35, 0, 0.5422, 0, 60068.67779588699
36, 0, 0.5451, 0, 61568.16364121437
37, 0, 0.545, 0, 63060.09757423401
38, 0, 0.5478, 0, 64556.14170265198
39, 0, 0.5448, 0, 66055.78879857063
40, 0, 0.5552, 0, 67550.58705615997
41, 0, 0.5557, 0, 69054.5792798996
42, 0, 0.5527, 0, 70588.97701239586
43, 0, 0.5587, 0, 72134.25846529007
44, 0, 0.5536, 0, 73679.25636863708
45, 0, 0.5564, 0, 75226.74541258812
46, 0, 0.5611, 0, 76747.85575222969
47, 0, 0.56, 0, 78249.86405467987
48, 0, 0.5698, 0, 79743.16142296791
49, 0, 0.5699, 0, 81232.4389052391
