,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.1,0,0
1,1,10,0,0.1,0,0
2,2,10,0,0.1198,0,0
3,3,10,0,0.2273,0,0
4,4,10,0,0.264,0,0
5,5,10,0,0.3141,0,0
6,6,10,0,0.3359,0,0
7,7,10,0,0.3548,0,0
8,8,10,0,0.3748,0,0
9,9,10,0,0.3892,0,0
10,10,10,0,0.4018,0,0
11,11,10,0,0.4139,0,0
12,12,10,0,0.4216,0,0
13,13,10,0,0.4302,0,0
14,14,10,0,0.4395,0,0
15,15,10,0,0.4443,0,0
16,16,10,0,0.456,0,0
17,17,10,0,0.4549,0,0
18,18,10,0,0.4537,0,0
19,19,10,0,0.4751,0,0
20,20,10,0,0.4703,0,0
21,21,10,0,0.4785,0,0
22,22,10,0,0.4884,0,0
23,23,10,0,0.491,0,0
24,24,10,0,0.4914,0,0
25,25,10,0,0.4973,0,0
26,26,10,0,0.5013,0,0
27,27,10,0,0.4948,0,0
28,28,10,0,0.5082,0,0
29,29,10,0,0.5062,0,0
30,30,10,0,0.5112,0,0
31,31,10,0,0.5133,0,0
32,32,10,0,0.5155,0,0
33,33,10,0,0.5247,0,0
34,34,10,0,0.5253,0,0
35,35,10,0,0.5213,0,0
36,36,10,0,0.5346,0,0
37,37,10,0,0.533,0,0
38,38,10,0,0.5337,0,0
39,39,10,0,0.5315,0,0
40,40,10,0,0.5323,0,0
41,41,10,0,0.5405,0,0
42,42,10,0,0.535,0,0
43,43,10,0,0.5373,0,0
44,44,10,0,0.5424,0,0
45,45,10,0,0.5442,0,0
46,46,10,0,0.5407,0,0
47,47,10,0,0.5447,0,0
48,48,10,0,0.5485,0,0
49,49,10,0,0.5507,0,0
