round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1062, 0, 12334.844075918198
1, 0, 0.2477, 0, 24210.06336736679
2, 0, 0.3051, 0, 36154.38304114342
3, 0, 0.4067, 0, 47538.88994574547
4, 0, 0.4542, 0, 59837.33918809891
5, 0, 0.4853, 0, 71774.91930937767
6, 0, 0.5174, 0, 82888.20675730705
7, 0, 0.5374, 0, 93949.42856168747
8, 0, 0.5517, 0, 105031.14249563217
9, 0, 0.5701, 0, 115644.15632796288
10, 0, 0.5782, 0, 126195.16444277763
11, 0, 0.579, 0, 137039.20054149628
12, 0, 0.6006, 0, 147887.89897680283
13, 0, 0.6039, 0, 159140.59841895103
14, 0, 0.6086, 0, 170310.655990839
15, 0, 0.6171, 0, 180299.40221858025
16, 0, 0.6205, 0, 190514.90552258492
17, 0, 0.6206, 0, 200620.74218177795
18, 0, 0.6278, 0, 210106.46990704536
19, 0, 0.6313, 0, 218391.98390197754
20, 0, 0.6301, 0, 228500.92326426506
21, 0, 0.6324, 0, 238182.91246294975
22, 0, 0.6344, 0, 248331.96157550812
23, 0, 0.631, 0, 258388.2625887394
