,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,20,0,0.1011,0,0
1,1,20,0,0.1135,0,0
2,2,20,0,0.2355,0,0
3,3,20,0,0.3581,0,0
4,4,20,0,0.4106,0,0
5,5,20,0,0.4341,0,0
6,6,20,0,0.4461,0,0
7,7,20,0,0.4859,0,0
8,8,20,0,0.5011,0,0
9,9,20,0,0.5149,0,0
10,10,20,0,0.5343,0,0
11,11,20,0,0.5305,0,0
12,12,20,0,0.5447,0,0
13,13,20,0,0.5589,0,0
14,14,20,0,0.5577,0,0
15,15,20,0,0.5761,0,0
16,16,20,0,0.5719,0,0
17,17,20,0,0.5763,0,0
18,18,20,0,0.5828,0,0
19,19,20,0,0.5771,0,0
20,20,20,0,0.5906,0,0
21,21,20,0,0.5756,0,0
22,22,20,0,0.5937,0,0
23,23,20,0,0.5828,0,0
24,24,20,0,0.5852,0,0
25,25,20,0,0.5899,0,0
26,26,20,0,0.5905,0,0
27,27,20,0,0.5861,0,0
28,28,20,0,0.6,0,0
29,29,20,0,0.6087,0,0
30,30,20,0,0.6008,0,0
31,31,20,0,0.5992,0,0
32,32,20,0,0.6153,0,0
33,33,20,0,0.603,0,0
34,34,20,0,0.6071,0,0
35,35,20,0,0.5997,0,0
36,36,20,0,0.6073,0,0
37,37,20,0,0.6071,0,0
38,38,20,0,0.6164,0,0
39,39,20,0,0.6077,0,0
40,40,20,0,0.6067,0,0
41,41,20,0,0.6134,0,0
42,42,20,0,0.6141,0,0
43,43,20,0,0.6189,0,0
44,44,20,0,0.6115,0,0
45,45,20,0,0.6122,0,0
46,46,20,0,0.6035,0,0
47,47,20,0,0.6045,0,0
48,48,20,0,0.6098,0,0
49,49,20,0,0.617,0,0
