,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,20,0,0.1,0,0
1,1,20,0,0.2568,0,0
2,2,20,0,0.3399,0,0
3,3,20,0,0.3906,0,0
4,4,20,0,0.4062,0,0
5,5,20,0,0.4188,0,0
6,6,20,0,0.4192,0,0
7,7,20,0,0.4511,0,0
8,8,20,0,0.4717,0,0
9,9,20,0,0.4626,0,0
10,10,20,0,0.4796,0,0
11,11,20,0,0.4713,0,0
12,12,20,0,0.4853,0,0
13,13,20,0,0.4958,0,0
14,14,20,0,0.487,0,0
15,15,20,0,0.4659,0,0
16,16,20,0,0.4989,0,0
17,17,20,0,0.5123,0,0
18,18,20,0,0.5121,0,0
19,19,20,0,0.5054,0,0
20,20,20,0,0.5255,0,0
21,21,20,0,0.507,0,0
22,22,20,0,0.504,0,0
23,23,20,0,0.5181,0,0
24,24,20,0,0.5295,0,0
25,25,20,0,0.5278,0,0
26,26,20,0,0.5239,0,0
27,27,20,0,0.5183,0,0
28,28,20,0,0.5308,0,0
29,29,20,0,0.5312,0,0
30,30,20,0,0.5242,0,0
31,31,20,0,0.5249,0,0
32,32,20,0,0.5196,0,0
33,33,20,0,0.5319,0,0
34,34,20,0,0.5189,0,0
35,35,20,0,0.5212,0,0
36,36,20,0,0.5148,0,0
37,37,20,0,0.5368,0,0
38,38,20,0,0.5322,0,0
39,39,20,0,0.5478,0,0
40,40,20,0,0.5406,0,0
41,41,20,0,0.5486,0,0
42,42,20,0,0.5477,0,0
43,43,20,0,0.5441,0,0
44,44,20,0,0.5447,0,0
45,45,20,0,0.5219,0,0
46,46,20,0,0.5396,0,0
47,47,20,0,0.531,0,0
48,48,20,0,0.5588,0,0
49,49,20,0,0.55,0,0
