round, train_acc, test_acc, f1, time_stamp
0, 0.01302, 0.0126, 0.0126, 177.27690434455872
1, 0.03478, 0.0369, 0.0369, 355.6539030075073
2, 0.05444, 0.0553, 0.0553, 531.8047080039978
3, 0.07062, 0.0729, 0.0729, 706.7422258853912
4, 0.07948, 0.0857, 0.0857, 881.0685129165649
5, 0.0863, 0.092, 0.092, 1056.165076494217
6, 0.09556, 0.0976, 0.0976, 1229.8782320022583
7, 0.0921, 0.0991, 0.0991, 1405.5161671638489
8, 0.10168, 0.1043, 0.1043, 1582.6715633869171
9, 0.08424, 0.0858, 0.0858, 1760.0419204235077
10, 0.1029, 0.1071, 0.1071, 1935.8907616138458
11, 0.10922, 0.1127, 0.1127, 2112.3706510066986
12, 0.1131, 0.1174, 0.1174, 2289.129157304764
13, 0.11736, 0.121, 0.121, 2464.6123666763306
14, 0.11656, 0.1215, 0.1215, 2636.4474601745605
15, 0.11632, 0.1207, 0.1207, 2806.220805168152
16, 0.01, 0.01, 0.01, 2976.012316942215
17, 0.01, 0.01, 0.01, 3146.18301820755
18, 0.01, 0.01, 0.01, 3315.2292578220367
19, 0.01, 0.01, 0.01, 3484.451195716858
20, 0.01, 0.01, 0.01, 3651.7518997192383
21, 0.01, 0.01, 0.01, 3820.496554851532
22, 0.01, 0.01, 0.01, 3994.006539583206
23, 0.01, 0.01, 0.01, 4172.529541730881
24, 0.01, 0.01, 0.01, 4352.3991713523865
25, 0.01, 0.01, 0.01, 4529.852526664734
26, 0.01, 0.01, 0.01, 4707.856290102005
27, 0.01, 0.01, 0.01, 4890.38347530365
28, 0.01, 0.01, 0.01, 5075.195691823959
29, 0.01, 0.01, 0.01, 5255.910467863083
30, 0.01, 0.01, 0.01, 5439.9794046878815
31, 0.01, 0.01, 0.01, 5625.692282676697
32, 0.01, 0.01, 0.01, 5810.7348663806915
33, 0.01, 0.01, 0.01, 5995.700585365295
34, 0.01, 0.01, 0.01, 6175.5143530368805
35, 0.01, 0.01, 0.01, 6358.844228506088
36, 0.01, 0.01, 0.01, 6541.6061635017395
37, 0.01, 0.01, 0.01, 6719.195731163025
38, 0.01, 0.01, 0.01, 6891.40229177475
39, 0.01, 0.01, 0.01, 7058.656243562698
40, 0.01, 0.01, 0.01, 7225.747576713562
41, 0.01, 0.01, 0.01, 7396.543853998184
42, 0.01, 0.01, 0.01, 7569.502896785736
43, 0.01, 0.01, 0.01, 7735.507681846619
44, 0.01, 0.01, 0.01, 7899.563053369522
45, 0.01, 0.01, 0.01, 8064.9798085689545
46, 0.01, 0.01, 0.01, 8231.801995038986
47, 0.01, 0.01, 0.01, 8397.766886234283
48, 0.01, 0.01, 0.01, 8569.51289987564
49, 0.01, 0.01, 0.01, 8743.897577524185
