,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.0369,0,0
1,1,10,0,0.0907,0,0
2,2,10,0,0.1213,0,0
3,3,10,0,0.1554,0,0
4,4,10,0,0.1812,0,0
5,5,10,0,0.1961,0,0
6,6,10,0,0.2089,0,0
7,7,10,0,0.216,0,0
8,8,10,0,0.2263,0,0
9,9,10,0,0.2288,0,0
10,10,10,0,0.2382,0,0
11,11,10,0,0.2429,0,0
12,12,10,0,0.2453,0,0
13,13,10,0,0.2516,0,0
14,14,10,0,0.2503,0,0
15,15,10,0,0.2495,0,0
16,16,10,0,0.2493,0,0
17,17,10,0,0.2607,0,0
18,18,10,0,0.2578,0,0
19,19,10,0,0.259,0,0
20,20,10,0,0.2683,0,0
21,21,10,0,0.2656,0,0
22,22,10,0,0.2602,0,0
23,23,10,0,0.2674,0,0
24,24,10,0,0.2656,0,0
25,25,10,0,0.2641,0,0
26,26,10,0,0.269,0,0
27,27,10,0,0.2653,0,0
28,28,10,0,0.2641,0,0
29,29,10,0,0.268,0,0
30,30,10,0,0.2698,0,0
31,31,10,0,0.272,0,0
32,32,10,0,0.2746,0,0
33,33,10,0,0.2718,0,0
34,34,10,0,0.2741,0,0
35,35,10,0,0.2713,0,0
36,36,10,0,0.2734,0,0
37,37,10,0,0.2707,0,0
38,38,10,0,0.2784,0,0
39,39,10,0,0.2813,0,0
40,40,10,0,0.2792,0,0
41,41,10,0,0.2753,0,0
42,42,10,0,0.2796,0,0
43,43,10,0,0.2798,0,0
44,44,10,0,0.2743,0,0
45,45,10,0,0.2794,0,0
46,46,10,0,0.2835,0,0
47,47,10,0,0.2768,0,0
48,48,10,0,0.2805,0,0
49,49,10,0,0.281,0,0
