round, train_acc, test_acc, f1, time_stamp
0, 0, 0.0369, 0, 5928.220668077469
1, 0, 0.0907, 0, 12252.04807639122
2, 0, 0.1213, 0, 18393.4245057106
3, 0, 0.1554, 0, 24427.751425504684
4, 0, 0.1812, 0, 30274.572151184082
5, 0, 0.1961, 0, 36634.67726635933
6, 0, 0.2089, 0, 42854.88634490967
7, 0, 0.216, 0, 48738.60297846794
8, 0, 0.2263, 0, 54010.90048241615
9, 0, 0.2288, 0, 60050.96908760071
10, 0, 0.2382, 0, 66255.24805474281
11, 0, 0.2429, 0, 72738.82764935493
12, 0, 0.2453, 0, 78894.55263900757
13, 0, 0.2516, 0, 84970.54531979561
14, 0, 0.2503, 0, 90992.85634446144
15, 0, 0.2495, 0, 96453.35590839386
16, 0, 0.2493, 0, 101505.61837697029
17, 0, 0.2607, 0, 105742.25766539574
18, 0, 0.2578, 0, 110565.53256773949
19, 0, 0.259, 0, 115334.79664182663
20, 0, 0.2683, 0, 120775.19317531586
21, 0, 0.2656, 0, 126282.28670525551
22, 0, 0.2602, 0, 131027.26105618477
23, 0, 0.2674, 0, 135976.19811153412
24, 0, 0.2656, 0, 141218.87311840057
25, 0, 0.2641, 0, 145542.2863457203
26, 0, 0.269, 0, 150830.45100164413
27, 0, 0.2653, 0, 156246.60455083847
28, 0, 0.2641, 0, 163773.72669672966
29, 0, 0.268, 0, 171687.9668123722
30, 0, 0.2698, 0, 179954.4836988449
31, 0, 0.272, 0, 187915.03922867775
32, 0, 0.2746, 0, 195609.3801176548
33, 0, 0.2718, 0, 204035.12758159637
34, 0, 0.2741, 0, 212219.9199461937
35, 0, 0.2713, 0, 219762.61590099335
36, 0, 0.2734, 0, 227841.74883317947
37, 0, 0.2707, 0, 235724.66749334335
38, 0, 0.2784, 0, 244100.13467860222
39, 0, 0.2813, 0, 251980.1436765194
40, 0, 0.2792, 0, 259800.73960399628
41, 0, 0.2753, 0, 267231.556756258
42, 0, 0.2796, 0, 275581.6008915901
43, 0, 0.2798, 0, 283134.2724978924
44, 0, 0.2743, 0, 290382.7000787258
45, 0, 0.2794, 0, 298128.1664135456
46, 0, 0.2835, 0, 306363.00453972816
47, 0, 0.2768, 0, 314298.70651364326
48, 0, 0.2805, 0, 321737.24167895317
49, 0, 0.281, 0, 330181.43550372124
