round, train_acc, test_acc, f1, time_stamp
0, 0, 0.0275, 0, 16407.500857830048
1, 0, 0.1077, 0, 32650.33455514908
2, 0, 0.154, 0, 48426.39914870262
3, 0, 0.1904, 0, 64783.87694954872
4, 0, 0.2058, 0, 81558.47956252098
5, 0, 0.21, 0, 97174.57531809807
6, 0, 0.2193, 0, 112402.54695510864
7, 0, 0.22, 0, 126783.35787439346
8, 0, 0.2228, 0, 140367.1098971367
9, 0, 0.2301, 0, 155261.302485466
10, 0, 0.2347, 0, 170856.36846899986
11, 0, 0.2327, 0, 187755.5080423355
12, 0, 0.2392, 0, 206790.00793242455
13, 0, 0.2429, 0, 224407.23645043373
14, 0, 0.2366, 0, 242692.6012585163
15, 0, 0.2437, 0, 259449.0694026947
16, 0, 0.2462, 0, 276893.17661595345
17, 0, 0.2453, 0, 294652.9777724743
18, 0, 0.2477, 0, 312237.44035959244
19, 0, 0.2494, 0, 329602.6556522846
