,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,20,0.8270166666666666,0.8381,0.8381,"[[928, 1, 36, 8, 0, 2, 1, 1, 3, 0], [0, 1128, 4, 1, 0, 0, 2, 0, 0, 0], [2, 21, 988, 4, 3, 0, 11, 2, 0, 1], [0, 9, 53, 942, 0, 0, 1, 3, 0, 2], [1, 26, 5, 1, 902, 0, 14, 0, 0, 33], [10, 38, 14, 208, 10, 569, 23, 1, 12, 7], [24, 44, 36, 0, 10, 7, 837, 0, 0, 0], [1, 52, 64, 33, 4, 0, 0, 823, 0, 51], [8, 114, 105, 234, 12, 15, 18, 9, 421, 38], [11, 43, 15, 29, 53, 1, 0, 14, 0, 843]]"
1,1,20,0.9429,0.9468,0.9468,"[[962, 1, 1, 0, 0, 3, 10, 1, 2, 0], [0, 1126, 4, 2, 0, 0, 3, 0, 0, 0], [6, 4, 989, 7, 4, 0, 8, 10, 4, 0], [1, 1, 15, 975, 0, 7, 0, 5, 5, 1], [0, 5, 2, 0, 931, 0, 14, 0, 2, 28], [3, 3, 0, 34, 1, 830, 15, 1, 1, 4], [8, 4, 1, 0, 6, 4, 935, 0, 0, 0], [1, 12, 34, 4, 3, 1, 0, 957, 1, 15], [6, 18, 11, 32, 8, 17, 23, 13, 826, 20], [9, 11, 5, 14, 19, 5, 0, 8, 1, 937]]"
2,2,20,0.96335,0.9662,0.9662,"[[968, 0, 1, 0, 0, 1, 5, 1, 4, 0], [0, 1127, 3, 1, 0, 0, 3, 0, 1, 0], [7, 2, 995, 6, 1, 0, 5, 9, 7, 0], [1, 0, 8, 985, 0, 3, 0, 4, 6, 3], [0, 1, 3, 0, 949, 0, 12, 1, 2, 14], [3, 1, 0, 19, 1, 855, 11, 1, 0, 1], [6, 3, 1, 0, 6, 4, 938, 0, 0, 0], [1, 9, 26, 3, 0, 0, 0, 980, 2, 7], [7, 2, 2, 14, 6, 8, 11, 7, 908, 9], [6, 9, 1, 10, 14, 5, 0, 5, 2, 957]]"
3,3,20,0.9701333333333333,0.9725,0.9725,"[[970, 1, 1, 0, 0, 1, 3, 1, 3, 0], [0, 1127, 3, 1, 0, 1, 3, 0, 0, 0], [7, 1, 1001, 6, 0, 0, 2, 9, 6, 0], [1, 0, 5, 991, 0, 3, 0, 4, 4, 2], [0, 1, 3, 0, 955, 0, 8, 1, 2, 12], [3, 1, 0, 16, 1, 860, 10, 1, 0, 0], [7, 3, 1, 0, 3, 3, 941, 0, 0, 0], [1, 4, 21, 3, 0, 0, 0, 991, 1, 7], [8, 0, 2, 10, 5, 6, 7, 6, 920, 10], [7, 7, 0, 8, 9, 4, 0, 5, 0, 969]]"
4,4,20,0.9743666666666667,0.9752,0.9752,"[[969, 1, 1, 0, 0, 0, 4, 1, 3, 1], [0, 1127, 3, 1, 0, 1, 2, 1, 0, 0], [6, 1, 1005, 5, 0, 0, 2, 8, 5, 0], [1, 0, 5, 993, 0, 2, 0, 3, 4, 2], [1, 1, 2, 0, 959, 0, 6, 1, 2, 10], [3, 1, 0, 14, 1, 863, 9, 1, 0, 0], [7, 3, 1, 0, 1, 4, 942, 0, 0, 0], [1, 4, 18, 5, 0, 0, 0, 996, 1, 3], [6, 0, 2, 9, 5, 5, 7, 5, 928, 7], [6, 8, 0, 8, 9, 3, 0, 5, 0, 970]]"
5,5,20,0.9771333333333333,0.9773,0.9773,"[[968, 1, 1, 0, 0, 0, 4, 1, 3, 2], [0, 1127, 3, 1, 0, 1, 1, 2, 0, 0], [6, 1, 1008, 4, 0, 0, 2, 7, 4, 0], [1, 0, 4, 993, 0, 3, 0, 3, 4, 2], [1, 1, 2, 0, 960, 0, 6, 1, 2, 9], [3, 0, 0, 13, 1, 866, 8, 1, 0, 0], [7, 2, 1, 0, 1, 3, 944, 0, 0, 0], [1, 5, 17, 3, 0, 0, 0, 997, 1, 4], [7, 0, 1, 5, 4, 4, 4, 6, 936, 7], [6, 7, 0, 7, 7, 3, 0, 5, 0, 974]]"
6,6,20,0.9785,0.9784,0.9784,"[[967, 1, 1, 0, 0, 0, 4, 2, 3, 2], [0, 1127, 3, 1, 0, 1, 1, 2, 0, 0], [6, 1, 1010, 4, 0, 0, 2, 7, 2, 0], [2, 0, 3, 994, 0, 4, 0, 3, 3, 1], [0, 1, 2, 0, 965, 0, 4, 1, 2, 7], [3, 0, 0, 13, 1, 866, 7, 1, 1, 0], [7, 2, 0, 0, 1, 3, 945, 0, 0, 0], [1, 4, 16, 3, 0, 0, 0, 998, 1, 5], [6, 0, 1, 5, 4, 4, 4, 5, 940, 5], [5, 7, 0, 8, 8, 4, 0, 5, 0, 972]]"
7,7,20,0.9799833333333333,0.9795,0.9795,"[[967, 1, 1, 0, 0, 0, 4, 2, 3, 2], [0, 1127, 3, 1, 0, 1, 1, 2, 0, 0], [6, 1, 1010, 4, 0, 0, 2, 7, 2, 0], [2, 0, 3, 995, 0, 5, 0, 2, 2, 1], [0, 0, 2, 0, 965, 0, 4, 2, 2, 7], [3, 0, 0, 13, 1, 866, 7, 1, 1, 0], [7, 2, 0, 0, 1, 3, 945, 0, 0, 0], [1, 3, 15, 3, 0, 0, 0, 1000, 1, 5], [6, 0, 1, 2, 4, 4, 3, 5, 944, 5], [4, 6, 0, 8, 8, 2, 0, 5, 0, 976]]"
8,8,20,0.98075,0.9805,0.9805,"[[967, 1, 1, 0, 0, 0, 4, 2, 3, 2], [0, 1128, 2, 1, 0, 1, 1, 2, 0, 0], [6, 1, 1013, 1, 0, 0, 2, 7, 2, 0], [2, 0, 2, 996, 0, 5, 0, 2, 2, 1], [0, 0, 2, 0, 968, 0, 3, 2, 1, 6], [3, 0, 0, 12, 1, 866, 6, 1, 1, 2], [7, 2, 0, 0, 1, 3, 945, 0, 0, 0], [1, 4, 14, 3, 0, 0, 0, 1001, 1, 4], [6, 0, 1, 3, 4, 4, 3, 5, 943, 5], [4, 6, 0, 5, 7, 4, 0, 5, 0, 978]]"
9,9,20,0.9816666666666667,0.9809,0.9809,"[[967, 1, 1, 0, 0, 0, 4, 2, 3, 2], [0, 1129, 1, 1, 0, 1, 1, 2, 0, 0], [6, 2, 1012, 2, 0, 0, 2, 6, 2, 0], [2, 0, 2, 996, 0, 5, 0, 2, 2, 1], [1, 0, 2, 0, 967, 0, 3, 2, 1, 6], [2, 0, 0, 11, 0, 869, 6, 1, 1, 2], [6, 2, 0, 0, 1, 3, 946, 0, 0, 0], [1, 4, 14, 3, 0, 0, 0, 1000, 1, 5], [5, 0, 1, 4, 3, 4, 3, 5, 945, 4], [4, 6, 0, 5, 7, 4, 0, 5, 0, 978]]"
10,10,20,0.98295,0.9815,0.9815,"[[967, 1, 1, 0, 0, 0, 4, 2, 3, 2], [0, 1129, 1, 1, 0, 1, 1, 2, 0, 0], [3, 2, 1014, 3, 0, 0, 2, 5, 3, 0], [2, 0, 2, 996, 0, 5, 0, 2, 2, 1], [1, 0, 2, 0, 967, 0, 2, 3, 1, 6], [2, 0, 0, 10, 0, 871, 5, 1, 1, 2], [6, 2, 0, 0, 1, 4, 945, 0, 0, 0], [1, 4, 13, 3, 0, 0, 0, 1001, 1, 5], [5, 0, 1, 4, 3, 3, 2, 4, 948, 4], [4, 6, 0, 6, 7, 4, 0, 5, 0, 977]]"
11,11,20,0.9834166666666667,0.9817,0.9817,"[[967, 1, 1, 0, 0, 0, 4, 2, 3, 2], [0, 1129, 1, 1, 0, 1, 1, 2, 0, 0], [4, 2, 1013, 3, 0, 0, 2, 5, 3, 0], [2, 0, 2, 995, 0, 6, 0, 2, 2, 1], [0, 0, 2, 0, 969, 0, 2, 3, 0, 6], [1, 0, 0, 10, 0, 871, 6, 1, 1, 2], [7, 2, 0, 0, 1, 4, 944, 0, 0, 0], [1, 3, 12, 3, 0, 0, 0, 1004, 1, 4], [5, 0, 1, 4, 3, 3, 3, 4, 947, 4], [4, 6, 0, 5, 6, 5, 0, 5, 0, 978]]"
12,12,20,0.9838333333333333,0.9821,0.9821,"[[968, 0, 1, 0, 0, 0, 4, 2, 3, 2], [0, 1129, 1, 1, 0, 1, 1, 2, 0, 0], [4, 2, 1013, 3, 0, 0, 2, 5, 3, 0], [2, 0, 2, 995, 0, 6, 0, 2, 2, 1], [0, 0, 2, 0, 969, 0, 2, 3, 0, 6], [1, 0, 0, 10, 0, 872, 5, 1, 1, 2], [7, 2, 0, 0, 1, 4, 944, 0, 0, 0], [1, 4, 13, 3, 0, 0, 0, 1001, 1, 5], [6, 1, 1, 3, 3, 3, 1, 4, 948, 4], [4, 6, 0, 4, 5, 3, 0, 5, 0, 982]]"
