round, train_acc, test_acc, f1, time_stamp
0, 0, 0.9007, 0, 2246.8999950885773
1, 0, 0.9732, 0, 4910.795467376709
2, 0, 0.9801, 0, 7528.505870580673
3, 0, 0.9835, 0, 10316.435489177704
4, 0, 0.9845, 0, 12958.089638233185
5, 0, 0.9852, 0, 15791.089317321777
6, 0, 0.9859, 0, 18544.02961039543
7, 0, 0.9867, 0, 21414.315024614334
8, 0, 0.9867, 0, 23718.497652053833
9, 0, 0.9872, 0, 26177.49873995781
10, 0, 0.9862, 0, 28770.791766166687
11, 0, 0.9868, 0, 31431.241765260696
12, 0, 0.9871, 0, 34009.911455869675
13, 0, 0.9869, 0, 36645.06346154213
14, 0, 0.9873, 0, 38931.45970392227
15, 0, 0.9869, 0, 41231.53116488457
16, 0, 0.9882, 0, 43865.85832595825
17, 0, 0.9874, 0, 46347.877786397934
18, 0, 0.9882, 0, 49057.01103448868
19, 0, 0.9887, 0, 51532.61639904976
20, 0, 0.9882, 0, 54089.394932985306
21, 0, 0.9878, 0, 56623.868552446365
22, 0, 0.9883, 0, 58922.48610115051
23, 0, 0.9876, 0, 61153.51664376259
24, 0, 0.9884, 0, 63365.4648938179
25, 0, 0.9884, 0, 65542.54487919807
26, 0, 0.9892, 0, 67752.44910001755
27, 0, 0.9892, 0, 70454.03030014038
28, 0, 0.9893, 0, 73021.54472589493
29, 0, 0.9891, 0, 75600.54521012306
30, 0, 0.9879, 0, 77897.00099754333
31, 0, 0.9891, 0, 80043.0572860241
32, 0, 0.989, 0, 82038.25983977318
33, 0, 0.9892, 0, 84066.71661353111
34, 0, 0.9894, 0, 86201.08805918694
35, 0, 0.9891, 0, 88332.85045051575
36, 0, 0.9894, 0, 90511.48733687401
37, 0, 0.9892, 0, 92740.3525454998
38, 0, 0.9894, 0, 94936.80560326576
39, 0, 0.9896, 0, 96907.29493069649
40, 0, 0.9901, 0, 98988.43355345726
41, 0, 0.9901, 0, 101013.73873996735
42, 0, 0.9895, 0, 103161.07117795944
43, 0, 0.9898, 0, 105195.9413895607
44, 0, 0.9888, 0, 107211.9132835865
45, 0, 0.9897, 0, 109436.85412168503
46, 0, 0.9896, 0, 111498.61029243469
47, 0, 0.99, 0, 113529.48338127136
48, 0, 0.9899, 0, 115631.21224141121
49, 0, 0.9898, 0, 117816.42463755608
