round, train_acc, test_acc, f1, time_stamp
0, 0, 0.7829, 0, 1455.637438774109
1, 0, 0.9288, 0, 2937.0468537807465
2, 0, 0.9567, 0, 4426.338012218475
3, 0, 0.9635, 0, 5907.1245267391205
4, 0, 0.9709, 0, 7399.014828205109
5, 0, 0.9735, 0, 8900.781033277512
6, 0, 0.9742, 0, 10399.14981174469
7, 0, 0.9785, 0, 11886.796649694443
8, 0, 0.9804, 0, 13368.566814184189
9, 0, 0.9809, 0, 14848.003840446472
10, 0, 0.9813, 0, 16198.225288152695
11, 0, 0.9819, 0, 17181.53585100174
12, 0, 0.983, 0, 18167.53056383133
13, 0, 0.9836, 0, 19153.20600605011
14, 0, 0.9841, 0, 20149.20040678978
15, 0, 0.9851, 0, 21147.432300806046
16, 0, 0.9849, 0, 22149.05403995514
17, 0, 0.9843, 0, 23153.81683588028
18, 0, 0.9857, 0, 24093.96272468567
19, 0, 0.9859, 0, 25015.878986120224
20, 0, 0.9863, 0, 25863.99386358261
21, 0, 0.9866, 0, 26709.671755075455
22, 0, 0.9862, 0, 27549.954316854477
23, 0, 0.9868, 0, 28391.49554514885
24, 0, 0.9874, 0, 29230.254007577896
25, 0, 0.9871, 0, 30065.875715494156
26, 0, 0.9875, 0, 30910.777598381042
27, 0, 0.9877, 0, 31750.957712173462
28, 0, 0.9879, 0, 32595.348385572433
29, 0, 0.9877, 0, 33434.151410102844
30, 0, 0.9872, 0, 34282.2002491951
31, 0, 0.9876, 0, 35124.532631874084
32, 0, 0.9879, 0, 35972.41872882843
33, 0, 0.988, 0, 36815.804975271225
34, 0, 0.9876, 0, 37652.55645895004
35, 0, 0.9877, 0, 38472.9944589138
36, 0, 0.9877, 0, 39301.23044466972
37, 0, 0.9879, 0, 40129.09274339676
38, 0, 0.9877, 0, 40960.30490446091
39, 0, 0.9878, 0, 41792.52130675316
40, 0, 0.9884, 0, 42622.97588133812
41, 0, 0.9879, 0, 43453.72046279907
42, 0, 0.9879, 0, 44283.71963977814
43, 0, 0.9886, 0, 45114.17495250702
44, 0, 0.9882, 0, 45932.10538315773
45, 0, 0.9885, 0, 46770.45118570328
46, 0, 0.9885, 0, 47609.14464735985
47, 0, 0.9886, 0, 48453.74847698212
48, 0, 0.9887, 0, 49286.505804777145
49, 0, 0.9885, 0, 50110.942153692245
