,Round,Epoch,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,25,0.17624,0.1841,"[[676, 17, 0, 75, 0, 0, 0, 0, 0, 232], [409, 68, 0, 146, 0, 0, 0, 0, 0, 377], [425, 33, 0, 374, 0, 0, 0, 0, 0, 168], [311, 18, 0, 489, 0, 0, 0, 0, 0, 182], [269, 21, 0, 534, 0, 0, 1, 0, 0, 175], [426, 16, 0, 404, 0, 0, 0, 0, 0, 154], [223, 44, 0, 577, 0, 0, 0, 0, 0, 156], [325, 25, 0, 309, 0, 0, 0, 0, 0, 341], [480, 14, 0, 96, 0, 0, 0, 0, 0, 410], [294, 8, 0, 90, 0, 0, 0, 0, 0, 608]]"
1,1,25,0.2626,0.2841,"[[437, 69, 1, 16, 12, 30, 42, 33, 142, 218], [67, 325, 1, 5, 21, 56, 107, 45, 130, 243], [153, 73, 4, 59, 31, 103, 408, 63, 18, 88], [57, 46, 5, 57, 25, 220, 351, 111, 13, 115], [54, 24, 2, 35, 38, 84, 596, 63, 17, 87], [85, 63, 7, 45, 23, 268, 337, 75, 27, 70], [11, 29, 0, 29, 26, 68, 690, 84, 3, 60], [39, 95, 6, 38, 34, 79, 256, 183, 23, 247], [143, 87, 0, 7, 8, 70, 16, 19, 309, 341], [51, 89, 2, 13, 14, 26, 85, 61, 129, 530]]"
2,2,25,0.29854,0.3228,"[[461, 106, 7, 20, 25, 14, 42, 66, 132, 127], [55, 437, 0, 19, 10, 18, 108, 58, 104, 191], [140, 78, 16, 72, 140, 55, 346, 94, 20, 39], [56, 50, 14, 102, 82, 135, 344, 138, 15, 64], [57, 26, 11, 47, 157, 49, 503, 96, 20, 34], [53, 62, 12, 77, 109, 211, 306, 105, 36, 29], [15, 31, 1, 26, 53, 29, 722, 87, 2, 34], [39, 88, 17, 41, 120, 49, 185, 339, 21, 101], [161, 144, 4, 36, 8, 26, 22, 47, 316, 236], [43, 148, 0, 21, 10, 8, 97, 87, 119, 467]]"
3,3,25,0.33878,0.363,"[[434, 92, 13, 26, 18, 16, 34, 78, 161, 128], [21, 502, 2, 10, 7, 16, 58, 36, 77, 271], [110, 66, 35, 78, 153, 92, 265, 134, 27, 40], [46, 51, 20, 113, 59, 180, 287, 130, 17, 97], [53, 27, 22, 49, 213, 71, 362, 137, 26, 40], [26, 43, 21, 78, 92, 310, 232, 129, 34, 35], [10, 24, 14, 47, 75, 45, 654, 69, 2, 60], [32, 65, 7, 40, 94, 83, 125, 443, 25, 86], [144, 117, 3, 26, 16, 34, 16, 30, 350, 264], [22, 154, 1, 20, 6, 6, 64, 51, 100, 576]]"
4,4,25,0.3733,0.4099,"[[468, 96, 39, 31, 23, 9, 24, 46, 164, 100], [19, 586, 5, 13, 5, 17, 25, 30, 61, 239], [97, 50, 150, 111, 126, 87, 208, 111, 25, 35], [39, 48, 59, 190, 48, 190, 235, 91, 15, 85], [52, 30, 71, 58, 275, 66, 263, 124, 30, 31], [21, 34, 56, 134, 63, 343, 186, 101, 31, 31], [7, 17, 43, 97, 96, 43, 597, 40, 4, 56], [40, 49, 23, 57, 79, 93, 96, 487, 18, 58], [170, 109, 11, 19, 13, 34, 13, 30, 414, 187], [26, 187, 2, 27, 7, 10, 38, 32, 82, 589]]"
5,5,25,0.39272,0.4284,"[[478, 109, 38, 31, 22, 8, 21, 38, 163, 92], [17, 674, 6, 16, 10, 9, 12, 21, 55, 180], [98, 53, 229, 97, 116, 92, 151, 104, 28, 32], [40, 58, 76, 256, 36, 170, 186, 78, 17, 83], [62, 43, 89, 62, 296, 58, 196, 133, 31, 30], [30, 42, 70, 183, 48, 328, 136, 95, 28, 40], [7, 31, 53, 110, 122, 42, 533, 37, 7, 58], [49, 63, 34, 74, 56, 82, 71, 489, 19, 63], [182, 134, 16, 21, 12, 18, 10, 19, 457, 131], [22, 249, 10, 37, 6, 5, 20, 24, 83, 544]]"
6,6,25,0.4095,0.4485,"[[474, 80, 45, 31, 37, 17, 27, 56, 168, 65], [18, 643, 11, 15, 15, 22, 12, 28, 66, 170], [74, 27, 239, 83, 138, 131, 157, 106, 22, 23], [20, 43, 75, 230, 45, 211, 222, 83, 12, 59], [41, 32, 95, 51, 339, 62, 197, 139, 27, 17], [17, 23, 68, 142, 52, 398, 147, 109, 17, 27], [3, 12, 45, 75, 123, 47, 608, 35, 5, 47], [24, 35, 34, 54, 59, 110, 73, 551, 16, 44], [132, 108, 25, 20, 22, 37, 17, 30, 517, 92], [26, 249, 10, 33, 11, 19, 27, 49, 90, 486]]"
7,7,25,0.41848,0.4514,"[[508, 103, 33, 29, 36, 15, 29, 46, 133, 68], [25, 675, 10, 16, 10, 14, 14, 24, 50, 162], [71, 32, 212, 83, 153, 132, 166, 99, 21, 31], [20, 47, 58, 234, 54, 218, 221, 65, 12, 71], [43, 39, 83, 47, 360, 59, 198, 124, 21, 26], [19, 27, 58, 166, 50, 385, 152, 86, 18, 39], [5, 16, 34, 70, 129, 36, 631, 26, 4, 49], [29, 45, 21, 54, 63, 112, 76, 527, 14, 59], [152, 123, 17, 19, 27, 35, 14, 26, 470, 117], [25, 270, 4, 37, 11, 15, 19, 38, 69, 512]]"
8,8,25,0.42226,0.4589,"[[532, 105, 27, 21, 45, 6, 26, 34, 141, 63], [29, 707, 6, 13, 15, 10, 12, 18, 54, 136], [80, 35, 214, 95, 215, 98, 133, 81, 23, 26], [32, 49, 51, 245, 88, 175, 227, 61, 20, 52], [46, 33, 59, 49, 450, 37, 164, 109, 30, 23], [19, 33, 63, 183, 73, 332, 150, 85, 25, 37], [5, 23, 37, 62, 177, 26, 608, 15, 9, 38], [34, 45, 21, 65, 79, 82, 80, 509, 23, 62], [157, 129, 16, 13, 34, 25, 15, 19, 512, 80], [29, 292, 7, 36, 13, 14, 24, 31, 74, 480]]"
9,9,25,0.4278,0.4642,"[[536, 103, 40, 22, 37, 3, 26, 30, 126, 77], [28, 708, 9, 17, 11, 9, 13, 19, 47, 139], [75, 33, 248, 95, 179, 90, 151, 80, 23, 26], [29, 43, 63, 260, 67, 191, 209, 64, 17, 57], [45, 33, 74, 53, 405, 45, 186, 111, 23, 25], [18, 28, 70, 197, 55, 353, 140, 87, 16, 36], [4, 21, 45, 73, 133, 27, 635, 18, 6, 38], [29, 40, 31, 69, 64, 89, 77, 516, 21, 64], [154, 128, 19, 19, 32, 26, 19, 16, 478, 109], [22, 287, 6, 37, 8, 15, 31, 28, 63, 503]]"
