,Round,Epoch,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,10,0.13322,0.1344,"[[304, 0, 0, 0, 3, 0, 522, 0, 0, 171], [46, 0, 0, 0, 3, 0, 871, 0, 0, 80], [66, 0, 0, 0, 1, 0, 788, 0, 0, 145], [45, 0, 0, 0, 1, 0, 866, 0, 0, 88], [29, 0, 0, 0, 1, 0, 937, 0, 0, 33], [56, 0, 0, 0, 4, 0, 849, 0, 0, 91], [4, 0, 0, 0, 0, 0, 941, 0, 0, 55], [36, 0, 0, 0, 7, 0, 885, 0, 0, 72], [141, 0, 0, 0, 6, 0, 748, 0, 0, 105], [44, 0, 0, 0, 5, 0, 853, 0, 0, 98]]"
1,1,10,0.1217,0.1242,"[[886, 0, 0, 0, 0, 0, 0, 0, 0, 114], [701, 0, 0, 0, 0, 0, 1, 0, 0, 298], [550, 0, 0, 0, 0, 0, 2, 0, 0, 448], [507, 0, 0, 0, 0, 0, 0, 0, 0, 493], [416, 0, 0, 0, 0, 0, 9, 0, 0, 575], [625, 0, 0, 0, 0, 0, 0, 0, 0, 375], [302, 0, 0, 0, 0, 0, 1, 0, 0, 697], [517, 0, 0, 0, 0, 0, 1, 0, 0, 482], [912, 0, 0, 0, 0, 0, 0, 0, 0, 88], [644, 0, 0, 0, 0, 0, 1, 0, 0, 355]]"
2,2,10,0.1253,0.1236,"[[955, 0, 0, 9, 0, 1, 2, 0, 0, 33], [836, 0, 0, 45, 0, 1, 9, 2, 0, 107], [731, 0, 0, 54, 0, 2, 12, 3, 0, 198], [689, 0, 0, 108, 0, 6, 11, 2, 0, 184], [586, 0, 0, 130, 0, 1, 20, 5, 0, 258], [749, 0, 0, 86, 0, 5, 4, 5, 0, 151], [485, 0, 0, 147, 0, 8, 30, 9, 0, 321], [725, 0, 0, 79, 0, 0, 2, 0, 0, 194], [968, 0, 0, 16, 0, 0, 0, 0, 0, 16], [847, 0, 0, 10, 0, 0, 4, 1, 0, 138]]"
3,3,10,0.21576,0.2253,"[[721, 14, 0, 38, 0, 20, 32, 25, 39, 111], [400, 33, 1, 78, 4, 45, 104, 67, 110, 158], [191, 16, 0, 144, 2, 60, 289, 123, 44, 131], [110, 22, 0, 224, 4, 87, 255, 114, 34, 150], [96, 11, 0, 167, 1, 25, 443, 126, 20, 111], [134, 25, 0, 188, 4, 131, 222, 119, 67, 110], [25, 5, 0, 134, 1, 31, 574, 131, 8, 91], [121, 30, 3, 143, 0, 49, 193, 157, 34, 270], [677, 13, 0, 46, 1, 29, 12, 20, 75, 127], [384, 10, 1, 53, 0, 14, 72, 76, 53, 337]]"
4,4,10,0.2399,0.2546,"[[383, 26, 0, 43, 0, 35, 48, 20, 313, 132], [150, 86, 2, 34, 0, 116, 147, 63, 244, 158], [126, 30, 0, 116, 0, 77, 412, 79, 52, 108], [56, 28, 0, 150, 1, 150, 390, 82, 26, 117], [41, 18, 1, 82, 1, 39, 614, 68, 45, 91], [78, 54, 0, 108, 0, 202, 371, 79, 27, 81], [9, 8, 0, 69, 0, 40, 728, 73, 12, 61], [30, 42, 0, 93, 1, 70, 305, 150, 54, 255], [178, 29, 0, 24, 0, 66, 27, 25, 459, 192], [70, 26, 0, 40, 0, 30, 114, 75, 258, 387]]"
5,5,10,0.2426,0.2561,"[[488, 16, 1, 28, 0, 39, 41, 22, 240, 125], [215, 83, 2, 22, 0, 130, 117, 68, 215, 148], [180, 28, 0, 101, 0, 124, 355, 78, 40, 94], [98, 20, 1, 145, 0, 193, 317, 88, 27, 111], [74, 9, 0, 77, 1, 76, 562, 72, 41, 88], [136, 40, 1, 101, 0, 245, 297, 84, 30, 66], [26, 9, 0, 70, 0, 78, 667, 77, 9, 64], [66, 39, 0, 92, 0, 91, 243, 157, 52, 260], [282, 15, 0, 18, 0, 71, 14, 23, 397, 180], [115, 23, 1, 38, 0, 36, 87, 78, 244, 378]]"
6,6,10,0.25458,0.272,"[[441, 30, 1, 26, 0, 38, 40, 31, 261, 132], [102, 167, 1, 17, 0, 122, 114, 81, 253, 143], [159, 42, 0, 97, 0, 142, 352, 95, 36, 77], [73, 31, 1, 148, 0, 213, 304, 104, 23, 103], [56, 17, 1, 76, 0, 82, 560, 85, 45, 78], [84, 65, 1, 115, 0, 264, 289, 91, 25, 66], [18, 9, 0, 71, 0, 85, 664, 92, 12, 49], [45, 65, 0, 87, 0, 90, 240, 197, 43, 233], [195, 39, 0, 14, 0, 74, 14, 31, 448, 185], [53, 53, 0, 37, 0, 35, 84, 83, 264, 391]]"
7,7,10,0.26548,0.2825,"[[469, 43, 1, 41, 0, 30, 42, 41, 204, 129], [118, 227, 0, 29, 0, 101, 109, 88, 188, 140], [152, 46, 0, 130, 1, 131, 360, 90, 22, 68], [70, 29, 0, 190, 0, 201, 307, 103, 13, 87], [62, 13, 1, 84, 2, 80, 570, 94, 28, 66], [68, 66, 0, 145, 0, 268, 288, 93, 14, 58], [19, 10, 0, 87, 0, 79, 667, 96, 3, 39], [43, 73, 0, 101, 1, 93, 243, 222, 23, 201], [245, 48, 0, 23, 0, 66, 14, 34, 367, 203], [76, 72, 1, 43, 0, 38, 78, 88, 191, 413]]"
8,8,10,0.27874,0.2982,"[[441, 58, 0, 39, 0, 17, 37, 43, 265, 100], [82, 303, 1, 38, 3, 52, 95, 77, 220, 129], [153, 60, 0, 140, 4, 124, 337, 92, 31, 59], [73, 43, 0, 232, 5, 176, 267, 96, 29, 79], [63, 17, 1, 112, 16, 77, 518, 100, 43, 53], [74, 90, 3, 174, 3, 243, 254, 93, 25, 41], [17, 15, 1, 110, 2, 77, 633, 96, 10, 39], [39, 89, 0, 125, 10, 85, 196, 233, 36, 187], [188, 64, 0, 30, 0, 43, 12, 31, 473, 159], [49, 89, 1, 49, 2, 23, 65, 61, 253, 408]]"
9,9,10,0.2928,0.3126,"[[408, 55, 2, 38, 0, 22, 40, 63, 284, 88], [67, 310, 0, 36, 7, 58, 97, 71, 215, 139], [130, 51, 10, 133, 26, 141, 330, 96, 32, 51], [52, 34, 6, 205, 26, 198, 272, 109, 30, 68], [52, 12, 3, 91, 67, 81, 502, 104, 45, 43], [52, 57, 3, 159, 21, 287, 260, 99, 26, 36], [14, 12, 2, 93, 13, 78, 645, 94, 7, 42], [29, 69, 2, 112, 46, 100, 181, 293, 30, 138], [160, 67, 0, 29, 1, 43, 12, 51, 496, 141], [34, 88, 2, 42, 5, 29, 66, 78, 251, 405]]"
10,10,10,0.30764,0.3292,"[[416, 69, 9, 36, 6, 19, 36, 61, 254, 94], [61, 357, 5, 39, 13, 41, 84, 47, 189, 164], [118, 53, 23, 143, 80, 122, 284, 95, 30, 52], [46, 38, 22, 239, 54, 170, 238, 91, 22, 80], [49, 13, 12, 107, 155, 60, 414, 108, 42, 40], [42, 65, 11, 179, 54, 268, 231, 92, 21, 37], [11, 11, 6, 108, 56, 65, 603, 84, 5, 51], [28, 75, 6, 116, 86, 83, 142, 310, 27, 127], [152, 86, 2, 40, 1, 31, 12, 47, 480, 149], [32, 103, 5, 45, 6, 24, 57, 68, 219, 441]]"
11,11,10,0.30856,0.3348,"[[412, 66, 18, 24, 8, 20, 29, 54, 286, 83], [59, 370, 9, 34, 10, 36, 67, 41, 210, 164], [117, 54, 55, 112, 80, 137, 249, 104, 37, 55], [52, 40, 34, 211, 46, 193, 220, 88, 34, 82], [49, 16, 22, 100, 163, 65, 373, 120, 53, 39], [39, 62, 29, 152, 49, 295, 203, 88, 40, 43], [11, 13, 19, 98, 67, 80, 567, 71, 11, 63], [31, 72, 16, 109, 75, 93, 121, 314, 31, 138], [157, 80, 6, 31, 2, 29, 9, 34, 527, 125], [31, 107, 8, 37, 5, 22, 48, 58, 250, 434]]"
12,12,10,0.32204,0.3453,"[[391, 67, 31, 23, 9, 21, 29, 56, 287, 86], [48, 402, 14, 32, 10, 42, 62, 35, 187, 168], [96, 49, 98, 114, 115, 125, 214, 98, 36, 55], [36, 34, 51, 204, 72, 193, 198, 92, 32, 88], [40, 16, 34, 91, 234, 69, 310, 116, 48, 42], [28, 49, 47, 153, 63, 310, 189, 85, 32, 44], [5, 11, 34, 103, 113, 76, 525, 60, 8, 65], [25, 66, 35, 95, 90, 98, 110, 324, 26, 131], [152, 86, 9, 36, 4, 26, 9, 36, 512, 130], [21, 123, 16, 35, 6, 21, 47, 55, 223, 453]]"
13,13,10,0.33012,0.3544,"[[396, 65, 27, 20, 15, 16, 27, 53, 307, 74], [47, 430, 16, 30, 13, 32, 45, 33, 200, 154], [101, 53, 101, 113, 137, 110, 197, 104, 38, 46], [38, 36, 44, 221, 80, 172, 189, 95, 41, 84], [50, 23, 30, 91, 265, 56, 275, 120, 56, 34], [28, 53, 50, 162, 67, 284, 181, 90, 43, 42], [4, 14, 32, 101, 131, 67, 513, 66, 15, 57], [30, 72, 37, 100, 97, 77, 97, 348, 32, 110], [147, 88, 7, 34, 5, 19, 9, 37, 556, 98], [23, 138, 12, 35, 5, 18, 42, 60, 237, 430]]"
14,14,10,0.33762,0.3625,"[[415, 65, 34, 18, 17, 20, 26, 45, 286, 74], [44, 437, 20, 29, 9, 32, 41, 32, 188, 168], [96, 47, 134, 113, 134, 92, 195, 105, 36, 48], [36, 34, 61, 234, 69, 159, 190, 91, 38, 88], [53, 20, 51, 86, 262, 48, 275, 118, 48, 39], [27, 43, 64, 182, 53, 278, 186, 80, 38, 49], [4, 13, 38, 107, 123, 55, 523, 58, 15, 64], [30, 64, 54, 96, 91, 74, 98, 340, 27, 126], [163, 88, 7, 31, 8, 21, 9, 30, 543, 100], [24, 141, 14, 35, 4, 19, 38, 53, 213, 459]]"
15,15,10,0.34792,0.3752,"[[396, 63, 36, 18, 20, 22, 22, 43, 304, 76], [32, 442, 17, 27, 10, 37, 36, 30, 185, 184], [89, 46, 155, 92, 143, 119, 168, 105, 33, 50], [31, 26, 62, 227, 70, 194, 167, 88, 42, 93], [50, 19, 61, 74, 285, 62, 242, 119, 49, 39], [23, 32, 72, 173, 50, 317, 161, 83, 46, 43], [4, 14, 43, 99, 124, 76, 504, 57, 16, 63], [29, 57, 57, 83, 77, 98, 89, 360, 30, 120], [124, 81, 7, 30, 10, 23, 9, 25, 586, 105], [21, 138, 14, 40, 4, 27, 33, 55, 188, 480]]"
16,16,10,0.35582,0.3833,"[[463, 74, 40, 24, 21, 10, 26, 40, 224, 78], [47, 482, 15, 27, 6, 27, 31, 35, 148, 182], [85, 51, 167, 122, 127, 78, 188, 112, 25, 45], [29, 34, 62, 272, 53, 139, 192, 89, 38, 92], [50, 25, 58, 90, 254, 38, 277, 128, 42, 38], [25, 39, 65, 226, 44, 265, 164, 88, 39, 45], [7, 18, 42, 112, 100, 47, 543, 50, 13, 68], [36, 62, 54, 107, 65, 69, 86, 378, 22, 121], [184, 92, 9, 29, 12, 18, 10, 22, 517, 107], [29, 162, 17, 49, 4, 17, 23, 50, 157, 492]]"
17,17,10,0.36624,0.3954,"[[433, 64, 42, 13, 30, 14, 23, 37, 273, 71], [29, 460, 12, 27, 10, 30, 29, 32, 173, 198], [77, 39, 189, 93, 163, 97, 159, 112, 27, 44], [27, 29, 69, 249, 69, 148, 187, 92, 40, 90], [45, 20, 59, 76, 325, 41, 234, 120, 45, 35], [19, 33, 67, 201, 63, 288, 157, 80, 44, 48], [8, 13, 42, 77, 133, 53, 544, 54, 19, 57], [38, 50, 54, 87, 76, 82, 77, 398, 22, 116], [135, 84, 8, 26, 16, 20, 12, 18, 577, 104], [24, 147, 17, 48, 3, 22, 28, 54, 166, 491]]"
18,18,10,0.37322,0.4077,"[[466, 67, 37, 20, 27, 9, 27, 38, 235, 74], [39, 510, 10, 25, 11, 26, 25, 34, 144, 176], [78, 36, 207, 107, 138, 73, 191, 107, 26, 37], [24, 33, 67, 278, 38, 127, 219, 96, 36, 82], [48, 20, 71, 73, 283, 33, 280, 116, 42, 34], [17, 32, 72, 222, 54, 274, 174, 85, 31, 39], [6, 15, 42, 83, 103, 35, 601, 52, 15, 48], [38, 55, 49, 91, 67, 71, 87, 428, 18, 96], [143, 90, 10, 25, 17, 19, 16, 17, 562, 101], [33, 176, 13, 48, 4, 23, 29, 55, 151, 468]]"
19,19,10,0.38242,0.4163,"[[478, 62, 43, 10, 33, 9, 27, 34, 234, 70], [40, 501, 11, 20, 10, 21, 24, 38, 146, 189], [76, 33, 218, 93, 169, 75, 164, 113, 24, 35], [30, 33, 78, 255, 61, 127, 191, 101, 35, 89], [50, 16, 89, 70, 355, 31, 201, 114, 40, 34], [16, 32, 78, 212, 67, 282, 149, 89, 34, 41], [7, 8, 51, 73, 149, 32, 558, 54, 18, 50], [41, 43, 40, 77, 87, 80, 68, 451, 20, 93], [142, 95, 12, 25, 14, 20, 14, 15, 570, 93], [36, 161, 15, 40, 6, 20, 29, 47, 151, 495]]"
20,20,10,0.39206,0.4248,"[[527, 71, 46, 8, 27, 11, 23, 22, 203, 62], [40, 549, 7, 13, 9, 22, 17, 27, 133, 183], [78, 37, 241, 70, 174, 84, 152, 100, 29, 35], [36, 43, 82, 212, 62, 169, 189, 72, 39, 96], [55, 30, 94, 47, 372, 39, 193, 92, 41, 37], [24, 33, 91, 162, 74, 323, 138, 74, 30, 51], [10, 23, 59, 48, 154, 45, 537, 45, 26, 53], [51, 55, 40, 64, 92, 91, 52, 433, 23, 99], [161, 105, 15, 17, 15, 19, 10, 12, 563, 83], [40, 191, 15, 25, 5, 23, 20, 40, 150, 491]]"
21,21,10,0.4012,0.4353,"[[471, 64, 61, 13, 35, 10, 27, 32, 213, 74], [27, 530, 12, 19, 12, 18, 23, 37, 127, 195], [61, 27, 286, 88, 166, 56, 150, 109, 23, 34], [20, 32, 100, 278, 56, 128, 200, 88, 20, 78], [40, 21, 108, 67, 368, 25, 194, 113, 34, 30], [12, 27, 104, 222, 71, 280, 134, 91, 22, 37], [7, 7, 70, 66, 154, 23, 569, 48, 12, 44], [30, 32, 55, 74, 86, 70, 56, 499, 15, 83], [122, 102, 26, 22, 19, 16, 15, 18, 570, 90], [30, 171, 20, 34, 6, 18, 27, 55, 137, 502]]"
