,Round,Daisy,Epoch,Test Accuracy,Confusion Matrix
0,0,10,10,0.1,"[[0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0]]"
1,1,10,10,0.1,"[[0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0]]"
2,2,10,10,0.1,"[[0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0]]"
3,3,10,10,0.102,"[[0, 61, 0, 24, 30, 0, 847, 0, 0, 38], [0, 6, 0, 2, 13, 0, 975, 0, 0, 4], [0, 14, 0, 5, 8, 0, 969, 0, 0, 4], [0, 1, 0, 1, 1, 0, 994, 0, 0, 3], [0, 4, 0, 0, 1, 0, 990, 0, 0, 5], [0, 2, 0, 0, 1, 0, 996, 0, 0, 1], [0, 0, 0, 1, 0, 0, 999, 0, 0, 0], [0, 1, 0, 0, 4, 0, 991, 0, 0, 4], [0, 18, 0, 5, 16, 0, 923, 0, 0, 38], [0, 6, 0, 1, 6, 0, 974, 0, 0, 13]]"
4,4,10,10,0.1,"[[0, 0, 0, 0, 0, 0, 995, 5, 0, 0], [0, 0, 0, 0, 0, 0, 999, 0, 0, 1], [0, 0, 0, 0, 0, 0, 998, 2, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 992, 8, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0]]"
5,5,10,10,0.2186,"[[56, 116, 0, 58, 0, 90, 178, 133, 243, 126], [0, 309, 0, 7, 1, 145, 247, 211, 18, 62], [7, 14, 0, 42, 0, 84, 701, 92, 44, 16], [0, 12, 0, 21, 0, 88, 758, 109, 6, 6], [1, 10, 0, 10, 0, 30, 821, 90, 22, 16], [1, 5, 0, 23, 0, 110, 760, 92, 5, 4], [1, 2, 0, 5, 0, 13, 932, 45, 0, 2], [1, 9, 0, 8, 0, 44, 482, 424, 9, 23], [6, 108, 0, 39, 0, 107, 140, 194, 229, 177], [1, 136, 0, 6, 0, 72, 218, 447, 15, 105]]"
6,6,10,10,0.1,"[[0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0]]"
7,7,10,10,0.1649,"[[0, 59, 0, 5, 1, 25, 11, 0, 895, 4], [0, 230, 0, 10, 3, 36, 13, 0, 680, 28], [3, 240, 0, 24, 3, 172, 110, 0, 444, 4], [0, 339, 0, 29, 5, 144, 69, 0, 401, 13], [0, 247, 0, 36, 17, 134, 197, 0, 366, 3], [0, 316, 0, 22, 2, 165, 73, 0, 404, 18], [0, 269, 0, 26, 11, 204, 271, 0, 216, 3], [0, 348, 0, 31, 9, 138, 60, 0, 405, 9], [0, 62, 0, 3, 0, 4, 2, 0, 928, 1], [0, 175, 0, 8, 3, 33, 7, 0, 765, 9]]"
8,8,10,10,0.1279,"[[894, 9, 3, 1, 5, 8, 0, 0, 78, 2], [659, 52, 3, 1, 26, 14, 0, 0, 235, 10], [728, 34, 7, 3, 32, 76, 0, 0, 109, 11], [673, 36, 18, 17, 27, 98, 1, 0, 121, 9], [716, 48, 4, 1, 78, 38, 0, 1, 107, 7], [703, 20, 17, 16, 32, 105, 1, 2, 91, 13], [543, 75, 12, 8, 126, 96, 1, 0, 130, 9], [721, 27, 6, 4, 25, 25, 0, 0, 178, 14], [874, 3, 1, 3, 0, 0, 0, 0, 118, 1], [742, 12, 7, 1, 11, 12, 0, 0, 208, 7]]"
9,9,10,10,0.2181,"[[109, 5, 24, 8, 31, 21, 16, 5, 758, 23], [8, 48, 12, 43, 111, 58, 58, 16, 583, 63], [92, 8, 112, 30, 92, 114, 210, 7, 298, 37], [47, 7, 87, 59, 79, 192, 223, 9, 249, 48], [43, 8, 63, 27, 162, 53, 315, 12, 282, 35], [29, 9, 84, 59, 60, 245, 211, 6, 264, 33], [27, 10, 45, 20, 154, 62, 478, 10, 163, 31], [44, 17, 89, 27, 128, 81, 150, 28, 299, 137], [39, 4, 16, 27, 13, 16, 14, 1, 857, 13], [16, 11, 37, 13, 47, 33, 63, 8, 689, 83]]"
10,10,10,10,0.3441,"[[467, 48, 48, 15, 23, 42, 11, 28, 176, 142], [46, 409, 12, 20, 23, 84, 43, 51, 154, 158], [76, 26, 170, 28, 135, 304, 115, 88, 14, 44], [44, 46, 71, 88, 59, 442, 152, 46, 20, 32], [46, 21, 79, 21, 294, 166, 190, 112, 23, 48], [30, 61, 54, 61, 55, 537, 90, 58, 23, 31], [11, 20, 48, 74, 192, 168, 409, 58, 8, 12], [34, 74, 69, 33, 90, 180, 85, 297, 17, 121], [268, 82, 31, 23, 10, 52, 7, 17, 393, 117], [43, 138, 40, 39, 17, 97, 38, 50, 161, 377]]"
11,11,10,10,0.3441,"[[423, 46, 42, 6, 51, 47, 11, 64, 127, 183], [16, 416, 6, 6, 71, 80, 22, 81, 125, 177], [62, 20, 136, 6, 342, 234, 18, 126, 15, 41], [22, 31, 33, 15, 243, 407, 103, 97, 19, 30], [37, 18, 36, 4, 564, 106, 36, 148, 16, 35], [16, 37, 41, 6, 187, 500, 56, 118, 15, 24], [6, 16, 21, 9, 560, 129, 147, 99, 4, 9], [12, 39, 27, 4, 206, 136, 36, 427, 12, 101], [196, 88, 20, 14, 45, 46, 3, 26, 379, 183], [28, 157, 14, 3, 49, 73, 30, 119, 93, 434]]"
12,12,10,10,0.3614,"[[564, 52, 37, 9, 27, 43, 7, 31, 132, 98], [50, 468, 16, 7, 26, 69, 18, 33, 148, 165], [88, 27, 190, 18, 218, 284, 13, 110, 16, 36], [56, 41, 56, 87, 122, 442, 72, 61, 21, 42], [63, 24, 75, 12, 449, 154, 39, 133, 19, 32], [31, 49, 65, 45, 105, 541, 38, 77, 13, 36], [11, 25, 62, 52, 413, 180, 157, 82, 7, 11], [46, 64, 43, 25, 148, 167, 26, 347, 17, 117], [287, 84, 27, 18, 16, 38, 3, 15, 405, 107], [70, 167, 22, 22, 35, 65, 18, 52, 143, 406]]"
13,13,10,10,0.3889,"[[529, 55, 37, 17, 23, 32, 8, 45, 166, 88], [35, 505, 12, 5, 20, 45, 17, 45, 163, 153], [73, 31, 207, 27, 204, 250, 21, 125, 24, 38], [36, 44, 57, 118, 109, 389, 97, 80, 21, 49], [50, 34, 87, 17, 416, 134, 48, 166, 25, 23], [25, 45, 68, 66, 87, 515, 51, 96, 17, 30], [11, 37, 91, 38, 335, 156, 226, 87, 5, 14], [41, 55, 35, 29, 123, 150, 32, 446, 12, 77], [214, 90, 18, 14, 18, 30, 4, 19, 483, 110], [63, 183, 12, 18, 20, 45, 14, 76, 125, 444]]"
14,14,10,10,0.4013,"[[570, 47, 34, 8, 46, 41, 19, 37, 150, 48], [39, 489, 10, 4, 42, 72, 28, 50, 159, 107], [81, 11, 210, 12, 267, 246, 36, 93, 21, 23], [39, 26, 59, 65, 125, 429, 157, 66, 14, 20], [51, 14, 71, 9, 514, 131, 61, 117, 19, 13], [24, 20, 68, 29, 120, 555, 85, 68, 11, 20], [9, 14, 62, 17, 391, 135, 309, 51, 5, 7], [33, 26, 43, 15, 159, 181, 49, 435, 15, 44], [219, 86, 18, 7, 36, 40, 7, 18, 502, 67], [79, 183, 15, 8, 27, 74, 43, 82, 125, 364]]"
