,Round,Daisy,Epoch,Test Accuracy,Confusion Matrix
0,0,10,10,0.1225,"[[17, 0, 0, 0, 0, 127, 0, 1, 0, 855], [50, 0, 0, 0, 0, 200, 0, 0, 0, 750], [44, 0, 2, 0, 0, 216, 0, 2, 0, 736], [74, 0, 2, 0, 0, 383, 0, 0, 0, 541], [45, 0, 0, 0, 0, 341, 0, 1, 0, 613], [56, 0, 2, 0, 0, 337, 0, 0, 0, 605], [39, 0, 0, 0, 0, 347, 0, 0, 0, 614], [32, 0, 0, 0, 0, 243, 0, 0, 0, 725], [16, 0, 2, 0, 0, 161, 0, 0, 0, 821], [31, 0, 2, 0, 0, 98, 0, 0, 0, 869]]"
1,1,10,10,0.1633,"[[293, 4, 9, 48, 0, 180, 0, 0, 0, 466], [145, 5, 13, 48, 0, 209, 5, 0, 0, 575], [322, 5, 12, 56, 1, 267, 23, 0, 1, 313], [171, 0, 10, 148, 1, 354, 20, 2, 0, 294], [244, 2, 2, 110, 0, 333, 12, 1, 0, 296], [181, 0, 12, 106, 0, 394, 10, 0, 0, 297], [163, 0, 8, 62, 0, 437, 15, 0, 0, 315], [177, 2, 4, 108, 0, 242, 4, 0, 1, 462], [144, 3, 3, 49, 0, 196, 0, 0, 0, 605], [101, 0, 5, 23, 0, 100, 4, 0, 1, 766]]"
2,2,10,10,0.1817,"[[195, 3, 0, 20, 184, 4, 220, 1, 53, 320], [76, 8, 0, 26, 103, 3, 247, 0, 100, 437], [208, 0, 0, 37, 181, 18, 371, 1, 24, 160], [104, 0, 0, 104, 203, 27, 342, 5, 15, 200], [128, 1, 0, 82, 224, 4, 369, 1, 21, 170], [111, 1, 0, 102, 178, 32, 367, 2, 33, 174], [82, 1, 0, 44, 147, 11, 504, 0, 29, 182], [85, 5, 1, 73, 231, 13, 187, 5, 47, 353], [70, 2, 0, 44, 94, 3, 213, 0, 85, 489], [54, 1, 0, 14, 52, 0, 153, 0, 66, 660]]"
3,3,10,10,0.2195,"[[326, 17, 1, 17, 229, 16, 31, 23, 67, 273], [114, 91, 4, 33, 147, 11, 84, 24, 112, 380], [185, 10, 13, 44, 370, 54, 139, 11, 28, 146], [77, 9, 18, 115, 356, 61, 129, 34, 21, 180], [121, 9, 2, 79, 443, 19, 142, 25, 19, 141], [116, 8, 11, 110, 321, 103, 131, 28, 27, 145], [79, 8, 4, 47, 289, 36, 327, 21, 21, 168], [87, 25, 8, 69, 287, 30, 65, 63, 53, 313], [152, 46, 0, 23, 185, 7, 33, 4, 97, 453], [83, 23, 6, 17, 87, 11, 45, 24, 87, 617]]"
4,4,10,10,0.2684,"[[378, 78, 7, 25, 32, 29, 39, 54, 134, 224], [51, 244, 6, 54, 27, 27, 117, 49, 117, 308], [145, 33, 35, 98, 140, 79, 287, 50, 25, 108], [45, 34, 22, 220, 115, 96, 219, 91, 14, 144], [71, 27, 7, 116, 164, 39, 396, 73, 13, 94], [59, 40, 19, 190, 103, 181, 204, 79, 26, 99], [21, 32, 9, 93, 52, 36, 561, 79, 2, 115], [40, 92, 14, 123, 104, 77, 135, 147, 24, 244], [124, 139, 4, 73, 30, 27, 25, 19, 203, 356], [48, 91, 9, 26, 16, 26, 72, 55, 106, 551]]"
5,5,10,10,0.2904,"[[496, 55, 16, 7, 25, 8, 38, 25, 168, 162], [107, 212, 11, 32, 42, 5, 94, 60, 173, 264], [178, 29, 81, 57, 161, 23, 273, 64, 39, 95], [86, 34, 54, 144, 188, 41, 207, 85, 35, 126], [91, 28, 38, 36, 272, 14, 346, 75, 21, 79], [114, 47, 47, 143, 152, 102, 179, 84, 56, 76], [34, 26, 21, 49, 122, 12, 553, 82, 5, 96], [73, 74, 35, 36, 175, 33, 116, 201, 35, 222], [199, 84, 9, 31, 28, 6, 14, 18, 310, 301], [71, 64, 16, 12, 28, 8, 69, 60, 139, 533]]"
6,6,10,10,0.3043,"[[430, 88, 30, 54, 19, 9, 46, 25, 200, 99], [68, 273, 20, 41, 30, 13, 111, 62, 152, 230], [117, 28, 106, 112, 101, 45, 334, 58, 33, 66], [43, 56, 62, 193, 117, 87, 268, 50, 23, 101], [54, 35, 54, 58, 219, 39, 409, 61, 22, 49], [58, 36, 82, 159, 104, 166, 233, 70, 35, 57], [15, 14, 34, 78, 77, 23, 626, 58, 3, 72], [33, 93, 54, 76, 125, 85, 155, 192, 29, 158], [147, 129, 17, 40, 23, 14, 28, 25, 364, 213], [54, 117, 14, 31, 18, 16, 87, 57, 132, 474]]"
7,7,10,10,0.3307,"[[420, 65, 44, 43, 28, 11, 30, 36, 250, 73], [76, 263, 25, 44, 41, 15, 66, 81, 170, 219], [103, 29, 166, 138, 121, 58, 230, 72, 36, 47], [50, 44, 98, 248, 109, 93, 175, 75, 27, 81], [54, 33, 76, 72, 287, 41, 288, 77, 34, 38], [42, 27, 115, 223, 100, 167, 154, 84, 46, 42], [14, 17, 51, 94, 105, 33, 552, 65, 5, 64], [39, 67, 61, 98, 127, 67, 93, 285, 33, 130], [107, 98, 18, 38, 37, 16, 15, 34, 480, 157], [62, 104, 23, 45, 29, 22, 56, 63, 157, 439]]"
8,8,10,10,0.3452,"[[485, 65, 37, 38, 34, 8, 36, 40, 185, 72], [82, 329, 18, 42, 35, 18, 72, 75, 122, 207], [112, 32, 128, 139, 139, 73, 250, 62, 23, 42], [59, 39, 66, 248, 104, 128, 198, 57, 21, 80], [63, 33, 54, 64, 283, 50, 333, 58, 27, 35], [46, 23, 90, 211, 98, 216, 186, 64, 29, 37], [14, 13, 41, 96, 99, 36, 605, 35, 3, 58], [43, 59, 46, 91, 134, 77, 118, 280, 23, 129], [165, 107, 11, 38, 48, 19, 18, 40, 425, 129], [71, 125, 19, 45, 28, 25, 72, 44, 118, 453]]"
9,9,10,10,0.3611,"[[403, 90, 48, 34, 37, 8, 33, 45, 230, 72], [43, 446, 11, 32, 48, 18, 46, 61, 94, 201], [87, 40, 162, 130, 183, 68, 184, 71, 29, 46], [44, 44, 91, 243, 115, 114, 165, 83, 25, 76], [46, 41, 72, 68, 331, 37, 263, 74, 36, 32], [34, 34, 111, 204, 111, 205, 157, 79, 34, 31], [9, 29, 40, 90, 144, 34, 550, 47, 5, 52], [33, 71, 54, 87, 133, 59, 94, 344, 24, 101], [99, 120, 12, 31, 45, 21, 17, 39, 471, 145], [37, 165, 12, 45, 29, 21, 62, 59, 114, 456]]"
10,10,10,10,0.3629,"[[435, 91, 45, 42, 35, 7, 31, 44, 200, 70], [44, 488, 11, 38, 27, 14, 55, 51, 79, 193], [90, 44, 156, 158, 135, 66, 209, 68, 28, 46], [54, 50, 90, 279, 87, 98, 183, 61, 26, 72], [55, 46, 79, 82, 275, 43, 292, 67, 29, 32], [33, 35, 114, 268, 78, 169, 173, 67, 29, 34], [12, 25, 44, 109, 84, 41, 586, 43, 7, 49], [37, 69, 54, 107, 107, 59, 103, 333, 24, 107], [116, 118, 11, 43, 39, 17, 16, 36, 467, 137], [46, 201, 12, 57, 19, 27, 50, 45, 102, 441]]"
11,11,10,10,0.3735,"[[423, 81, 46, 36, 46, 13, 30, 57, 198, 70], [48, 478, 9, 29, 30, 17, 45, 72, 77, 195], [80, 36, 168, 115, 169, 87, 190, 81, 26, 48], [56, 43, 83, 203, 109, 152, 187, 80, 21, 66], [55, 33, 70, 58, 321, 51, 266, 84, 29, 33], [35, 27, 107, 180, 106, 240, 175, 74, 17, 39], [14, 27, 33, 74, 119, 49, 571, 59, 6, 48], [35, 48, 48, 71, 130, 74, 95, 383, 21, 95], [96, 105, 14, 33, 49, 22, 19, 40, 475, 147], [34, 172, 15, 36, 26, 34, 54, 68, 88, 473]]"
12,12,10,10,0.3761,"[[406, 90, 54, 28, 39, 6, 26, 44, 243, 64], [45, 527, 15, 32, 18, 6, 31, 53, 103, 170], [91, 44, 194, 120, 155, 49, 189, 83, 35, 40], [57, 54, 95, 244, 86, 95, 187, 85, 29, 68], [55, 42, 78, 64, 305, 25, 271, 84, 41, 35], [36, 35, 131, 222, 92, 156, 172, 89, 29, 38], [17, 38, 45, 81, 109, 30, 561, 59, 9, 51], [34, 70, 48, 81, 121, 45, 92, 382, 31, 96], [82, 102, 14, 33, 38, 12, 15, 38, 546, 120], [25, 223, 17, 36, 22, 22, 42, 49, 124, 440]]"
13,13,10,10,0.381,"[[441, 75, 54, 30, 32, 9, 27, 47, 203, 82], [45, 514, 12, 35, 20, 14, 35, 41, 77, 207], [89, 41, 179, 136, 152, 64, 179, 72, 33, 55], [61, 40, 84, 244, 81, 126, 192, 68, 26, 78], [66, 30, 72, 67, 308, 40, 266, 71, 35, 45], [32, 30, 112, 224, 79, 208, 179, 70, 23, 43], [16, 22, 41, 87, 121, 39, 570, 49, 5, 50], [35, 56, 51, 94, 115, 64, 104, 353, 25, 103], [97, 100, 17, 37, 32, 14, 16, 32, 500, 155], [31, 193, 16, 37, 19, 26, 46, 44, 95, 493]]"
14,14,10,10,0.3761,"[[415, 81, 38, 31, 45, 13, 27, 53, 243, 54], [52, 515, 10, 31, 23, 12, 31, 59, 108, 159], [93, 39, 123, 119, 189, 86, 190, 85, 38, 38], [50, 43, 66, 205, 98, 143, 209, 91, 29, 66], [61, 33, 48, 54, 322, 50, 279, 77, 40, 36], [34, 29, 94, 171, 94, 239, 198, 77, 25, 39], [14, 28, 28, 63, 119, 52, 590, 52, 10, 44], [35, 56, 32, 70, 117, 77, 110, 391, 27, 85], [96, 94, 6, 34, 46, 16, 21, 38, 537, 112], [35, 213, 13, 32, 23, 30, 47, 54, 129, 424]]"
