,Round,Daisy,Epoch,Test Accuracy,Confusion Matrix
0,0,10,10,0.1015,"[[999, 0, 0, 0, 0, 1, 0, 0, 0, 0], [995, 0, 0, 0, 0, 5, 0, 0, 0, 0], [996, 0, 0, 0, 0, 4, 0, 0, 0, 0], [985, 0, 0, 0, 0, 15, 0, 0, 0, 0], [994, 0, 0, 0, 0, 2, 4, 0, 0, 0], [984, 0, 0, 0, 0, 16, 0, 0, 0, 0], [993, 0, 0, 0, 0, 7, 0, 0, 0, 0], [995, 0, 0, 0, 0, 5, 0, 0, 0, 0], [996, 0, 0, 0, 0, 4, 0, 0, 0, 0], [999, 0, 0, 0, 0, 1, 0, 0, 0, 0]]"
1,1,10,10,0.1114,"[[0, 0, 0, 0, 0, 27, 4, 0, 0, 969], [0, 0, 0, 0, 0, 68, 12, 0, 0, 920], [0, 0, 0, 0, 0, 64, 16, 0, 0, 920], [0, 0, 0, 0, 0, 148, 23, 0, 0, 829], [0, 0, 0, 0, 0, 100, 27, 0, 0, 873], [0, 0, 0, 0, 0, 124, 6, 0, 0, 870], [0, 0, 0, 0, 0, 125, 13, 0, 0, 862], [0, 0, 0, 0, 0, 68, 3, 0, 0, 929], [0, 0, 0, 0, 0, 49, 0, 0, 0, 951], [0, 0, 0, 0, 0, 19, 4, 0, 0, 977]]"
2,2,10,10,0.1039,"[[0, 0, 0, 0, 0, 1, 2, 0, 0, 997], [0, 0, 0, 0, 0, 3, 14, 0, 0, 983], [0, 0, 0, 0, 0, 2, 14, 0, 0, 984], [0, 0, 0, 0, 0, 10, 20, 0, 0, 970], [0, 0, 0, 0, 0, 1, 24, 0, 0, 975], [0, 0, 0, 0, 0, 8, 8, 0, 0, 984], [0, 0, 0, 0, 0, 5, 35, 0, 0, 960], [0, 0, 0, 0, 0, 4, 6, 0, 0, 990], [0, 0, 0, 0, 0, 6, 1, 0, 0, 993], [0, 0, 0, 0, 0, 0, 4, 0, 0, 996]]"
3,3,10,10,0.1766,"[[102, 0, 0, 356, 0, 0, 62, 0, 0, 480], [9, 0, 0, 341, 0, 0, 178, 0, 0, 472], [36, 0, 0, 368, 0, 0, 341, 0, 0, 255], [4, 0, 0, 398, 0, 0, 370, 0, 0, 228], [4, 0, 0, 265, 0, 0, 525, 0, 0, 206], [8, 0, 0, 487, 0, 0, 271, 0, 0, 234], [0, 0, 0, 224, 0, 0, 589, 0, 0, 187], [3, 0, 0, 298, 0, 0, 270, 0, 0, 429], [56, 0, 0, 360, 0, 0, 43, 0, 0, 541], [19, 0, 0, 184, 0, 0, 120, 0, 0, 677]]"
4,4,10,10,0.1676,"[[81, 0, 0, 6, 0, 1, 259, 0, 0, 653], [2, 2, 0, 2, 0, 4, 523, 0, 0, 467], [18, 1, 0, 0, 0, 1, 763, 0, 0, 217], [0, 0, 0, 3, 0, 3, 829, 0, 0, 165], [2, 0, 0, 0, 0, 1, 859, 0, 0, 138], [2, 0, 0, 2, 0, 20, 823, 0, 0, 153], [0, 0, 0, 0, 0, 0, 925, 0, 0, 75], [0, 0, 0, 0, 0, 3, 681, 0, 0, 316], [20, 0, 0, 8, 0, 11, 284, 0, 0, 677], [3, 0, 0, 1, 0, 2, 349, 0, 0, 645]]"
5,5,10,10,0.1193,"[[94, 0, 0, 25, 0, 4, 688, 24, 3, 162], [6, 3, 0, 17, 0, 1, 902, 7, 0, 64], [21, 0, 0, 7, 0, 0, 939, 5, 0, 28], [1, 0, 0, 1, 0, 1, 989, 0, 0, 8], [1, 1, 0, 0, 0, 1, 970, 3, 0, 24], [1, 0, 0, 1, 0, 1, 988, 2, 1, 6], [0, 0, 0, 1, 0, 0, 998, 0, 0, 1], [1, 0, 0, 1, 0, 0, 982, 3, 0, 13], [21, 1, 0, 7, 1, 2, 797, 11, 0, 160], [1, 0, 0, 2, 0, 0, 893, 10, 1, 93]]"
6,6,10,10,0.218,"[[520, 18, 0, 55, 0, 3, 113, 27, 0, 264], [234, 77, 0, 88, 0, 9, 280, 45, 0, 267], [137, 14, 0, 55, 0, 7, 624, 45, 0, 118], [41, 11, 0, 55, 0, 22, 690, 59, 0, 122], [50, 3, 0, 24, 0, 2, 790, 28, 0, 103], [43, 23, 0, 91, 0, 54, 647, 46, 0, 96], [5, 2, 0, 7, 1, 4, 890, 30, 0, 61], [39, 6, 0, 36, 1, 11, 547, 91, 0, 269], [427, 24, 0, 59, 0, 15, 97, 21, 0, 357], [178, 23, 0, 24, 0, 5, 218, 59, 0, 493]]"
7,7,10,10,0.2037,"[[369, 42, 0, 131, 0, 0, 162, 55, 0, 241], [110, 109, 0, 201, 0, 0, 327, 74, 0, 179], [89, 11, 0, 104, 0, 0, 686, 58, 0, 52], [17, 6, 0, 119, 1, 0, 740, 69, 0, 48], [30, 4, 0, 43, 0, 0, 825, 44, 0, 54], [19, 8, 0, 186, 0, 0, 704, 60, 0, 23], [5, 0, 0, 18, 0, 0, 923, 36, 0, 18], [17, 7, 0, 61, 2, 0, 630, 127, 0, 156], [278, 56, 0, 150, 0, 0, 117, 71, 0, 328], [81, 54, 0, 75, 0, 0, 279, 121, 0, 390]]"
8,8,10,10,0.2089,"[[169, 23, 0, 88, 0, 0, 145, 103, 133, 339], [19, 83, 0, 139, 0, 0, 282, 149, 37, 291], [49, 12, 0, 63, 3, 0, 649, 110, 23, 91], [9, 5, 0, 82, 2, 0, 689, 130, 1, 82], [10, 1, 0, 24, 1, 0, 794, 75, 10, 85], [7, 7, 0, 105, 0, 0, 710, 124, 5, 42], [3, 0, 0, 7, 0, 0, 876, 81, 0, 33], [3, 3, 0, 36, 0, 0, 502, 228, 7, 221], [57, 30, 0, 109, 0, 0, 102, 92, 120, 490], [3, 31, 0, 39, 1, 0, 186, 178, 32, 530]]"
9,9,10,10,0.235,"[[512, 24, 0, 67, 1, 0, 77, 32, 6, 281], [222, 135, 0, 131, 0, 0, 185, 62, 8, 257], [145, 27, 0, 97, 3, 0, 558, 60, 0, 110], [60, 17, 0, 188, 4, 2, 527, 81, 1, 120], [53, 6, 0, 68, 0, 0, 719, 48, 0, 106], [72, 22, 0, 223, 0, 9, 526, 59, 0, 89], [9, 5, 0, 44, 1, 0, 827, 51, 0, 63], [44, 17, 0, 92, 2, 1, 415, 141, 0, 288], [406, 31, 0, 74, 1, 0, 54, 22, 9, 403], [156, 33, 0, 46, 2, 1, 145, 82, 6, 529]]"
