01-31 03:33 WARNING  Partitioning data
01-31 03:48 WARNING  in comm round: 0 from 100
01-31 04:06 WARNING  in comm round: 1 from 100
01-31 04:26 WARNING  in comm round: 2 from 100
01-31 04:30 WARNING  in comm round: 3 from 100
01-31 04:33 WARNING  in comm round: 4 from 100
01-31 04:35 WARNING  in comm round: 5 from 100
01-31 04:40 WARNING  in comm round: 6 from 100
01-31 04:44 WARNING  in comm round: 7 from 100
01-31 04:50 WARNING  in comm round: 8 from 100
01-31 04:55 WARNING  in comm round: 9 from 100
01-31 04:58 WARNING  in comm round: 10 from 100
01-31 05:01 WARNING  in comm round: 11 from 100
01-31 05:05 WARNING  in comm round: 12 from 100
01-31 05:09 WARNING  in comm round: 13 from 100
01-31 05:12 WARNING  in comm round: 14 from 100
01-31 05:15 WARNING  in comm round: 15 from 100
01-31 05:18 WARNING  in comm round: 16 from 100
01-31 05:21 WARNING  in comm round: 17 from 100
01-31 05:24 WARNING  in comm round: 18 from 100
01-31 05:27 WARNING  in comm round: 19 from 100
01-31 05:34 WARNING  in comm round: 20 from 100
01-31 05:37 WARNING  in comm round: 21 from 100
01-31 05:40 WARNING  in comm round: 22 from 100
01-31 05:42 WARNING  in comm round: 23 from 100
01-31 05:48 WARNING  in comm round: 24 from 100
01-31 05:54 WARNING  in comm round: 25 from 100
01-31 05:59 WARNING  in comm round: 26 from 100
01-31 06:02 WARNING  in comm round: 27 from 100
01-31 06:06 WARNING  in comm round: 28 from 100
01-31 06:10 WARNING  in comm round: 29 from 100
01-31 06:14 WARNING  in comm round: 30 from 100
01-31 06:18 WARNING  in comm round: 31 from 100
01-31 06:21 WARNING  in comm round: 32 from 100
01-31 06:24 WARNING  in comm round: 33 from 100
01-31 06:27 WARNING  in comm round: 34 from 100
01-31 06:30 WARNING  in comm round: 35 from 100
01-31 06:34 WARNING  in comm round: 36 from 100
01-31 06:37 WARNING  in comm round: 37 from 100
01-31 06:40 WARNING  in comm round: 38 from 100
01-31 06:45 WARNING  in comm round: 39 from 100
01-31 06:48 WARNING  in comm round: 40 from 100
01-31 06:52 WARNING  in comm round: 41 from 100
01-31 06:55 WARNING  in comm round: 42 from 100
01-31 06:58 WARNING  in comm round: 43 from 100
01-31 07:03 WARNING  in comm round: 44 from 100
01-31 07:06 WARNING  in comm round: 45 from 100
01-31 07:11 WARNING  in comm round: 46 from 100
01-31 07:13 WARNING  in comm round: 47 from 100
01-31 07:16 WARNING  in comm round: 48 from 100
01-31 07:20 WARNING  in comm round: 49 from 100
01-31 07:23 WARNING  in comm round: 50 from 100
01-31 07:29 WARNING  in comm round: 51 from 100
01-31 07:33 WARNING  in comm round: 52 from 100
01-31 07:37 WARNING  in comm round: 53 from 100
01-31 07:40 WARNING  in comm round: 54 from 100
01-31 08:06 WARNING  in comm round: 55 from 100
01-31 08:44 WARNING  in comm round: 56 from 100
01-31 09:44 WARNING  in comm round: 57 from 100
01-31 10:40 WARNING  in comm round: 58 from 100
01-31 11:41 WARNING  in comm round: 59 from 100
01-31 12:31 WARNING  in comm round: 60 from 100
01-31 13:25 WARNING  in comm round: 61 from 100
01-31 14:35 WARNING  in comm round: 62 from 100
01-31 15:36 WARNING  in comm round: 63 from 100
01-31 16:23 WARNING  in comm round: 64 from 100
01-31 17:20 WARNING  in comm round: 65 from 100
01-31 18:21 WARNING  in comm round: 66 from 100
01-31 19:53 WARNING  in comm round: 67 from 100
01-31 21:06 WARNING  in comm round: 68 from 100
01-31 21:58 WARNING  in comm round: 69 from 100
01-31 22:38 WARNING  in comm round: 70 from 100
01-31 23:20 WARNING  in comm round: 71 from 100
02-01 00:13 WARNING  in comm round: 72 from 100
02-01 01:05 WARNING  in comm round: 73 from 100
02-01 01:56 WARNING  in comm round: 74 from 100
02-01 02:48 WARNING  in comm round: 75 from 100
02-01 03:44 WARNING  in comm round: 76 from 100
02-01 04:46 WARNING  in comm round: 77 from 100
02-01 05:47 WARNING  in comm round: 78 from 100
02-01 06:49 WARNING  in comm round: 79 from 100
02-01 07:46 WARNING  in comm round: 80 from 100
02-01 08:48 WARNING  in comm round: 81 from 100
02-01 09:11 WARNING  in comm round: 82 from 100
02-01 09:18 WARNING  in comm round: 83 from 100
02-01 09:39 WARNING  in comm round: 84 from 100
02-01 10:01 WARNING  in comm round: 85 from 100
02-01 10:07 WARNING  in comm round: 86 from 100
02-01 10:12 WARNING  in comm round: 87 from 100
02-01 10:27 WARNING  in comm round: 88 from 100
02-01 11:01 WARNING  in comm round: 89 from 100
02-01 11:06 WARNING  in comm round: 90 from 100
02-01 11:11 WARNING  in comm round: 91 from 100
02-01 11:18 WARNING  in comm round: 92 from 100
02-01 11:23 WARNING  in comm round: 93 from 100
02-01 11:29 WARNING  in comm round: 94 from 100
02-01 12:26 WARNING  in comm round: 95 from 100
02-01 12:55 WARNING  in comm round: 96 from 100
02-01 13:03 WARNING  in comm round: 97 from 100
02-01 13:10 WARNING  in comm round: 98 from 100
02-01 13:15 WARNING  in comm round: 99 from 100
02-01 13:23 WARNING  Execution time: 33 hours, 50 minutes, 1.81 seconds
