,Round,Epoch,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,10,0.2668,0.2773,"[[275, 64, 12, 10, 5, 26, 41, 6, 402, 159], [20, 263, 10, 8, 8, 82, 110, 1, 276, 222], [105, 76, 37, 36, 26, 138, 371, 8, 77, 126], [33, 49, 41, 89, 41, 231, 284, 14, 48, 170], [30, 31, 29, 40, 69, 101, 521, 10, 57, 112], [39, 79, 33, 82, 45, 265, 260, 16, 72, 109], [8, 37, 20, 34, 20, 94, 646, 19, 13, 109], [27, 90, 16, 60, 52, 89, 225, 41, 41, 359], [45, 54, 12, 7, 4, 68, 10, 2, 562, 236], [12, 74, 13, 17, 4, 27, 76, 4, 247, 526]]"
1,1,10,0.36336,0.395,"[[400, 79, 20, 16, 26, 10, 29, 42, 282, 96], [15, 487, 3, 15, 7, 21, 39, 25, 159, 229], [93, 57, 83, 109, 196, 89, 213, 83, 35, 42], [33, 41, 38, 193, 52, 190, 231, 109, 30, 83], [46, 28, 26, 68, 313, 42, 313, 85, 46, 33], [27, 45, 23, 149, 76, 333, 168, 104, 31, 44], [7, 28, 14, 49, 114, 40, 631, 57, 10, 50], [20, 72, 24, 72, 88, 91, 85, 399, 21, 128], [111, 88, 6, 15, 11, 28, 14, 17, 583, 127], [10, 158, 6, 29, 7, 11, 45, 45, 161, 528]]"
2,2,10,0.41722,0.4579,"[[445, 80, 51, 19, 30, 12, 36, 35, 240, 52], [7, 642, 8, 15, 6, 19, 33, 20, 97, 153], [65, 39, 174, 90, 237, 87, 171, 85, 28, 24], [18, 47, 61, 219, 38, 222, 239, 76, 25, 55], [40, 28, 50, 53, 404, 46, 229, 95, 35, 20], [8, 36, 52, 153, 58, 405, 148, 95, 26, 19], [4, 17, 19, 56, 142, 35, 671, 24, 10, 22], [17, 39, 30, 70, 85, 108, 61, 517, 16, 57], [109, 99, 18, 16, 15, 25, 23, 12, 608, 75], [22, 217, 4, 27, 6, 20, 45, 50, 115, 494]]"
3,3,10,0.45356,0.4928,"[[485, 61, 60, 9, 27, 6, 39, 26, 230, 57], [15, 655, 14, 13, 6, 10, 22, 16, 105, 144], [59, 31, 341, 53, 150, 74, 167, 73, 30, 22], [22, 39, 83, 214, 43, 213, 241, 62, 28, 55], [40, 26, 93, 43, 395, 38, 206, 97, 41, 21], [8, 26, 78, 159, 54, 402, 133, 91, 28, 21], [2, 14, 49, 46, 120, 30, 694, 17, 10, 18], [16, 32, 38, 49, 71, 96, 59, 568, 14, 57], [108, 91, 15, 11, 17, 22, 15, 10, 653, 58], [28, 201, 13, 33, 5, 13, 46, 33, 107, 521]]"
4,4,10,0.47098,0.5071,"[[469, 70, 64, 17, 28, 5, 36, 25, 221, 65], [15, 711, 11, 12, 10, 7, 18, 9, 71, 136], [52, 34, 383, 59, 140, 53, 170, 60, 28, 21], [20, 36, 88, 276, 49, 152, 252, 50, 24, 53], [32, 24, 112, 56, 413, 27, 191, 90, 36, 19], [7, 25, 96, 220, 50, 342, 128, 82, 28, 22], [0, 17, 57, 57, 117, 19, 699, 15, 5, 14], [13, 30, 39, 57, 70, 82, 61, 573, 13, 62], [81, 102, 16, 11, 17, 11, 19, 8, 676, 59], [20, 234, 14, 29, 6, 10, 43, 29, 86, 529]]"
5,5,10,0.4826,0.5156,"[[480, 60, 58, 21, 33, 10, 45, 31, 208, 54], [13, 715, 9, 13, 10, 12, 23, 15, 61, 129], [48, 30, 342, 49, 154, 88, 178, 70, 23, 18], [11, 28, 67, 243, 55, 220, 248, 70, 18, 40], [22, 21, 86, 53, 430, 42, 182, 128, 26, 10], [4, 18, 72, 152, 58, 442, 116, 103, 16, 19], [0, 16, 46, 46, 118, 29, 711, 21, 3, 10], [12, 15, 27, 47, 66, 97, 53, 627, 11, 45], [75, 102, 11, 10, 23, 21, 25, 18, 670, 45], [25, 250, 12, 34, 8, 15, 46, 37, 77, 496]]"
6,6,10,0.49922,0.5294,"[[544, 49, 53, 19, 24, 8, 42, 29, 182, 50], [15, 708, 8, 11, 11, 9, 22, 12, 69, 135], [55, 26, 390, 54, 141, 66, 168, 53, 26, 21], [20, 26, 82, 272, 49, 189, 235, 58, 30, 39], [33, 17, 108, 47, 435, 35, 174, 111, 30, 10], [10, 19, 92, 169, 51, 413, 120, 84, 23, 19], [0, 16, 56, 50, 103, 22, 716, 19, 6, 12], [17, 14, 32, 47, 74, 91, 50, 609, 16, 50], [92, 81, 14, 12, 21, 13, 17, 11, 692, 47], [29, 235, 13, 31, 7, 11, 45, 32, 82, 515]]"
7,7,10,0.50748,0.5361,"[[537, 48, 54, 21, 28, 8, 40, 20, 190, 54], [14, 707, 8, 11, 10, 8, 21, 9, 75, 137], [57, 27, 375, 56, 150, 72, 167, 49, 27, 20], [23, 24, 74, 284, 60, 186, 223, 51, 31, 44], [29, 16, 89, 49, 469, 34, 165, 108, 31, 10], [14, 19, 74, 177, 67, 416, 113, 81, 18, 21], [2, 15, 49, 46, 102, 22, 725, 20, 6, 13], [19, 16, 25, 47, 81, 95, 44, 605, 15, 53], [78, 71, 14, 15, 21, 15, 15, 7, 710, 54], [23, 233, 14, 32, 9, 10, 35, 27, 84, 533]]"
8,8,10,0.51718,0.5442,"[[537, 49, 46, 25, 24, 8, 42, 31, 174, 64], [19, 725, 7, 9, 9, 7, 19, 7, 59, 139], [57, 30, 381, 63, 118, 81, 178, 45, 26, 21], [23, 22, 66, 319, 50, 197, 207, 45, 28, 43], [32, 18, 81, 63, 426, 41, 186, 113, 28, 12], [12, 16, 76, 194, 48, 438, 100, 76, 17, 23], [2, 14, 46, 56, 76, 30, 743, 17, 4, 12], [15, 14, 26, 56, 65, 91, 46, 626, 11, 50], [82, 74, 14, 18, 22, 12, 15, 9, 701, 53], [28, 230, 10, 33, 7, 11, 39, 31, 65, 546]]"
9,9,10,0.52548,0.5548,"[[559, 46, 49, 17, 25, 11, 43, 23, 170, 57], [17, 712, 6, 11, 7, 10, 19, 7, 67, 144], [66, 25, 418, 53, 110, 77, 155, 48, 27, 21], [26, 21, 78, 294, 46, 210, 206, 44, 31, 44], [34, 13, 99, 42, 434, 52, 173, 105, 34, 14], [17, 16, 80, 159, 40, 481, 102, 67, 19, 19], [2, 13, 56, 47, 73, 31, 744, 14, 8, 12], [18, 11, 33, 43, 65, 100, 46, 624, 11, 49], [87, 66, 11, 17, 16, 15, 17, 7, 716, 48], [33, 204, 14, 27, 6, 14, 42, 25, 69, 566]]"
