,Round,Test Accuracy,Confusion Matrix
0,0,0.4223,"[[443, 92, 8, 30, 30, 5, 25, 87, 114, 166], [10, 669, 0, 18, 0, 4, 31, 36, 27, 205], [87, 27, 41, 139, 323, 38, 145, 145, 24, 31], [29, 30, 7, 336, 108, 52, 208, 165, 13, 52], [35, 21, 8, 88, 462, 8, 184, 155, 11, 28], [24, 23, 8, 311, 143, 136, 133, 191, 11, 20], [3, 15, 1, 100, 178, 5, 563, 97, 5, 33], [20, 19, 4, 82, 118, 36, 54, 596, 6, 65], [125, 140, 0, 41, 12, 4, 10, 32, 388, 248], [13, 235, 1, 25, 4, 1, 38, 57, 37, 589]]"
1,1,0.5471,"[[562, 47, 64, 14, 17, 12, 21, 18, 173, 72], [25, 710, 7, 11, 2, 10, 7, 11, 70, 147], [75, 27, 422, 70, 102, 98, 83, 64, 32, 27], [26, 19, 73, 322, 34, 225, 153, 85, 22, 41], [46, 10, 156, 71, 353, 52, 122, 144, 30, 16], [14, 9, 72, 184, 49, 463, 59, 113, 17, 20], [7, 25, 65, 73, 93, 39, 635, 29, 20, 14], [19, 11, 35, 56, 50, 105, 27, 645, 14, 38], [74, 60, 12, 18, 3, 12, 8, 9, 764, 40], [36, 200, 9, 20, 3, 10, 15, 28, 84, 595]]"
2,2,0.5905,"[[583, 47, 29, 11, 29, 4, 35, 20, 178, 64], [14, 803, 3, 6, 3, 4, 19, 8, 33, 107], [61, 21, 409, 54, 146, 54, 152, 43, 37, 23], [18, 19, 75, 309, 86, 168, 232, 36, 26, 31], [29, 11, 90, 37, 549, 28, 150, 66, 23, 17], [11, 11, 68, 170, 95, 419, 131, 64, 12, 19], [3, 17, 39, 26, 65, 18, 808, 8, 6, 10], [15, 13, 27, 55, 113, 61, 46, 634, 7, 29], [71, 78, 7, 18, 7, 9, 19, 4, 748, 39], [27, 191, 6, 17, 8, 7, 35, 20, 46, 643]]"
3,3,0.6201,"[[693, 34, 44, 8, 15, 6, 27, 15, 115, 43], [28, 805, 5, 4, 1, 2, 19, 5, 37, 94], [87, 11, 465, 61, 90, 57, 149, 30, 28, 22], [28, 19, 84, 393, 40, 164, 187, 34, 30, 21], [41, 10, 121, 54, 485, 30, 161, 60, 30, 8], [19, 6, 82, 181, 50, 469, 116, 43, 16, 18], [6, 13, 42, 39, 33, 22, 819, 7, 9, 10], [23, 10, 33, 66, 94, 74, 38, 629, 7, 26], [102, 44, 8, 11, 2, 5, 14, 3, 779, 32], [37, 172, 11, 15, 6, 6, 29, 12, 48, 664]]"
4,4,0.6349,"[[706, 41, 43, 7, 16, 5, 18, 28, 86, 50], [16, 808, 1, 7, 5, 3, 19, 5, 28, 108], [81, 6, 457, 90, 117, 63, 101, 33, 26, 26], [28, 16, 67, 449, 53, 148, 142, 44, 23, 30], [31, 10, 98, 67, 535, 26, 106, 99, 23, 5], [23, 10, 57, 246, 56, 458, 63, 63, 9, 15], [8, 15, 38, 59, 50, 28, 763, 16, 11, 12], [26, 6, 24, 74, 78, 75, 9, 684, 2, 22], [98, 49, 9, 22, 4, 9, 7, 2, 764, 36], [33, 138, 5, 17, 5, 7, 23, 13, 34, 725]]"
5,5,0.6398,"[[662, 27, 47, 11, 28, 6, 25, 22, 126, 46], [26, 767, 4, 8, 7, 2, 22, 7, 49, 108], [64, 5, 479, 76, 132, 45, 128, 31, 25, 15], [17, 11, 70, 426, 75, 127, 187, 33, 31, 23], [20, 4, 95, 52, 598, 16, 135, 52, 23, 5], [11, 7, 69, 213, 90, 437, 101, 47, 12, 13], [5, 6, 30, 38, 37, 15, 839, 12, 10, 8], [16, 5, 29, 57, 141, 59, 29, 644, 3, 17], [69, 34, 7, 12, 7, 5, 8, 2, 832, 24], [31, 104, 11, 18, 9, 5, 33, 13, 62, 714]]"
6,6,0.6603,"[[701, 27, 49, 13, 20, 8, 19, 22, 95, 46], [29, 796, 5, 8, 5, 4, 14, 4, 37, 98], [77, 4, 532, 72, 112, 56, 70, 35, 23, 19], [25, 14, 81, 455, 69, 163, 98, 45, 23, 27], [28, 6, 96, 67, 626, 19, 53, 83, 20, 2], [16, 5, 77, 201, 70, 510, 39, 55, 11, 16], [6, 10, 45, 57, 64, 29, 746, 21, 10, 12], [18, 2, 41, 50, 95, 73, 9, 693, 3, 16], [87, 33, 6, 18, 5, 7, 8, 2, 805, 29], [29, 110, 9, 18, 8, 6, 23, 15, 43, 739]]"
7,7,0.6669,"[[710, 29, 30, 11, 21, 9, 16, 18, 109, 47], [26, 797, 5, 4, 5, 1, 14, 5, 33, 110], [79, 7, 468, 70, 133, 79, 86, 28, 26, 24], [27, 18, 58, 437, 70, 211, 97, 36, 20, 26], [28, 6, 69, 58, 609, 31, 72, 101, 22, 4], [14, 10, 46, 169, 65, 583, 31, 51, 13, 18], [7, 13, 26, 57, 58, 37, 762, 14, 14, 12], [18, 2, 26, 57, 73, 77, 11, 710, 3, 23], [69, 39, 8, 12, 7, 4, 6, 2, 823, 30], [28, 91, 7, 17, 8, 4, 17, 14, 44, 770]]"
8,8,0.6729,"[[708, 33, 44, 14, 24, 13, 17, 19, 95, 33], [21, 827, 5, 8, 11, 5, 20, 7, 25, 71], [67, 5, 566, 63, 77, 84, 83, 29, 16, 10], [20, 17, 70, 427, 50, 240, 115, 30, 14, 17], [25, 6, 103, 61, 580, 45, 86, 73, 18, 3], [10, 6, 54, 143, 46, 641, 55, 32, 5, 8], [3, 8, 42, 46, 41, 42, 793, 11, 10, 4], [17, 3, 39, 53, 94, 100, 12, 668, 2, 12], [72, 43, 8, 16, 6, 10, 8, 2, 806, 29], [29, 129, 11, 25, 11, 8, 23, 15, 36, 713]]"
9,9,0.6798,"[[749, 24, 25, 14, 15, 10, 11, 19, 89, 44], [25, 814, 3, 5, 5, 3, 11, 6, 35, 93], [88, 6, 498, 81, 105, 65, 73, 37, 20, 27], [38, 15, 41, 500, 52, 192, 81, 38, 19, 24], [39, 6, 61, 73, 619, 28, 59, 84, 25, 6], [20, 6, 40, 191, 46, 579, 29, 58, 13, 18], [8, 13, 32, 74, 47, 41, 745, 14, 16, 10], [21, 4, 30, 56, 78, 69, 7, 712, 2, 21], [75, 32, 8, 15, 1, 8, 2, 3, 823, 33], [25, 108, 11, 20, 4, 4, 14, 11, 44, 759]]"
