,Round,Daisy,Epoch,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,10,1,0.27746,0.2972,"[[353, 104, 0, 0, 3, 69, 37, 50, 267, 117], [38, 315, 0, 0, 5, 90, 87, 73, 246, 146], [113, 75, 0, 3, 53, 225, 324, 108, 53, 46], [46, 43, 0, 2, 59, 355, 233, 169, 23, 70], [42, 28, 0, 1, 92, 158, 502, 102, 24, 51], [41, 71, 0, 0, 72, 413, 215, 124, 27, 37], [11, 26, 0, 7, 42, 135, 625, 122, 3, 29], [34, 77, 0, 0, 74, 178, 150, 311, 32, 144], [117, 102, 1, 0, 1, 103, 10, 30, 456, 180], [37, 116, 0, 0, 6, 57, 64, 97, 218, 405]]"
1,1,10,1,0.34562,0.3753,"[[439, 102, 1, 11, 8, 34, 33, 65, 198, 109], [27, 525, 1, 11, 4, 20, 38, 25, 114, 235], [106, 72, 25, 58, 129, 106, 294, 139, 41, 30], [52, 59, 11, 100, 56, 207, 274, 127, 23, 91], [49, 31, 14, 31, 226, 78, 380, 134, 23, 34], [33, 56, 9, 53, 64, 348, 231, 127, 37, 42], [9, 30, 12, 43, 78, 42, 659, 68, 8, 51], [40, 58, 4, 25, 83, 99, 107, 450, 21, 113], [136, 113, 0, 17, 1, 42, 16, 19, 435, 221], [24, 170, 1, 15, 2, 13, 53, 30, 146, 546]]"
2,2,10,1,0.40248,0.4356,"[[490, 80, 44, 11, 11, 11, 22, 47, 213, 71], [22, 613, 3, 10, 2, 11, 19, 30, 111, 179], [85, 48, 188, 68, 149, 65, 199, 143, 31, 24], [36, 45, 66, 211, 35, 159, 229, 129, 17, 73], [53, 28, 73, 50, 306, 24, 244, 169, 32, 21], [26, 24, 68, 152, 44, 326, 141, 159, 29, 31], [4, 19, 41, 65, 118, 21, 617, 66, 10, 39], [43, 40, 29, 56, 70, 73, 52, 570, 12, 55], [158, 104, 10, 14, 5, 18, 13, 19, 537, 122], [33, 210, 2, 28, 4, 9, 35, 45, 136, 498]]"
3,3,10,1,0.44066,0.4754,"[[480, 71, 50, 21, 15, 16, 26, 27, 217, 77], [21, 642, 7, 11, 5, 14, 17, 13, 90, 180], [67, 37, 267, 75, 128, 120, 170, 80, 29, 27], [22, 37, 49, 299, 26, 234, 192, 67, 10, 64], [46, 26, 94, 57, 323, 55, 240, 108, 32, 19], [15, 16, 72, 165, 27, 449, 116, 92, 23, 25], [1, 23, 59, 99, 84, 37, 631, 31, 9, 26], [30, 30, 27, 72, 61, 114, 52, 531, 16, 67], [120, 95, 6, 16, 7, 22, 11, 13, 603, 107], [24, 221, 5, 33, 4, 14, 30, 35, 105, 529]]"
4,4,10,1,0.46042,0.5005,"[[524, 65, 64, 17, 20, 6, 25, 34, 162, 83], [22, 674, 9, 8, 7, 11, 17, 18, 55, 179], [53, 31, 371, 63, 120, 81, 143, 84, 26, 28], [22, 27, 83, 258, 31, 214, 212, 89, 10, 54], [38, 25, 129, 49, 357, 32, 198, 126, 29, 17], [13, 15, 102, 138, 35, 419, 117, 114, 19, 28], [1, 17, 71, 64, 95, 23, 657, 39, 8, 25], [26, 22, 39, 50, 54, 86, 50, 618, 13, 42], [140, 102, 16, 9, 13, 16, 12, 18, 566, 108], [24, 222, 7, 21, 6, 12, 36, 52, 59, 561]]"
5,5,10,1,0.47722,0.5156,"[[510, 68, 58, 23, 20, 8, 29, 32, 190, 62], [16, 679, 13, 10, 7, 11, 17, 15, 71, 161], [55, 29, 391, 64, 103, 76, 151, 80, 28, 23], [16, 26, 78, 295, 34, 182, 218, 88, 13, 50], [35, 23, 147, 52, 340, 31, 199, 124, 32, 17], [7, 13, 104, 166, 31, 394, 125, 114, 21, 25], [1, 16, 66, 55, 83, 20, 693, 34, 8, 24], [25, 18, 35, 53, 53, 75, 47, 640, 11, 43], [104, 93, 14, 11, 10, 13, 12, 18, 653, 72], [24, 219, 9, 19, 5, 10, 34, 45, 74, 561]]"
6,6,10,1,0.4937,0.5295,"[[527, 61, 42, 26, 19, 8, 25, 22, 191, 79], [16, 697, 7, 12, 6, 9, 14, 9, 63, 167], [76, 26, 376, 75, 105, 111, 113, 65, 30, 23], [24, 29, 63, 342, 32, 207, 169, 72, 18, 44], [40, 20, 130, 67, 370, 50, 157, 116, 29, 21], [15, 11, 81, 174, 31, 452, 93, 94, 22, 27], [3, 15, 61, 81, 84, 35, 655, 28, 12, 26], [25, 18, 28, 67, 60, 93, 36, 604, 17, 52], [91, 87, 10, 14, 4, 15, 11, 11, 681, 76], [27, 217, 7, 14, 6, 14, 30, 30, 64, 591]]"
7,7,10,1,0.50846,0.5352,"[[576, 69, 44, 19, 11, 5, 27, 13, 162, 74], [14, 747, 11, 11, 3, 5, 13, 6, 51, 139], [79, 29, 398, 76, 109, 73, 126, 54, 31, 25], [29, 32, 76, 312, 35, 178, 200, 67, 23, 48], [45, 19, 135, 60, 370, 38, 181, 104, 26, 22], [15, 17, 97, 179, 35, 398, 109, 97, 25, 28], [3, 20, 61, 56, 79, 28, 696, 20, 11, 26], [25, 26, 32, 62, 63, 72, 44, 604, 15, 57], [107, 102, 10, 9, 4, 14, 11, 8, 678, 57], [27, 252, 11, 10, 5, 9, 29, 22, 62, 573]]"
8,8,10,1,0.51816,0.5513,"[[555, 48, 35, 23, 18, 9, 29, 29, 178, 76], [16, 693, 7, 11, 4, 10, 15, 9, 61, 174], [71, 18, 361, 78, 120, 101, 135, 65, 30, 21], [22, 18, 58, 327, 41, 221, 176, 77, 22, 38], [40, 16, 90, 56, 405, 54, 167, 128, 25, 19], [8, 10, 65, 160, 35, 470, 97, 105, 24, 26], [1, 14, 48, 59, 82, 38, 703, 26, 7, 22], [15, 11, 17, 52, 61, 92, 44, 659, 13, 36], [92, 66, 8, 12, 11, 17, 10, 12, 715, 57], [27, 184, 6, 17, 8, 12, 28, 36, 57, 625]]"
9,9,10,1,0.52776,0.5592,"[[585, 48, 44, 20, 16, 5, 25, 18, 161, 78], [19, 736, 12, 11, 3, 3, 18, 4, 47, 147], [67, 21, 398, 75, 138, 65, 133, 50, 33, 20], [25, 24, 72, 346, 50, 166, 189, 64, 30, 34], [42, 19, 103, 58, 439, 30, 163, 109, 26, 11], [11, 12, 90, 174, 45, 418, 108, 90, 25, 27], [3, 14, 56, 55, 92, 20, 714, 16, 9, 21], [19, 16, 28, 62, 73, 71, 44, 631, 12, 44], [94, 75, 9, 11, 10, 14, 11, 5, 710, 61], [30, 211, 11, 12, 6, 9, 28, 24, 54, 615]]"
