,Round,Daisy,Epoch,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,10,10,0.40552,0.4302,"[[272, 26, 89, 9, 83, 3, 42, 18, 404, 54], [7, 452, 24, 7, 42, 2, 43, 9, 263, 151], [30, 16, 288, 33, 356, 12, 154, 35, 66, 10], [6, 20, 96, 221, 190, 38, 302, 26, 56, 45], [18, 4, 65, 28, 604, 2, 162, 55, 53, 9], [3, 11, 126, 206, 222, 127, 202, 35, 52, 16], [1, 5, 35, 22, 225, 3, 653, 9, 28, 19], [9, 12, 48, 46, 299, 16, 78, 417, 31, 44], [23, 28, 13, 8, 43, 9, 19, 6, 803, 48], [7, 129, 15, 15, 35, 4, 48, 30, 252, 465]]"
1,1,10,10,0.53666,0.5658,"[[592, 33, 54, 15, 31, 9, 35, 19, 160, 52], [30, 731, 14, 10, 12, 2, 15, 10, 76, 100], [63, 24, 469, 51, 151, 51, 102, 41, 32, 16], [33, 24, 91, 340, 85, 142, 182, 43, 35, 25], [25, 7, 116, 53, 553, 18, 101, 89, 30, 8], [13, 11, 111, 194, 79, 361, 125, 62, 29, 15], [5, 12, 54, 43, 162, 13, 671, 13, 14, 13], [19, 14, 41, 59, 130, 61, 39, 601, 16, 20], [77, 65, 11, 13, 11, 12, 17, 4, 760, 30], [29, 183, 18, 13, 8, 9, 32, 24, 104, 580]]"
2,2,10,10,0.57888,0.5967,"[[617, 38, 47, 16, 34, 13, 30, 18, 140, 47], [20, 780, 11, 9, 10, 7, 15, 8, 48, 92], [66, 16, 492, 63, 114, 62, 111, 32, 27, 17], [31, 26, 81, 396, 75, 165, 145, 35, 24, 22], [32, 9, 114, 50, 516, 23, 128, 94, 24, 10], [15, 8, 84, 216, 65, 431, 92, 55, 20, 14], [3, 14, 55, 56, 86, 17, 734, 14, 8, 13], [15, 14, 36, 70, 108, 67, 35, 613, 9, 33], [74, 63, 9, 19, 11, 13, 16, 5, 762, 28], [25, 189, 16, 13, 8, 10, 31, 17, 65, 626]]"
3,3,10,10,0.59796,0.6127,"[[629, 32, 54, 15, 29, 12, 28, 18, 145, 38], [16, 765, 7, 8, 13, 11, 16, 9, 58, 97], [64, 12, 495, 66, 108, 71, 98, 31, 29, 26], [26, 18, 82, 410, 71, 182, 125, 33, 28, 25], [37, 8, 114, 43, 508, 37, 123, 97, 26, 7], [16, 3, 75, 225, 50, 454, 77, 53, 30, 17], [3, 12, 50, 61, 76, 23, 745, 9, 9, 12], [25, 7, 36, 63, 96, 65, 33, 640, 13, 22], [62, 38, 11, 17, 7, 12, 11, 8, 812, 22], [30, 140, 17, 22, 6, 12, 26, 14, 64, 669]]"
4,4,10,10,0.6058,0.6153,"[[615, 38, 54, 16, 39, 13, 32, 20, 133, 40], [20, 781, 7, 10, 11, 11, 17, 7, 42, 94], [55, 16, 471, 67, 147, 60, 106, 31, 27, 20], [27, 21, 71, 419, 93, 158, 123, 43, 18, 27], [29, 9, 88, 37, 601, 23, 104, 85, 19, 5], [14, 4, 66, 238, 76, 425, 82, 54, 21, 20], [3, 12, 47, 60, 81, 24, 741, 12, 9, 11], [16, 8, 33, 67, 123, 59, 34, 628, 8, 24], [61, 48, 10, 24, 12, 9, 14, 7, 793, 22], [24, 153, 14, 18, 10, 7, 23, 14, 58, 679]]"
5,5,10,10,0.61512,0.6194,"[[637, 27, 60, 24, 25, 13, 27, 16, 136, 35], [27, 766, 6, 13, 12, 12, 17, 9, 49, 89], [63, 14, 481, 73, 115, 74, 103, 32, 29, 16], [28, 15, 72, 425, 71, 185, 124, 38, 23, 19], [33, 6, 102, 40, 560, 35, 104, 95, 21, 4], [16, 6, 61, 224, 58, 474, 81, 52, 15, 13], [5, 7, 49, 67, 73, 34, 730, 12, 11, 12], [20, 5, 37, 70, 108, 66, 36, 633, 8, 17], [66, 38, 10, 25, 10, 13, 11, 6, 798, 23], [25, 137, 14, 21, 7, 10, 28, 14, 54, 690]]"
6,6,10,10,0.62026,0.6275,"[[649, 31, 47, 22, 26, 14, 24, 17, 137, 33], [26, 764, 5, 11, 10, 17, 15, 7, 46, 99], [68, 14, 490, 73, 106, 73, 101, 30, 30, 15], [27, 15, 60, 433, 77, 191, 117, 37, 23, 20], [30, 10, 87, 49, 573, 30, 104, 88, 22, 7], [17, 6, 57, 212, 58, 484, 77, 50, 21, 18], [6, 7, 48, 73, 74, 32, 731, 7, 10, 12], [13, 8, 32, 74, 97, 66, 34, 645, 6, 25], [57, 37, 6, 28, 11, 9, 15, 7, 800, 30], [26, 124, 10, 25, 6, 10, 26, 12, 55, 706]]"
7,7,10,10,0.62718,0.6312,"[[651, 38, 43, 19, 31, 16, 25, 22, 114, 41], [24, 764, 7, 9, 10, 12, 16, 11, 43, 104], [60, 15, 485, 69, 123, 70, 99, 36, 27, 16], [26, 16, 62, 417, 83, 196, 123, 40, 18, 19], [29, 10, 65, 44, 606, 24, 101, 93, 21, 7], [15, 5, 45, 198, 66, 503, 76, 56, 15, 21], [5, 10, 41, 70, 86, 31, 724, 15, 9, 9], [10, 5, 27, 72, 110, 66, 30, 648, 6, 26], [68, 37, 9, 27, 12, 10, 13, 8, 784, 32], [20, 119, 13, 24, 6, 9, 23, 13, 43, 730]]"
8,8,10,10,0.62834,0.6321,"[[653, 35, 49, 19, 34, 12, 24, 14, 119, 41], [30, 776, 6, 8, 15, 6, 15, 7, 43, 94], [66, 13, 511, 72, 136, 51, 89, 23, 24, 15], [23, 15, 65, 459, 92, 159, 106, 37, 24, 20], [32, 12, 67, 48, 622, 23, 91, 80, 19, 6], [21, 8, 58, 231, 74, 442, 74, 49, 22, 21], [4, 9, 48, 74, 94, 25, 714, 10, 11, 11], [15, 6, 30, 70, 118, 56, 34, 634, 6, 31], [69, 38, 11, 23, 13, 6, 14, 7, 786, 33], [25, 128, 15, 21, 5, 5, 23, 15, 39, 724]]"
9,9,10,10,0.63342,0.6312,"[[648, 31, 44, 24, 33, 16, 26, 15, 123, 40], [29, 774, 7, 11, 14, 6, 15, 9, 42, 93], [60, 13, 485, 74, 123, 68, 101, 34, 28, 14], [20, 16, 67, 426, 85, 199, 110, 34, 22, 21], [28, 12, 62, 44, 609, 27, 102, 93, 18, 5], [21, 8, 48, 201, 66, 481, 84, 44, 24, 23], [5, 7, 39, 75, 78, 34, 732, 8, 8, 14], [14, 9, 26, 75, 116, 70, 29, 627, 4, 30], [61, 42, 8, 23, 15, 13, 9, 5, 794, 30], [25, 118, 11, 20, 5, 9, 21, 11, 44, 736]]"
