round, train_acc, test_acc, f1, time_stamp
0, 0.16608, 0.1678, 0.1678, 798.0625002384186
1, 0.222, 0.2306, 0.2306, 1587.4847683906555
2, 0.13272, 0.1387, 0.1387, 2390.708318710327
3, 0.22156, 0.2267, 0.2267, 3204.366115808487
4, 0.1152, 0.1159, 0.1159, 4001.6209666728973
5, 0.1275, 0.1336, 0.1336, 4815.231359958649
6, 0.10376, 0.1041, 0.1041, 5616.304567813873
7, 0.10422, 0.104, 0.104, 6482.367779254913
8, 0.17084, 0.1782, 0.1782, 7259.29070520401
9, 0.10234, 0.1023, 0.1023, 8028.384536266327
10, 0.12684, 0.1294, 0.1294, 8999.770928144455
11, 0.1, 0.1, 0.1, 10129.305176973343
12, 0.1, 0.0999, 0.0999, 11264.8137550354
13, 0.1, 0.1, 0.1, 12546.617543458939
14, 0.10002, 0.0999, 0.0999, 13710.184082984924
15, 0.1, 0.1, 0.1, 14990.098349571228
16, 0.10006, 0.0999, 0.0999, 16168.925774335861
17, 0.1006, 0.1006, 0.1006, 17326.89689016342
18, 0.10024, 0.1004, 0.1004, 18530.148501873016
19, 0.1001, 0.1, 0.1, 19788.10486316681
20, 0.1002, 0.1001, 0.1001, 20947.06835913658
21, 0.10032, 0.1003, 0.1003, 22235.910393714905
22, 0.10074, 0.1005, 0.1005, 23328.805030584335
23, 0.10198, 0.101, 0.101, 24538.336443424225
24, 0.1331, 0.1376, 0.1376, 25718.86819958687
25, 0.222, 0.2364, 0.2364, 27062.43554353714
26, 0.10174, 0.1011, 0.1011, 28271.01434969902
27, 0.16864, 0.1753, 0.1753, 29429.43113398552
28, 0.10012, 0.1004, 0.1004, 30581.14699792862
29, 0.1043, 0.1039, 0.1039, 31716.538682699203
30, 0.24468, 0.2633, 0.2633, 32827.80686020851
31, 0.24936, 0.2527, 0.2527, 34001.05623602867
32, 0.1933, 0.1997, 0.1997, 35157.430788517
33, 0.23166, 0.2368, 0.2368, 36270.18111586571
34, 0.11094, 0.1115, 0.1115, 37461.80600333214
35, 0.11474, 0.1146, 0.1146, 38552.22256851196
36, 0.10014, 0.1001, 0.1001, 39631.53837919235
37, 0.10008, 0.1, 0.1, 40651.300285577774
38, 0.10036, 0.1003, 0.1003, 41699.796501636505
39, 0.10002, 0.1, 0.1, 42665.840530872345
40, 0.10076, 0.1007, 0.1007, 43646.099376916885
41, 0.10014, 0.0996, 0.0996, 44623.0736644268
42, 0.1021, 0.1017, 0.1017, 45551.53250145912
43, 0.10108, 0.1017, 0.1017, 46380.44225478172
44, 0.1116, 0.1119, 0.1119, 47269.09281182289
45, 0.2134, 0.2227, 0.2227, 48214.04643988609
46, 0.2508, 0.2648, 0.2648, 49186.208530664444
47, 0.1897, 0.1939, 0.1939, 50158.97356009483
48, 0.1944, 0.2022, 0.2022, 51123.09396314621
49, 0.13624, 0.1408, 0.1408, 52091.02156877518
