,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.4554,0,0
1,1,10,0,0.5979,0,0
2,2,10,0,0.6372,0,0
3,3,10,0,0.6556,0,0
4,4,10,0,0.6629,0,0
5,5,10,0,0.6742,0,0
6,6,10,0,0.6717,0,0
7,7,10,0,0.6824,0,0
8,8,10,0,0.6809,0,0
9,9,10,0,0.6854,0,0
10,10,10,0,0.6888,0,0
11,11,10,0,0.693,0,0
12,12,10,0,0.6903,0,0
13,13,10,0,0.6933,0,0
14,14,10,0,0.6437,0,0
15,15,10,0,0.6943,0,0
16,16,10,0,0.7,0,0
17,17,10,0,0.7002,0,0
18,18,10,0,0.7034,0,0
19,19,10,0,0.7051,0,0
20,20,10,0,0.7049,0,0
21,21,10,0,0.7065,0,0
22,22,10,0,0.705,0,0
23,23,10,0,0.7072,0,0
24,24,10,0,0.7093,0,0
25,25,10,0,0.7019,0,0
26,26,10,0,0.7109,0,0
27,27,10,0,0.7106,0,0
28,28,10,0,0.7132,0,0
29,29,10,0,0.7135,0,0
30,30,10,0,0.7136,0,0
31,31,10,0,0.7138,0,0
32,32,10,0,0.7144,0,0
33,33,10,0,0.7175,0,0
34,34,10,0,0.7167,0,0
35,35,10,0,0.7159,0,0
36,36,10,0,0.7124,0,0
37,37,10,0,0.7135,0,0
38,38,10,0,0.7175,0,0
39,39,10,0,0.7176,0,0
40,40,10,0,0.7118,0,0
41,41,10,0,0.721,0,0
42,42,10,0,0.72,0,0
43,43,10,0,0.7185,0,0
44,44,10,0,0.7181,0,0
45,45,10,0,0.7185,0,0
46,46,10,0,0.7213,0,0
47,47,10,0,0.7213,0,0
48,48,10,0,0.7214,0,0
49,49,10,0,0.72,0,0
