round, train_acc, test_acc, f1, time_stamp
0, 0, 0.4554, 0, 7713.750575065613
1, 0, 0.5979, 0, 15926.205338478088
2, 0, 0.6372, 0, 23800.490141391754
3, 0, 0.6556, 0, 31631.11496591568
4, 0, 0.6629, 0, 39422.20934796333
5, 0, 0.6742, 0, 46323.082483291626
6, 0, 0.6717, 0, 52938.76271080971
7, 0, 0.6824, 0, 59979.456416368484
8, 0, 0.6809, 0, 67424.30939483643
9, 0, 0.6854, 0, 74457.56759428978
10, 0, 0.6888, 0, 81465.77058553696
11, 0, 0.693, 0, 89100.64546370506
12, 0, 0.6903, 0, 96375.45601582527
13, 0, 0.6933, 0, 103347.97186160088
14, 0, 0.6437, 0, 109962.78996157646
15, 0, 0.6943, 0, 117214.71775770187
16, 0, 0.7, 0, 124340.5078034401
17, 0, 0.7002, 0, 131697.97868275642
18, 0, 0.7034, 0, 139270.1981201172
19, 0, 0.7051, 0, 146729.37618088722
20, 0, 0.7049, 0, 154408.9796962738
21, 0, 0.7065, 0, 161551.82440018654
22, 0, 0.705, 0, 168967.4307744503
23, 0, 0.7072, 0, 176687.87374973297
24, 0, 0.7093, 0, 184724.56297039986
25, 0, 0.7019, 0, 192839.57781100273
26, 0, 0.7109, 0, 200143.65138983727
27, 0, 0.7106, 0, 207367.09211277962
28, 0, 0.7132, 0, 214592.50650262833
29, 0, 0.7135, 0, 221161.2111709118
30, 0, 0.7136, 0, 227989.99659371376
31, 0, 0.7138, 0, 234874.5902762413
32, 0, 0.7144, 0, 241345.75127744675
33, 0, 0.7175, 0, 247644.42995929718
34, 0, 0.7167, 0, 253680.41267251968
35, 0, 0.7159, 0, 259932.7330505848
36, 0, 0.7124, 0, 266081.1155869961
37, 0, 0.7135, 0, 272608.4764530659
38, 0, 0.7175, 0, 278781.01382660866
39, 0, 0.7176, 0, 285001.0685181618
40, 0, 0.7118, 0, 291296.6682033539
41, 0, 0.721, 0, 297435.1973438263
42, 0, 0.72, 0, 303834.87785339355
43, 0, 0.7185, 0, 310114.6127476692
44, 0, 0.7181, 0, 316181.94916796684
45, 0, 0.7185, 0, 322580.98571658134
46, 0, 0.7213, 0, 328728.82351017
47, 0, 0.7213, 0, 334862.90936660767
48, 0, 0.7214, 0, 340790.8998711109
49, 0, 0.72, 0, 346938.26371335983
