,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.2932,0,0
1,1,10,0,0.4411,0,0
2,2,10,0,0.3333,0,0
3,3,10,0,0.3701,0,0
4,4,10,0,0.5444,0,0
5,5,10,0,0.5376,0,0
6,6,10,0,0.5531,0,0
7,7,10,0,0.6029,0,0
8,8,10,0,0.6139,0,0
9,9,10,0,0.6162,0,0
10,10,10,0,0.6337,0,0
11,11,10,0,0.6325,0,0
12,12,10,0,0.6286,0,0
13,13,10,0,0.6344,0,0
14,14,10,0,0.6432,0,0
15,15,10,0,0.5973,0,0
16,16,10,0,0.6419,0,0
17,17,10,0,0.6464,0,0
18,18,10,0,0.6562,0,0
19,19,10,0,0.5746,0,0
20,20,10,0,0.662,0,0
21,21,10,0,0.618,0,0
22,22,10,0,0.6702,0,0
23,23,10,0,0.6647,0,0
24,24,10,0,0.5898,0,0
25,25,10,0,0.6674,0,0
26,26,10,0,0.6768,0,0
27,27,10,0,0.6524,0,0
28,28,10,0,0.6625,0,0
29,29,10,0,0.6795,0,0
30,30,10,0,0.6689,0,0
31,31,10,0,0.683,0,0
32,32,10,0,0.6573,0,0
33,33,10,0,0.6768,0,0
34,34,10,0,0.6379,0,0
35,35,10,0,0.6852,0,0
36,36,10,0,0.6867,0,0
37,37,10,0,0.6857,0,0
38,38,10,0,0.6669,0,0
39,39,10,0,0.6549,0,0
40,40,10,0,0.6813,0,0
41,41,10,0,0.6793,0,0
42,42,10,0,0.6892,0,0
43,43,10,0,0.6658,0,0
44,44,10,0,0.6953,0,0
45,45,10,0,0.6899,0,0
46,46,10,0,0.6833,0,0
47,47,10,0,0.6624,0,0
48,48,10,0,0.676,0,0
49,49,10,0,0.6941,0,0
