round, train_acc, test_acc, f1, time_stamp
0, 0, 0.2932, 0, 2079.2549183368683
1, 0, 0.4411, 0, 4166.214074373245
2, 0, 0.3333, 0, 6231.328520059586
3, 0, 0.3701, 0, 8267.974694013596
4, 0, 0.5444, 0, 10306.712429523468
5, 0, 0.5376, 0, 12383.22649049759
6, 0, 0.5531, 0, 14396.371879339218
7, 0, 0.6029, 0, 16414.063354730606
8, 0, 0.6139, 0, 18485.904483795166
9, 0, 0.6162, 0, 20517.182787895203
10, 0, 0.6337, 0, 22539.947329759598
11, 0, 0.6325, 0, 24599.41521501541
12, 0, 0.6286, 0, 26646.944407701492
13, 0, 0.6344, 0, 28657.944368600845
14, 0, 0.6432, 0, 30673.550648212433
15, 0, 0.5973, 0, 32700.48627781868
16, 0, 0.6419, 0, 34714.443514585495
17, 0, 0.6464, 0, 36633.478237867355
18, 0, 0.6562, 0, 38614.64033651352
19, 0, 0.5746, 0, 40622.0509223938
20, 0, 0.662, 0, 42598.08335542679
21, 0, 0.618, 0, 44588.876101493835
22, 0, 0.6702, 0, 46695.96748971939
23, 0, 0.6647, 0, 48810.90912628174
24, 0, 0.5898, 0, 50913.54630804062
25, 0, 0.6674, 0, 53019.42479300499
26, 0, 0.6768, 0, 55125.205589056015
27, 0, 0.6524, 0, 57235.07688808441
28, 0, 0.6625, 0, 59359.903252363205
29, 0, 0.6795, 0, 61412.0871553421
30, 0, 0.6689, 0, 63363.75253152847
31, 0, 0.683, 0, 65317.048941373825
32, 0, 0.6573, 0, 67343.89357328415
33, 0, 0.6768, 0, 69465.76669406891
34, 0, 0.6379, 0, 71588.16405177116
35, 0, 0.6852, 0, 73713.74148011208
36, 0, 0.6867, 0, 75840.69805788994
37, 0, 0.6857, 0, 77961.59821915627
38, 0, 0.6669, 0, 80083.20341682434
39, 0, 0.6549, 0, 82207.81845593452
40, 0, 0.6813, 0, 84352.34867882729
41, 0, 0.6793, 0, 86479.6615293026
42, 0, 0.6892, 0, 88635.11031413078
43, 0, 0.6658, 0, 90785.91469812393
44, 0, 0.6953, 0, 92937.22438097
45, 0, 0.6899, 0, 95087.36602115631
46, 0, 0.6833, 0, 97235.21968054771
47, 0, 0.6624, 0, 99378.96901464462
48, 0, 0.676, 0, 101518.26772737503
49, 0, 0.6941, 0, 103690.30246591568
