round, train_acc, test_acc, f1, time_stamp
0, 0.21204, 0.2291, 0.2291, 6833.763199329376
1, 0.30138, 0.3297, 0.3297, 13630.995131254196
2, 0.45876, 0.4944, 0.4944, 20027.789224386215
3, 0.40708, 0.4319, 0.4319, 26437.363459587097
4, 0.51722, 0.5509, 0.5509, 32870.3709564209
5, 0.58894, 0.6085, 0.6085, 39258.17534780502
6, 0.60704, 0.627, 0.627, 45639.27854204178
7, 0.51722, 0.5504, 0.5504, 52257.912581682205
8, 0.55658, 0.5824, 0.5824, 58883.752954244614
9, 0.47638, 0.5015, 0.5015, 65519.1474647522
10, 0.40632, 0.4328, 0.4328, 72144.69441485405
11, 0.6275, 0.6463, 0.6463, 78669.01787209511
12, 0.57052, 0.5922, 0.5922, 85065.82565784454
13, 0.65864, 0.6696, 0.6696, 91461.48887395859
14, 0.62358, 0.6373, 0.6373, 97862.3070037365
15, 0.58716, 0.608, 0.608, 105119.37957549095
16, 0.66644, 0.6756, 0.6756, 111609.00858187675
17, 0.66292, 0.6696, 0.6696, 118240.70283174515
18, 0.6249, 0.6425, 0.6425, 124928.884806633
19, 0.66538, 0.6735, 0.6735, 131578.24200582504
20, 0.66344, 0.6707, 0.6707, 138258.69442129135
21, 0.6696, 0.6761, 0.6761, 144921.4284248352
22, 0.67212, 0.6787, 0.6787, 151454.26817154884
23, 0.65056, 0.6614, 0.6614, 157854.1077697277
24, 0.46904, 0.4902, 0.4902, 164252.48765397072
25, 0.68722, 0.6888, 0.6888, 170643.4677658081
