round, train_acc, test_acc, f1, time_stamp
0, 0.1, 0.1, 0.1, 1126.827594280243
1, 0.1, 0.1, 0.1, 2228.3221917152405
2, 0.1, 0.1, 0.1, 3289.129843235016
3, 0.1, 0.1, 0.1, 4283.744118213654
4, 0.1, 0.1, 0.1, 5302.841172456741
5, 0.1, 0.1, 0.1, 6431.294746398926
6, 0.1, 0.1, 0.1, 7581.667978048325
7, 0.1, 0.1, 0.1, 8702.541239976883
8, 0.1, 0.1, 0.1, 9823.154234409332
9, 0.1, 0.1, 0.1, 10918.212848186493
10, 0.1, 0.1, 0.1, 11995.394587755203
11, 0.1, 0.1, 0.1, 12974.59089589119
12, 0.1, 0.1, 0.1, 13953.355444669724
13, 0.1, 0.1, 0.1, 14934.788820505142
14, 0.1, 0.1, 0.1, 15962.67354130745
15, 0.1, 0.1, 0.1, 16943.55200123787
16, 0.1, 0.1, 0.1, 17922.214313983917
17, 0.1, 0.1, 0.1, 18901.778049707413
18, 0.1, 0.1, 0.1, 19880.103759288788
19, 0.1, 0.1, 0.1, 21702.989194393158
20, 0.1, 0.1, 0.1, 22704.99810242653
21, 0.1, 0.1, 0.1, 23690.108147144318
22, 0.1, 0.1, 0.1, 24667.197355031967
23, 0.1, 0.1, 0.1, 25643.75580072403
24, 0.1, 0.1, 0.1, 26621.69296360016
25, 0.1, 0.1, 0.1, 27599.59605908394
26, 0.1, 0.1, 0.1, 28577.39216709137
27, 0.1, 0.1, 0.1, 29555.514508724213
28, 0.1, 0.1, 0.1, 30533.309480667114
29, 0.1, 0.1, 0.1, 31510.487394094467
30, 0.1, 0.1, 0.1, 32487.20422554016
31, 0.1, 0.1, 0.1, 33464.06395292282
32, 0.1, 0.1, 0.1, 34441.82846879959
33, 0.1, 0.1, 0.1, 35420.51327133179
34, 0.1, 0.1, 0.1, 36397.932619810104
35, 0.1, 0.1, 0.1, 37376.20064330101
36, 0.1, 0.1, 0.1, 38354.30288767815
37, 0.1, 0.1, 0.1, 39333.2518055439
38, 0.1, 0.1, 0.1, 40311.82181215286
39, 0.1, 0.1, 0.1, 41290.036964416504
40, 0.1, 0.1, 0.1, 42269.36609625816
41, 0.1, 0.1, 0.1, 43247.12369966507
42, 0.1, 0.1, 0.1, 44224.80401349068
43, 0.1, 0.1, 0.1, 45202.831426143646
44, 0.1, 0.1, 0.1, 46180.750096321106
45, 0.1, 0.1, 0.1, 47159.39434552193
46, 0.1, 0.1, 0.1, 48137.172417879105
47, 0.1, 0.1, 0.1, 49115.71295785904
48, 0.1, 0.1, 0.1, 50093.435560941696
49, 0.1, 0.1, 0.1, 51070.09105539322
