,Round,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,0.27548,0.291,"[[206, 28, 0, 8, 6, 96, 33, 37, 473, 113], [34, 156, 2, 14, 6, 120, 91, 49, 361, 167], [73, 36, 2, 49, 110, 232, 278, 68, 107, 45], [47, 16, 7, 67, 76, 360, 195, 120, 47, 65], [39, 6, 2, 29, 175, 164, 411, 82, 42, 50], [43, 16, 3, 39, 98, 443, 173, 98, 55, 32], [14, 7, 3, 49, 78, 143, 577, 88, 11, 30], [42, 27, 1, 37, 108, 203, 110, 270, 61, 141], [70, 27, 1, 13, 2, 114, 10, 24, 592, 147], [21, 35, 2, 25, 7, 56, 64, 75, 293, 422]]"
1,1,0.34874,0.3817,"[[438, 61, 1, 20, 11, 23, 29, 50, 261, 106], [25, 438, 1, 16, 6, 16, 35, 22, 183, 258], [130, 55, 21, 79, 198, 120, 187, 128, 45, 37], [60, 43, 9, 151, 84, 229, 174, 119, 33, 98], [59, 16, 7, 50, 331, 90, 240, 136, 34, 37], [45, 37, 6, 78, 94, 373, 142, 128, 52, 45], [10, 26, 5, 81, 139, 69, 533, 71, 11, 55], [52, 49, 3, 39, 106, 108, 58, 432, 31, 122], [117, 74, 0, 18, 1, 33, 11, 18, 554, 174], [21, 115, 0, 29, 4, 10, 46, 28, 201, 546]]"
2,2,0.40266,0.4393,"[[542, 98, 17, 17, 20, 17, 17, 49, 160, 63], [31, 675, 1, 8, 5, 15, 16, 25, 87, 137], [94, 60, 116, 97, 203, 127, 127, 122, 23, 31], [38, 60, 27, 252, 50, 240, 135, 117, 11, 70], [64, 37, 56, 60, 367, 60, 170, 145, 19, 22], [26, 36, 37, 148, 61, 415, 91, 136, 19, 31], [6, 37, 30, 94, 150, 41, 529, 62, 5, 46], [43, 47, 14, 61, 85, 98, 33, 536, 8, 75], [190, 130, 2, 20, 3, 24, 10, 18, 491, 112], [41, 266, 2, 33, 5, 10, 26, 43, 104, 470]]"
3,3,0.4266,0.463,"[[539, 88, 32, 14, 20, 20, 13, 25, 176, 73], [23, 669, 2, 4, 4, 19, 11, 15, 79, 174], [84, 41, 266, 82, 166, 133, 65, 103, 28, 32], [37, 49, 49, 267, 52, 262, 100, 82, 7, 95], [58, 38, 108, 64, 393, 50, 95, 136, 26, 32], [27, 35, 68, 145, 38, 458, 61, 109, 15, 44], [4, 26, 66, 112, 204, 47, 417, 52, 12, 60], [36, 41, 22, 61, 71, 106, 19, 549, 14, 81], [156, 123, 9, 12, 6, 28, 6, 16, 545, 99], [29, 253, 3, 17, 6, 11, 17, 37, 100, 527]]"
4,4,0.43944,0.4777,"[[578, 78, 34, 15, 25, 8, 17, 31, 114, 100], [33, 657, 4, 8, 3, 8, 7, 13, 51, 216], [83, 34, 289, 76, 186, 98, 68, 97, 25, 44], [27, 41, 55, 292, 59, 208, 121, 84, 7, 106], [55, 34, 119, 64, 430, 40, 86, 117, 22, 33], [17, 27, 73, 161, 46, 421, 71, 115, 19, 50], [5, 25, 66, 120, 215, 28, 441, 42, 7, 51], [28, 36, 16, 58, 84, 75, 21, 572, 11, 99], [198, 127, 7, 15, 13, 15, 3, 16, 494, 112], [27, 226, 3, 12, 8, 6, 14, 28, 73, 603]]"
5,5,0.45202,0.4848,"[[552, 95, 33, 11, 18, 9, 27, 15, 154, 86], [16, 710, 5, 8, 3, 8, 8, 10, 51, 181], [96, 42, 347, 52, 130, 100, 85, 84, 29, 35], [22, 48, 65, 195, 53, 262, 176, 77, 12, 90], [53, 32, 166, 50, 376, 42, 109, 112, 29, 31], [13, 30, 83, 96, 45, 445, 105, 111, 24, 48], [5, 32, 81, 61, 164, 35, 535, 36, 11, 40], [37, 40, 24, 41, 75, 85, 31, 573, 9, 85], [137, 143, 9, 8, 8, 17, 7, 11, 580, 80], [24, 279, 3, 8, 9, 7, 18, 35, 82, 535]]"
6,6,0.4562,0.4892,"[[575, 55, 28, 11, 10, 9, 18, 30, 178, 86], [23, 624, 3, 12, 2, 10, 5, 22, 77, 222], [105, 35, 344, 75, 79, 143, 49, 97, 35, 38], [34, 31, 48, 253, 31, 306, 80, 90, 26, 101], [53, 25, 165, 83, 295, 95, 69, 146, 40, 29], [11, 20, 62, 138, 28, 492, 30, 139, 32, 48], [8, 25, 86, 139, 117, 74, 429, 47, 19, 56], [33, 21, 18, 40, 42, 108, 12, 627, 18, 81], [115, 104, 2, 8, 5, 18, 7, 15, 643, 83], [29, 186, 4, 9, 3, 8, 13, 39, 99, 610]]"
7,7,0.47286,0.5049,"[[590, 47, 26, 17, 19, 16, 14, 27, 176, 68], [27, 660, 8, 9, 5, 13, 10, 23, 80, 165], [100, 30, 289, 77, 152, 137, 60, 93, 36, 26], [33, 24, 46, 267, 44, 311, 100, 91, 23, 61], [49, 19, 96, 73, 394, 79, 84, 147, 37, 22], [10, 17, 48, 141, 42, 529, 36, 120, 33, 24], [10, 18, 57, 121, 139, 63, 489, 40, 23, 40], [29, 19, 14, 47, 52, 125, 17, 636, 16, 45], [132, 97, 6, 11, 7, 21, 10, 12, 640, 64], [31, 211, 5, 15, 11, 10, 19, 43, 100, 555]]"
8,8,0.47848,0.5143,"[[578, 48, 42, 19, 28, 11, 16, 16, 182, 60], [30, 691, 8, 11, 8, 11, 15, 14, 79, 133], [80, 22, 307, 95, 203, 108, 66, 63, 36, 20], [25, 22, 63, 349, 61, 241, 118, 54, 21, 46], [45, 19, 93, 86, 473, 63, 84, 91, 31, 15], [14, 14, 62, 201, 59, 466, 55, 82, 28, 19], [11, 18, 51, 127, 186, 33, 509, 17, 17, 31], [28, 20, 25, 78, 86, 128, 18, 570, 9, 38], [102, 94, 11, 17, 7, 19, 11, 9, 669, 61], [30, 237, 5, 21, 16, 14, 26, 28, 92, 531]]"
9,9,0.48428,0.5183,"[[603, 64, 44, 13, 25, 9, 19, 18, 151, 54], [28, 731, 8, 11, 7, 5, 14, 12, 72, 112], [81, 30, 306, 87, 203, 91, 90, 60, 32, 20], [33, 28, 52, 374, 59, 164, 153, 60, 24, 53], [45, 22, 81, 75, 462, 45, 124, 101, 30, 15], [19, 16, 70, 256, 55, 362, 75, 98, 25, 24], [11, 28, 57, 91, 144, 23, 587, 18, 16, 25], [29, 23, 25, 73, 66, 99, 27, 601, 9, 48], [137, 92, 12, 15, 8, 15, 15, 9, 643, 54], [34, 276, 8, 17, 9, 6, 23, 27, 86, 514]]"
