round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1, 0, 2682.0667912960052
1, 0, 0.1, 0, 5332.687134981155
2, 0, 0.1, 0, 8010.741142749786
3, 0, 0.1, 0, 10649.190913915634
4, 0, 0.1, 0, 13310.747725486755
5, 0, 0.1014, 0, 16005.8141310215
6, 0, 0.1168, 0, 18644.726913690567
7, 0, 0.1007, 0, 21351.145523786545
8, 0, 0.1569, 0, 24052.202934980392
9, 0, 0.1369, 0, 26717.476263284683
10, 0, 0.1215, 0, 29433.45034956932
11, 0, 0.1042, 0, 32093.72021794319
12, 0, 0.1255, 0, 34782.14645195007
13, 0, 0.1457, 0, 37471.569776296616
14, 0, 0.1276, 0, 40133.08116054535
15, 0, 0.1573, 0, 42858.91321706772
16, 0, 0.1128, 0, 45519.675688028336
17, 0, 0.168, 0, 48160.52352595329
18, 0, 0.1274, 0, 50799.18356227875
19, 0, 0.1736, 0, 53425.69343471527
20, 0, 0.128, 0, 56080.69798707962
21, 0, 0.1816, 0, 58774.37411952019
22, 0, 0.1768, 0, 61466.37390470505
23, 0, 0.1825, 0, 64183.25125551224
24, 0, 0.1411, 0, 66919.82971024513
25, 0, 0.195, 0, 69638.11381149292
26, 0, 0.1886, 0, 72340.58698129654
27, 0, 0.2152, 0, 75058.29455184937
28, 0, 0.2156, 0, 77768.04762005806
29, 0, 0.214, 0, 80500.66744232178
30, 0, 0.2268, 0, 83236.71990895271
31, 0, 0.242, 0, 86246.34756350517
32, 0, 0.2506, 0, 89210.47628355026
33, 0, 0.2749, 0, 92187.90902042389
34, 0, 0.2735, 0, 95205.74867463112
35, 0, 0.2634, 0, 98032.01071000099
36, 0, 0.2625, 0, 100693.29027152061
37, 0, 0.2726, 0, 103031.90377473831
38, 0, 0.2806, 0, 105371.21065020561
39, 0, 0.2745, 0, 107714.57165074348
40, 0, 0.2891, 0, 110051.63753986359
41, 0, 0.2906, 0, 112409.72294735909
42, 0, 0.2991, 0, 114959.94528079033
43, 0, 0.2915, 0, 117367.54777503014
44, 0, 0.3031, 0, 119828.15997362137
45, 0, 0.3077, 0, 122162.46186327934
46, 0, 0.3159, 0, 124494.08938789368
47, 0, 0.3164, 0, 126824.17816233635
48, 0, 0.3209, 0, 129155.6413218975
49, 0, 0.3169, 0, 131489.67506861687
