round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1, 0, 5459.602204799652
1, 0, 0.1014, 0, 11545.235231399536
2, 0, 0.1, 0, 17420.944523096085
3, 0, 0.1, 0, 23138.228089571
4, 0, 0.1, 0, 28490.524995803833
5, 0, 0.1, 0, 33843.27705860138
6, 0, 0.1, 0, 39193.30098295212
7, 0, 0.1, 0, 44530.930913448334
8, 0, 0.1006, 0, 50061.73812031746
9, 0, 0.1003, 0, 56218.20699214935
10, 0, 0.1016, 0, 61678.1631360054
11, 0, 0.1033, 0, 66989.77923679352
12, 0, 0.1391, 0, 72319.64051365852
13, 0, 0.1631, 0, 77649.55759572983
14, 0, 0.1462, 0, 82966.68236374855
15, 0, 0.2281, 0, 88274.5263209343
16, 0, 0.2196, 0, 93590.6149122715
17, 0, 0.2308, 0, 98902.84583735466
18, 0, 0.2473, 0, 104216.39882969856
19, 0, 0.2495, 0, 109925.54064679146
20, 0, 0.2636, 0, 116075.91511440277
21, 0, 0.2662, 0, 123435.58984518051
22, 0, 0.2688, 0, 130702.42482113838
23, 0, 0.2701, 0, 138246.51166296005
24, 0, 0.2608, 0, 146142.93017840385
25, 0, 0.2859, 0, 153620.25299358368
26, 0, 0.2874, 0, 161310.05560684204
27, 0, 0.2791, 0, 167497.50026369095
28, 0, 0.2797, 0, 173752.96753668785
29, 0, 0.2896, 0, 180028.4489314556
30, 0, 0.2923, 0, 186304.60497570038
31, 0, 0.284, 0, 192579.02067780495
32, 0, 0.2989, 0, 198868.15440702438
33, 0, 0.3097, 0, 205146.69673848152
34, 0, 0.2933, 0, 211424.2443974018
35, 0, 0.3111, 0, 217699.972894907
36, 0, 0.3138, 0, 223978.7992992401
37, 0, 0.3188, 0, 230257.50401830673
38, 0, 0.3165, 0, 236537.66424322128
39, 0, 0.3212, 0, 242819.0261414051
40, 0, 0.3308, 0, 249097.60211467743
41, 0, 0.3314, 0, 255378.9322218895
42, 0, 0.3325, 0, 261656.18261814117
43, 0, 0.3332, 0, 267944.7322936058
44, 0, 0.3352, 0, 274222.80715966225
45, 0, 0.3462, 0, 280500.765822649
46, 0, 0.3366, 0, 286777.884953022
47, 0, 0.3574, 0, 293063.0308434963
48, 0, 0.3616, 0, 299882.7712187767
49, 0, 0.3666, 0, 307160.6169579029
