,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.1,0,0
1,1,10,0,0.1171,0,0
2,2,10,0,0.1,0,0
3,3,10,0,0.1,0,0
4,4,10,0,0.1,0,0
5,5,10,0,0.1,0,0
6,6,10,0,0.1138,0,0
7,7,10,0,0.1,0,0
8,8,10,0,0.137,0,0
9,9,10,0,0.1001,0,0
10,10,10,0,0.1371,0,0
11,11,10,0,0.1002,0,0
12,12,10,0,0.1422,0,0
13,13,10,0,0.1015,0,0
14,14,10,0,0.1313,0,0
15,15,10,0,0.1101,0,0
16,16,10,0,0.1284,0,0
17,17,10,0,0.1182,0,0
18,18,10,0,0.1522,0,0
19,19,10,0,0.1438,0,0
20,20,10,0,0.1517,0,0
21,21,10,0,0.1663,0,0
22,22,10,0,0.1713,0,0
23,23,10,0,0.1584,0,0
24,24,10,0,0.1937,0,0
25,25,10,0,0.2319,0,0
26,26,10,0,0.2321,0,0
27,27,10,0,0.1781,0,0
28,28,10,0,0.2563,0,0
29,29,10,0,0.2466,0,0
30,30,10,0,0.2639,0,0
31,31,10,0,0.2504,0,0
32,32,10,0,0.2527,0,0
33,33,10,0,0.2792,0,0
34,34,10,0,0.2773,0,0
35,35,10,0,0.2749,0,0
36,36,10,0,0.2852,0,0
37,37,10,0,0.2837,0,0
38,38,10,0,0.2781,0,0
39,39,10,0,0.2971,0,0
40,40,10,0,0.2912,0,0
41,41,10,0,0.2925,0,0
42,42,10,0,0.2959,0,0
43,43,10,0,0.3022,0,0
44,44,10,0,0.3043,0,0
45,45,10,0,0.2931,0,0
46,46,10,0,0.2955,0,0
47,47,10,0,0.3088,0,0
48,48,10,0,0.3194,0,0
49,49,10,0,0.3201,0,0
