round, train_acc, test_acc, f1, time_stamp
0, 0.1, 0.1, 0.1, 1170.9951438903809
1, 0.1, 0.1, 0.1, 2340.1492540836334
2, 0.1, 0.1001, 0.1001, 3506.8396515846252
3, 0.10002, 0.0998, 0.0998, 4673.133895635605
4, 0.10014, 0.1005, 0.1005, 5839.164694309235
5, 0.10048, 0.0996, 0.0996, 7003.689329385757
6, 0.09664, 0.0957, 0.0957, 8170.153480291367
7, 0.09998, 0.098, 0.098, 9334.220541238785
8, 0.10638, 0.1062, 0.1062, 10499.590961456299
9, 0.10288, 0.1027, 0.1027, 11643.383953094482
10, 0.0999, 0.0993, 0.0993, 12811.042361021042
11, 0.09936, 0.1001, 0.1001, 13966.354711532593
12, 0.09922, 0.1, 0.1, 15128.919070005417
13, 0.09924, 0.1011, 0.1011, 16292.896844148636
14, 0.10576, 0.1095, 0.1095, 17456.034752368927
15, 0.10996, 0.1122, 0.1122, 18620.500829219818
16, 0.12156, 0.1258, 0.1258, 19785.874221086502
17, 0.12934, 0.1325, 0.1325, 20937.421169757843
18, 0.152, 0.16, 0.16, 22088.641811847687
19, 0.1393, 0.144, 0.144, 23246.46789622307
20, 0.14686, 0.1479, 0.1479, 24399.464646577835
21, 0.13094, 0.136, 0.136, 25551.35513329506
22, 0.13896, 0.143, 0.143, 26710.64648962021
23, 0.12356, 0.1273, 0.1273, 27890.243946313858
24, 0.13514, 0.1364, 0.1364, 29072.130724191666
25, 0.12554, 0.1324, 0.1324, 30251.761036872864
26, 0.13842, 0.1391, 0.1391, 31432.533494234085
27, 0.14644, 0.1575, 0.1575, 32614.422082662582
28, 0.13672, 0.137, 0.137, 33799.25369596481
29, 0.1549, 0.1654, 0.1654, 34984.475773096085
30, 0.14864, 0.1512, 0.1512, 36173.450085401535
31, 0.15868, 0.1661, 0.1661, 37363.16597318649
32, 0.15582, 0.1558, 0.1558, 38549.9909529686
33, 0.15786, 0.1618, 0.1618, 39732.713933467865
34, 0.1584, 0.1624, 0.1624, 40916.37961101532
35, 0.1556, 0.1625, 0.1625, 42101.71886873245
36, 0.1724, 0.184, 0.184, 43284.935690402985
37, 0.15778, 0.167, 0.167, 44468.69496202469
38, 0.14554, 0.1534, 0.1534, 45651.70887231827
39, 0.18316, 0.1951, 0.1951, 46834.0413506031
40, 0.15684, 0.1655, 0.1655, 48018.53065252304
41, 0.18164, 0.1957, 0.1957, 49202.965210199356
42, 0.16122, 0.1684, 0.1684, 50385.739045619965
43, 0.18428, 0.1945, 0.1945, 51569.428414821625
44, 0.17208, 0.1773, 0.1773, 52752.59436273575
45, 0.1775, 0.1876, 0.1876, 53936.79182267189
46, 0.18384, 0.1934, 0.1934, 55118.78955197334
47, 0.17536, 0.1841, 0.1841, 56299.95924448967
48, 0.19568, 0.2126, 0.2126, 57485.75168013573
49, 0.1791, 0.1873, 0.1873, 58671.39148449898
