,Round,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,0.1,0.1,"[[0, 0, 0, 1, 0, 0, 0, 0, 999, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0]]"
1,1,0.1,0.1,"[[0, 0, 0, 1, 0, 0, 0, 0, 999, 0], [0, 0, 0, 1, 0, 0, 0, 0, 999, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 1, 0, 0, 0, 0, 999, 0], [0, 0, 0, 1, 0, 0, 0, 0, 999, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0]]"
2,2,0.1,0.1001,"[[0, 0, 0, 1, 0, 0, 0, 0, 999, 0], [0, 0, 0, 1, 0, 0, 0, 0, 999, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 1, 0, 0, 0, 0, 999, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 1, 0, 0, 0, 0, 999, 0], [0, 0, 0, 2, 0, 0, 0, 0, 998, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0]]"
3,3,0.10002,0.0998,"[[0, 0, 0, 5, 0, 0, 0, 0, 995, 0], [0, 0, 0, 9, 0, 0, 0, 0, 991, 0], [0, 0, 0, 2, 0, 0, 0, 0, 998, 0], [0, 0, 0, 2, 0, 0, 0, 0, 998, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 3, 0, 0, 0, 0, 997, 0], [0, 0, 0, 2, 0, 0, 0, 0, 998, 0], [0, 0, 0, 7, 0, 0, 0, 0, 993, 0], [0, 0, 0, 4, 0, 0, 0, 0, 996, 0], [0, 0, 0, 1, 0, 0, 0, 0, 999, 0]]"
4,4,0.10014,0.1005,"[[0, 0, 0, 15, 0, 0, 0, 0, 985, 0], [0, 0, 0, 32, 0, 0, 0, 0, 968, 0], [0, 0, 0, 14, 0, 0, 0, 0, 986, 0], [0, 0, 0, 19, 0, 0, 0, 0, 981, 0], [0, 0, 0, 8, 0, 0, 0, 0, 992, 0], [0, 0, 0, 21, 0, 0, 0, 0, 979, 0], [0, 0, 0, 8, 0, 0, 0, 0, 992, 0], [0, 0, 0, 24, 0, 0, 0, 0, 976, 0], [0, 0, 0, 14, 0, 0, 0, 0, 986, 0], [0, 0, 0, 6, 0, 0, 0, 0, 994, 0]]"
5,5,0.1005,0.0997,"[[0, 0, 0, 101, 0, 0, 0, 0, 899, 0], [0, 0, 0, 116, 0, 0, 0, 0, 884, 0], [0, 0, 0, 72, 0, 0, 0, 0, 928, 0], [0, 0, 0, 99, 0, 0, 0, 0, 901, 0], [0, 0, 0, 49, 0, 0, 0, 0, 951, 0], [0, 0, 0, 113, 0, 0, 0, 0, 887, 0], [0, 0, 0, 47, 0, 0, 0, 0, 953, 0], [0, 0, 0, 84, 0, 0, 0, 0, 916, 0], [0, 0, 0, 102, 0, 0, 0, 0, 898, 0], [0, 0, 0, 52, 0, 0, 0, 0, 948, 0]]"
6,6,0.0966,0.0955,"[[0, 0, 179, 167, 0, 64, 0, 0, 590, 0], [0, 0, 64, 269, 0, 25, 0, 0, 642, 0], [0, 0, 82, 173, 0, 41, 0, 0, 704, 0], [0, 0, 123, 212, 0, 35, 0, 0, 630, 0], [0, 0, 60, 173, 0, 12, 0, 0, 755, 0], [0, 0, 223, 183, 0, 56, 0, 0, 538, 0], [0, 0, 63, 185, 0, 14, 0, 0, 738, 0], [0, 0, 98, 213, 0, 21, 0, 0, 668, 0], [0, 0, 132, 223, 0, 40, 0, 0, 605, 0], [0, 0, 79, 128, 0, 24, 0, 0, 769, 0]]"
7,7,0.09994,0.0978,"[[0, 0, 212, 9, 0, 702, 0, 0, 77, 0], [0, 5, 366, 32, 0, 465, 0, 0, 132, 0], [0, 3, 289, 23, 0, 540, 0, 0, 145, 0], [0, 9, 277, 25, 0, 552, 0, 0, 137, 0], [0, 1, 352, 14, 0, 443, 0, 0, 190, 0], [0, 4, 316, 9, 0, 582, 0, 0, 89, 0], [0, 3, 391, 34, 0, 428, 0, 0, 144, 0], [0, 4, 360, 11, 0, 496, 0, 0, 129, 0], [0, 2, 260, 12, 0, 649, 0, 0, 77, 0], [0, 13, 293, 9, 0, 501, 0, 0, 184, 0]]"
8,8,0.10632,0.1058,"[[0, 37, 8, 0, 0, 951, 0, 0, 4, 0], [0, 103, 33, 2, 0, 858, 0, 0, 4, 0], [0, 76, 21, 6, 0, 893, 0, 0, 4, 0], [0, 75, 15, 2, 0, 899, 0, 0, 9, 0], [0, 84, 14, 2, 0, 888, 0, 0, 12, 0], [0, 55, 10, 0, 0, 929, 0, 0, 6, 0], [0, 92, 16, 0, 0, 891, 0, 0, 1, 0], [0, 71, 18, 1, 0, 904, 0, 0, 6, 0], [0, 52, 7, 0, 0, 938, 0, 0, 3, 0], [0, 114, 13, 0, 0, 866, 0, 0, 7, 0]]"
9,9,0.10344,0.1035,"[[0, 978, 0, 0, 0, 21, 0, 0, 1, 0], [0, 995, 0, 0, 0, 4, 0, 0, 1, 0], [0, 986, 0, 0, 0, 13, 0, 0, 1, 0], [0, 962, 0, 0, 0, 37, 0, 0, 1, 0], [0, 987, 0, 0, 0, 12, 0, 0, 1, 0], [0, 958, 0, 0, 0, 40, 0, 0, 2, 0], [0, 992, 0, 0, 0, 8, 0, 0, 0, 0], [0, 973, 0, 0, 0, 25, 0, 0, 2, 0], [0, 979, 0, 0, 0, 21, 0, 0, 0, 0], [0, 995, 0, 0, 0, 1, 0, 0, 4, 0]]"
