,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0.1,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0]]"
1,1,10,0.1,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0]]"
2,2,10,0.1,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0]]"
3,3,10,0.1,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0]]"
4,4,10,0.10002,0.0997,0.0997,"[[3, 0, 0, 0, 0, 0, 0, 997, 0, 0], [11, 0, 0, 0, 0, 0, 0, 989, 0, 0], [2, 0, 0, 0, 0, 0, 0, 998, 0, 0], [14, 0, 0, 0, 0, 0, 0, 986, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [38, 0, 0, 0, 0, 0, 0, 962, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [6, 0, 0, 0, 0, 0, 0, 994, 0, 0], [13, 0, 0, 0, 0, 0, 0, 987, 0, 0], [2, 0, 0, 0, 0, 0, 0, 998, 0, 0]]"
5,5,10,0.11642,0.1189,0.1189,"[[850, 0, 0, 1, 0, 0, 0, 149, 0, 0], [714, 0, 0, 5, 0, 0, 0, 281, 0, 0], [661, 0, 0, 2, 0, 0, 0, 337, 0, 0], [676, 0, 0, 1, 0, 0, 0, 323, 0, 0], [573, 0, 0, 2, 0, 0, 0, 425, 0, 0], [771, 0, 0, 0, 0, 0, 0, 229, 0, 0], [573, 0, 0, 0, 0, 0, 0, 427, 0, 0], [660, 0, 0, 2, 0, 0, 0, 338, 0, 0], [806, 0, 0, 1, 0, 0, 0, 193, 0, 0], [619, 0, 0, 4, 0, 0, 0, 377, 0, 0]]"
6,6,10,0.10008,0.1003,0.1003,"[[999, 0, 0, 1, 0, 0, 0, 0, 0, 0], [997, 0, 0, 0, 0, 0, 0, 3, 0, 0], [994, 0, 0, 2, 0, 0, 0, 4, 0, 0], [979, 0, 0, 3, 0, 0, 0, 18, 0, 0], [986, 0, 0, 0, 0, 0, 0, 14, 0, 0], [993, 0, 0, 2, 0, 0, 0, 5, 0, 0], [994, 0, 0, 3, 0, 0, 0, 3, 0, 0], [996, 0, 0, 3, 0, 0, 0, 1, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [994, 0, 0, 4, 0, 0, 0, 2, 0, 0]]"
7,7,10,0.10046,0.1011,0.1011,"[[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [999, 0, 0, 1, 0, 0, 0, 0, 0, 0], [988, 0, 0, 11, 0, 0, 0, 1, 0, 0], [999, 0, 0, 0, 0, 0, 0, 1, 0, 0], [999, 0, 0, 1, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [999, 0, 0, 1, 0, 0, 0, 0, 0, 0]]"
8,8,10,0.12224,0.1254,0.1254,"[[262, 3, 0, 355, 0, 300, 0, 0, 80, 0], [253, 3, 0, 329, 0, 263, 0, 0, 152, 0], [153, 0, 0, 375, 0, 410, 0, 0, 62, 0], [112, 2, 1, 277, 0, 528, 0, 0, 80, 0], [88, 0, 1, 375, 0, 497, 0, 0, 39, 0], [156, 0, 0, 247, 0, 521, 0, 0, 76, 0], [75, 1, 0, 342, 0, 531, 0, 0, 51, 0], [160, 0, 0, 378, 0, 380, 0, 0, 82, 0], [217, 0, 0, 318, 0, 274, 0, 0, 191, 0], [156, 1, 0, 461, 0, 139, 0, 0, 243, 0]]"
9,9,10,0.14546,0.1464,0.1464,"[[0, 14, 203, 2, 0, 142, 0, 0, 637, 2], [0, 76, 254, 3, 0, 131, 0, 1, 531, 4], [0, 23, 362, 0, 1, 182, 0, 3, 427, 2], [0, 13, 296, 8, 2, 341, 0, 3, 334, 3], [0, 12, 382, 1, 0, 258, 0, 1, 346, 0], [0, 13, 256, 4, 1, 362, 1, 1, 362, 0], [0, 20, 451, 0, 0, 232, 0, 1, 296, 0], [0, 16, 220, 11, 2, 244, 0, 2, 500, 5], [0, 38, 140, 3, 0, 173, 0, 0, 645, 1], [0, 71, 148, 4, 3, 69, 0, 0, 696, 9]]"
