,Round,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0]]"
1,1,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0]]"
2,2,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0]]"
3,3,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0]]"
4,4,0.10004,0.0998,"[[5, 0, 0, 0, 0, 0, 0, 995, 0, 0], [12, 0, 0, 0, 0, 0, 0, 988, 0, 0], [5, 0, 0, 0, 0, 0, 0, 995, 0, 0], [15, 0, 0, 0, 0, 0, 0, 985, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1000, 0, 0], [45, 0, 0, 0, 0, 0, 0, 955, 0, 0], [1, 0, 0, 0, 0, 0, 0, 999, 0, 0], [7, 0, 0, 0, 0, 0, 0, 993, 0, 0], [18, 0, 0, 0, 0, 0, 0, 982, 0, 0], [3, 0, 0, 0, 0, 0, 0, 997, 0, 0]]"
5,5,0.1183,0.1192,"[[862, 0, 0, 1, 0, 0, 0, 137, 0, 0], [722, 0, 0, 5, 0, 0, 0, 273, 0, 0], [670, 0, 0, 2, 0, 0, 0, 328, 0, 0], [682, 0, 0, 1, 0, 0, 0, 317, 0, 0], [582, 0, 0, 2, 0, 0, 0, 416, 0, 0], [778, 0, 0, 0, 0, 0, 0, 222, 0, 0], [582, 0, 0, 0, 0, 0, 0, 418, 0, 0], [669, 0, 0, 2, 0, 0, 0, 329, 0, 0], [817, 0, 0, 1, 0, 0, 0, 182, 0, 0], [631, 0, 0, 5, 0, 0, 0, 364, 0, 0]]"
6,6,0.10026,0.1003,"[[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [997, 0, 0, 0, 0, 0, 0, 3, 0, 0], [994, 0, 0, 2, 0, 0, 0, 4, 0, 0], [980, 0, 0, 2, 0, 0, 0, 18, 0, 0], [986, 0, 0, 0, 0, 0, 0, 14, 0, 0], [994, 0, 0, 2, 0, 0, 0, 4, 0, 0], [994, 0, 0, 3, 0, 0, 0, 3, 0, 0], [996, 0, 0, 3, 0, 0, 0, 1, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [994, 0, 0, 4, 0, 0, 0, 2, 0, 0]]"
7,7,0.1004,0.101,"[[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [999, 0, 0, 1, 0, 0, 0, 0, 0, 0], [989, 0, 0, 10, 0, 0, 0, 1, 0, 0], [999, 0, 0, 0, 0, 0, 0, 1, 0, 0], [999, 0, 0, 1, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
8,8,0.12062,0.1209,"[[227, 1, 1, 373, 0, 333, 0, 0, 65, 0], [248, 2, 0, 352, 0, 271, 0, 0, 127, 0], [127, 0, 0, 388, 0, 434, 0, 0, 51, 0], [88, 2, 0, 289, 0, 550, 0, 0, 71, 0], [70, 0, 1, 383, 0, 519, 0, 0, 27, 0], [139, 0, 0, 266, 0, 536, 0, 0, 59, 0], [61, 1, 0, 347, 0, 548, 0, 0, 43, 0], [153, 0, 0, 381, 0, 396, 0, 0, 70, 0], [214, 0, 0, 343, 0, 288, 0, 0, 155, 0], [160, 0, 0, 497, 0, 143, 0, 0, 200, 0]]"
9,9,0.14306,0.1428,"[[0, 7, 212, 2, 2, 126, 0, 0, 649, 2], [0, 42, 262, 4, 0, 108, 0, 1, 580, 3], [0, 16, 376, 1, 1, 166, 0, 2, 435, 3], [0, 8, 316, 7, 6, 313, 0, 3, 344, 3], [0, 5, 404, 1, 0, 228, 0, 1, 361, 0], [0, 10, 287, 4, 2, 317, 1, 2, 377, 0], [0, 9, 484, 0, 0, 191, 0, 1, 315, 0], [1, 10, 247, 9, 4, 214, 0, 2, 508, 5], [0, 16, 152, 2, 0, 153, 0, 0, 676, 1], [0, 37, 156, 4, 4, 58, 0, 0, 733, 8]]"
