round, train_acc, test_acc, f1, time_stamp
0, 0.1, 0.1, 0.1, 2636.3797245025635
1, 0.1, 0.1, 0.1, 5294.111961603165
2, 0.1, 0.1, 0.1, 7997.931302070618
3, 0.1, 0.1, 0.1, 10690.12781882286
4, 0.10004, 0.0997, 0.0997, 13391.704099655151
5, 0.11846, 0.1191, 0.1191, 16098.997355937958
6, 0.10028, 0.1004, 0.1004, 18789.663220882416
7, 0.1004, 0.101, 0.101, 21459.945409297943
8, 0.1208, 0.1223, 0.1223, 24170.789120674133
9, 0.14296, 0.1428, 0.1428, 26856.74119400978
10, 0.1428, 0.1429, 0.1429, 29536.199615240097
11, 0.15462, 0.154, 0.154, 32227.624552726746
12, 0.15514, 0.1567, 0.1567, 34918.20968413353
13, 0.16284, 0.1637, 0.1637, 37616.426971673965
14, 0.16312, 0.1654, 0.1654, 40322.688316106796
15, 0.16782, 0.1731, 0.1731, 43040.85928297043
16, 0.16742, 0.1702, 0.1702, 45792.90700483322
17, 0.16804, 0.1755, 0.1755, 48546.27682161331
18, 0.16302, 0.1653, 0.1653, 51283.05009198189
19, 0.16856, 0.179, 0.179, 54031.1059820652
20, 0.15378, 0.154, 0.154, 57002.01840734482
21, 0.15622, 0.1659, 0.1659, 59993.27275443077
22, 0.15262, 0.153, 0.153, 63010.52067542076
23, 0.14946, 0.152, 0.152, 65969.28943252563
24, 0.15842, 0.1598, 0.1598, 68825.22361826897
25, 0.14938, 0.152, 0.152, 71796.67798185349
26, 0.16014, 0.1612, 0.1612, 74959.4722533226
27, 0.1506, 0.155, 0.155, 78111.6066019535
28, 0.16616, 0.1703, 0.1703, 81253.2669634819
29, 0.15564, 0.1608, 0.1608, 84383.43440079689
30, 0.17308, 0.1774, 0.1774, 87516.561044693
31, 0.16544, 0.1705, 0.1705, 90643.08413052559
32, 0.1737, 0.1798, 0.1798, 93762.05474877357
33, 0.17822, 0.1937, 0.1937, 96888.74672484398
34, 0.1763, 0.1823, 0.1823, 100009.17073917389
35, 0.1818, 0.1968, 0.1968, 103129.18262553215
36, 0.17256, 0.1776, 0.1776, 106233.70068502426
37, 0.17666, 0.1888, 0.1888, 109331.61711025238
38, 0.16996, 0.1731, 0.1731, 112447.3493552208
39, 0.17438, 0.1853, 0.1853, 115653.24489617348
40, 0.1686, 0.1737, 0.1737, 118829.09489393234
41, 0.17014, 0.1832, 0.1832, 122053.3899769783
42, 0.18012, 0.1865, 0.1865, 125268.06353116035
43, 0.17554, 0.1906, 0.1906, 128449.84830069542
44, 0.17742, 0.1863, 0.1863, 131666.4802429676
45, 0.18454, 0.2012, 0.2012, 134867.38657927513
46, 0.1757, 0.183, 0.183, 138022.8202650547
47, 0.17788, 0.1922, 0.1922, 141178.51564359665
48, 0.15696, 0.1671, 0.1671, 144329.65727758408
49, 0.18358, 0.2012, 0.2012, 147493.82999706268
