round, train_acc, test_acc, f1, time_stamp
0, 0.1, 0.1, 0.1, 3257.2604672908783
1, 0.1, 0.1, 0.1, 6469.768819093704
2, 0.1, 0.1, 0.1, 9793.039987325668
3, 0.1, 0.1, 0.1, 13056.196093559265
4, 0.1, 0.1, 0.1, 16305.799906492233
5, 0.1, 0.1, 0.1, 19568.807480335236
6, 0.1, 0.1, 0.1, 22570.536809682846
7, 0.1, 0.1, 0.1, 25690.61927509308
8, 0.1, 0.1, 0.1, 28655.21398305893
9, 0.1, 0.1, 0.1, 31501.494398117065
10, 0.1, 0.1, 0.1, 34342.68902683258
11, 0.1, 0.1, 0.1, 36924.5058093071
12, 0.1, 0.1, 0.1, 39367.892624378204
13, 0.1, 0.1, 0.1, 41840.36597466469
14, 0.1, 0.1, 0.1, 44299.35348391533
15, 0.09994, 0.1, 0.1, 46761.47033238411
16, 0.10018, 0.1001, 0.1001, 49268.14116215706
17, 0.10014, 0.0999, 0.0999, 51766.82389831543
18, 0.10018, 0.1007, 0.1007, 54237.94620537758
19, 0.10094, 0.1022, 0.1022, 56693.13954949379
20, 0.10202, 0.1037, 0.1037, 59155.634855270386
21, 0.10702, 0.1084, 0.1084, 61615.635202646255
22, 0.11872, 0.1185, 0.1185, 64058.849665641785
23, 0.12996, 0.1328, 0.1328, 66477.05284452438
24, 0.1404, 0.1411, 0.1411, 68884.90798783302
25, 0.14554, 0.1463, 0.1463, 71293.99721479416
26, 0.14894, 0.1479, 0.1479, 73746.98874878883
27, 0.14922, 0.1475, 0.1475, 76153.07658863068
28, 0.14938, 0.1459, 0.1459, 78565.12633013725
29, 0.14644, 0.1474, 0.1474, 80973.35536384583
30, 0.14512, 0.1453, 0.1453, 83384.4852552414
31, 0.1431, 0.1442, 0.1442, 85796.21438550949
32, 0.1422, 0.1426, 0.1426, 88205.37841272354
33, 0.14328, 0.1412, 0.1412, 90612.06269216537
34, 0.14262, 0.1417, 0.1417, 93019.65320253372
35, 0.14282, 0.1412, 0.1412, 95475.81973791122
36, 0.14192, 0.1416, 0.1416, 97886.62328124046
37, 0.14378, 0.1425, 0.1425, 100304.18278670311
38, 0.14504, 0.1428, 0.1428, 102719.46179246902
39, 0.14678, 0.1436, 0.1436, 105138.26969981194
40, 0.14704, 0.1447, 0.1447, 107552.09177184105
41, 0.14854, 0.1457, 0.1457, 109962.73188185692
42, 0.14914, 0.1463, 0.1463, 112371.96219301224
43, 0.15088, 0.1477, 0.1477, 114785.81039452553
44, 0.15094, 0.149, 0.149, 117307.60987639427
45, 0.15274, 0.1501, 0.1501, 119748.0979077816
46, 0.15222, 0.1498, 0.1498, 122157.47758865356
47, 0.15156, 0.1493, 0.1493, 124567.9983317852
48, 0.15182, 0.1503, 0.1503, 126986.14475035667
49, 0.15274, 0.1493, 0.1493, 129398.77700567245
