round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1477, 0, 4856.667074203491
1, 0, 0.2576, 0, 10004.001540184021
2, 0, 0.1554, 0, 15050.034240484238
3, 0, 0.3772, 0, 20021.064304351807
4, 0, 0.4161, 0, 24928.79114961624
5, 0, 0.4271, 0, 29772.90564417839
6, 0, 0.459, 0, 34622.21100497246
7, 0, 0.4729, 0, 39481.69227194786
8, 0, 0.48, 0, 44544.250249147415
9, 0, 0.4986, 0, 49488.893563747406
10, 0, 0.5062, 0, 54654.60133910179
11, 0, 0.5026, 0, 59608.901510715485
12, 0, 0.5201, 0, 65079.99280047417
13, 0, 0.5259, 0, 70292.79244089127
14, 0, 0.5337, 0, 75644.34253239632
15, 0, 0.5383, 0, 80981.62852478027
16, 0, 0.5388, 0, 86076.295419693
17, 0, 0.5232, 0, 90621.92787146568
18, 0, 0.5467, 0, 95176.55081295967
19, 0, 0.5425, 0, 99735.60225057602
20, 0, 0.5499, 0, 104230.69642162323
21, 0, 0.5526, 0, 108756.25823116302
22, 0, 0.552, 0, 113216.70714354515
23, 0, 0.5579, 0, 117707.20369935036
24, 0, 0.5577, 0, 122151.99264359474
25, 0, 0.555, 0, 126770.76358866692
26, 0, 0.5632, 0, 131576.12168169022
27, 0, 0.5593, 0, 136379.9121351242
28, 0, 0.5656, 0, 141223.97394680977
29, 0, 0.5648, 0, 146068.80048179626
30, 0, 0.5605, 0, 150900.26612520218
31, 0, 0.5612, 0, 155721.05608415604
32, 0, 0.5678, 0, 160608.03892183304
33, 0, 0.5687, 0, 165419.02858757973
34, 0, 0.5677, 0, 170176.96172881126
