round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1065, 0, 3903.7846937179565
1, 0, 0.0993, 0, 7863.496993780136
2, 0, 0.1006, 0, 11536.762603521347
3, 0, 0.102, 0, 15356.804061174393
4, 0, 0.1021, 0, 18782.102434396744
5, 0, 0.1108, 0, 22271.812224149704
6, 0, 0.1511, 0, 26545.76677465439
7, 0, 0.1079, 0, 30891.89780497551
8, 0, 0.2215, 0, 35038.67676734924
9, 0, 0.2054, 0, 39225.57621407509
10, 0, 0.2645, 0, 43044.65385913849
11, 0, 0.3282, 0, 46825.36012172699
12, 0, 0.3229, 0, 50529.100725889206
13, 0, 0.3773, 0, 54205.24663949013
14, 0, 0.3167, 0, 57747.961918115616
15, 0, 0.3729, 0, 61484.61318349838
16, 0, 0.3911, 0, 65314.781089544296
17, 0, 0.4044, 0, 69131.34148263931
18, 0, 0.4365, 0, 72884.24680256844
19, 0, 0.4035, 0, 76682.28742718697
20, 0, 0.4086, 0, 80574.799305439
21, 0, 0.442, 0, 84256.68441915512
22, 0, 0.4459, 0, 87673.832020998
23, 0, 0.4341, 0, 90924.77821016312
24, 0, 0.4319, 0, 94164.55337691307
25, 0, 0.4535, 0, 97407.81042194366
26, 0, 0.4725, 0, 100671.68253278732
27, 0, 0.469, 0, 103961.8066983223
28, 0, 0.4642, 0, 107252.95347046852
29, 0, 0.4883, 0, 110546.55551218987
30, 0, 0.4665, 0, 114032.25945067406
31, 0, 0.4874, 0, 118242.41715240479
32, 0, 0.4877, 0, 122423.25639891624
33, 0, 0.4909, 0, 126591.28299713135
34, 0, 0.5021, 0, 130926.68639850616
35, 0, 0.5032, 0, 135111.0722439289
36, 0, 0.4859, 0, 139323.21034693718
37, 0, 0.491, 0, 143551.01513695717
38, 0, 0.5125, 0, 147763.55979299545
39, 0, 0.5059, 0, 151963.86527204514
40, 0, 0.5096, 0, 156114.45095300674
41, 0, 0.4989, 0, 160309.80723404884
42, 0, 0.5244, 0, 164505.17690086365
43, 0, 0.5234, 0, 168666.61085891724
