round, train_acc, test_acc, f1, time_stamp
0, 0.1, 0.1, 0.1, 1009.4749343395233
1, 0.1, 0.1, 0.1, 2068.2985401153564
2, 0.1, 0.1, 0.1, 3246.121174097061
3, 0.10014, 0.1001, 0.1001, 4273.070324420929
4, 0.09988, 0.1, 0.1, 5593.37920331955
5, 0.1, 0.1, 0.1, 6629.51705622673
6, 0.09998, 0.1001, 0.1001, 7572.06533575058
7, 0.1399, 0.1387, 0.1387, 8725.362535953522
8, 0.15376, 0.1523, 0.1523, 9830.04579091072
9, 0.15034, 0.1589, 0.1589, 11003.33117222786
10, 0.15152, 0.1631, 0.1631, 11995.242802858353
11, 0.19948, 0.2098, 0.2098, 13130.40878033638
12, 0.22986, 0.2408, 0.2408, 14180.416403055191
13, 0.23692, 0.2512, 0.2512, 15265.042737007141
14, 0.24914, 0.2624, 0.2624, 16350.422554969788
15, 0.25854, 0.2718, 0.2718, 17464.531501054764
16, 0.26224, 0.278, 0.278, 18720.701330184937
17, 0.27214, 0.2892, 0.2892, 19996.22996854782
18, 0.27994, 0.3043, 0.3043, 21121.421889781952
19, 0.2889, 0.3062, 0.3062, 22288.628651857376
20, 0.2951, 0.3179, 0.3179, 23256.646420955658
21, 0.30202, 0.3247, 0.3247, 24297.369433403015
22, 0.3071, 0.3363, 0.3363, 25381.89967560768
23, 0.3135, 0.3435, 0.3435, 26388.567484378815
24, 0.32192, 0.3509, 0.3509, 27602.648003339767
25, 0.32572, 0.3586, 0.3586, 28610.407584428787
26, 0.33146, 0.3682, 0.3682, 29748.26832675934
27, 0.33956, 0.3773, 0.3773, 30742.942426919937
28, 0.34368, 0.382, 0.382, 31773.248497486115
29, 0.34902, 0.388, 0.388, 32890.48048329353
30, 0.35932, 0.3987, 0.3987, 33823.03216791153
31, 0.3618, 0.4044, 0.4044, 34926.615569114685
32, 0.37094, 0.4092, 0.4092, 35895.72902345657
33, 0.37444, 0.4162, 0.4162, 36748.50858950615
34, 0.38268, 0.4238, 0.4238, 37731.602174282074
35, 0.3819, 0.4235, 0.4235, 38987.23613858223
36, 0.39006, 0.4321, 0.4321, 40121.77839112282
37, 0.39106, 0.4345, 0.4345, 41111.46884870529
38, 0.39674, 0.4388, 0.4388, 42157.425342321396
39, 0.40264, 0.4435, 0.4435, 43187.07846403122
40, 0.40736, 0.4494, 0.4494, 44418.63177442551
41, 0.40572, 0.4516, 0.4516, 45428.5888466835
42, 0.41462, 0.4504, 0.4504, 46620.337022066116
43, 0.41296, 0.4541, 0.4541, 47600.87966156006
44, 0.4198, 0.463, 0.463, 48666.46872782707
45, 0.42154, 0.463, 0.463, 49761.46069478989
46, 0.42476, 0.4667, 0.4667, 50779.82507753372
47, 0.4261, 0.4634, 0.4634, 51816.910064697266
48, 0.43188, 0.471, 0.471, 52865.2470228672
49, 0.43232, 0.4724, 0.4724, 53967.73645567894
