round, train_acc, test_acc, f1, time_stamp
0, 0.1, 0.1, 0.1, 960.2836725711823
1, 0.1, 0.1, 0.1, 1967.77090382576
2, 0.1, 0.1, 0.1, 3116.4295666217804
3, 0.1, 0.1, 0.1, 4203.501672029495
4, 0.10608, 0.1063, 0.1063, 5130.063908100128
5, 0.13946, 0.1399, 0.1399, 6116.877079963684
6, 0.14192, 0.1383, 0.1383, 7245.616607666016
7, 0.13676, 0.1358, 0.1358, 8398.80150961876
8, 0.14272, 0.1421, 0.1421, 9421.793668270111
9, 0.14008, 0.1456, 0.1456, 10291.221066474915
10, 0.16662, 0.1748, 0.1748, 11245.789704322815
11, 0.20546, 0.2166, 0.2166, 12195.040748596191
12, 0.2347, 0.2521, 0.2521, 13116.853966474533
13, 0.23958, 0.2551, 0.2551, 14072.134098052979
14, 0.25262, 0.2672, 0.2672, 15229.659974098206
15, 0.26028, 0.2722, 0.2722, 16221.346601963043
16, 0.26346, 0.2821, 0.2821, 17067.72390294075
17, 0.27162, 0.2885, 0.2885, 17939.08675289154
18, 0.28256, 0.3045, 0.3045, 18849.457988977432
19, 0.29006, 0.305, 0.305, 19740.7427546978
20, 0.29628, 0.3173, 0.3173, 20722.79404592514
21, 0.30292, 0.3272, 0.3272, 21800.854434490204
22, 0.3069, 0.3349, 0.3349, 22708.098504066467
23, 0.31448, 0.3443, 0.3443, 23568.386706113815
24, 0.3253, 0.3542, 0.3542, 24503.95470714569
25, 0.33038, 0.364, 0.364, 25465.44398522377
26, 0.33668, 0.3773, 0.3773, 26305.797820091248
27, 0.34456, 0.3791, 0.3791, 27322.4588804245
28, 0.34974, 0.3887, 0.3887, 28282.0061275959
29, 0.35178, 0.3926, 0.3926, 29218.333390951157
30, 0.3604, 0.3997, 0.3997, 30220.545065402985
31, 0.36506, 0.4088, 0.4088, 31144.786024332047
32, 0.37454, 0.4128, 0.4128, 32093.480142116547
33, 0.37882, 0.4157, 0.4157, 33083.831911087036
34, 0.38562, 0.4226, 0.4226, 33980.98670434952
35, 0.38618, 0.428, 0.428, 34831.53378915787
36, 0.39076, 0.4315, 0.4315, 35699.064289569855
37, 0.39634, 0.4367, 0.4367, 36556.90168642998
38, 0.39704, 0.4356, 0.4356, 37433.190596818924
39, 0.40296, 0.441, 0.441, 38274.69305610657
40, 0.40746, 0.4489, 0.4489, 39173.198011636734
41, 0.40948, 0.451, 0.451, 40115.310514211655
42, 0.41586, 0.4518, 0.4518, 40992.99572634697
43, 0.41586, 0.4574, 0.4574, 41979.16233611107
44, 0.41848, 0.4607, 0.4607, 42936.90883374214
45, 0.42278, 0.4633, 0.4633, 43932.48699069023
46, 0.42684, 0.4648, 0.4648, 44873.68729639053
47, 0.42946, 0.4678, 0.4678, 45858.24780249596
48, 0.42998, 0.467, 0.467, 46725.55178165436
49, 0.43162, 0.4688, 0.4688, 47649.89116716385
