round, train_acc, test_acc, f1, time_stamp
0, 0.1, 0.1, 0.1, 717.937281370163
1, 0.1, 0.1, 0.1, 1398.2709658145905
2, 0.1, 0.1, 0.1, 2073.987696170807
3, 0.1, 0.1, 0.1, 2763.5026626586914
4, 0.1, 0.1, 0.1, 3480.429340362549
5, 0.1, 0.1, 0.1, 4179.525785446167
6, 0.1, 0.1, 0.1, 4920.00608587265
7, 0.1, 0.1, 0.1, 5648.969445705414
8, 0.1, 0.1, 0.1, 6404.173555850983
9, 0.1, 0.1, 0.1, 7188.065988779068
10, 0.1, 0.1, 0.1, 7912.606779098511
11, 0.10478, 0.1032, 0.1032, 8639.34370303154
12, 0.15686, 0.1584, 0.1584, 9343.885959386826
13, 0.1909, 0.2011, 0.2011, 10047.667115211487
14, 0.20606, 0.213, 0.213, 10710.872539520264
15, 0.22594, 0.2387, 0.2387, 11445.887866258621
16, 0.23832, 0.2491, 0.2491, 12173.379187583923
17, 0.2434, 0.2539, 0.2539, 12898.41568517685
18, 0.24102, 0.2526, 0.2526, 13650.229800462723
19, 0.24956, 0.2644, 0.2644, 14466.264159440994
20, 0.2361, 0.2458, 0.2458, 15359.840640068054
21, 0.22864, 0.2393, 0.2393, 16221.603166818619
22, 0.22254, 0.2313, 0.2313, 17164.695217370987
23, 0.22628, 0.2343, 0.2343, 18023.143799066544
24, 0.2265, 0.2318, 0.2318, 18776.061102867126
25, 0.23716, 0.2443, 0.2443, 19702.27483677864
26, 0.24206, 0.2529, 0.2529, 20602.227691411972
27, 0.24984, 0.2575, 0.2575, 21488.734922885895
28, 0.24844, 0.2563, 0.2563, 22409.76668691635
29, 0.25394, 0.263, 0.263, 23351.700093984604
30, 0.25188, 0.2572, 0.2572, 24315.852739810944
31, 0.25096, 0.2607, 0.2607, 25237.10293149948
32, 0.25034, 0.2576, 0.2576, 26076.47049832344
33, 0.2519, 0.262, 0.262, 26892.506475687027
34, 0.25974, 0.2692, 0.2692, 27688.661014318466
35, 0.26308, 0.2759, 0.2759, 28554.401190280914
36, 0.26118, 0.2743, 0.2743, 29348.12467813492
37, 0.26292, 0.2768, 0.2768, 30150.09914803505
38, 0.2597, 0.2694, 0.2694, 30952.28143811226
39, 0.25546, 0.2698, 0.2698, 31715.615118980408
40, 0.2561, 0.2642, 0.2642, 32498.082654476166
41, 0.24882, 0.258, 0.258, 33276.07352781296
42, 0.24996, 0.259, 0.259, 34047.17374753952
43, 0.2472, 0.2558, 0.2558, 34792.32650589943
44, 0.24908, 0.2569, 0.2569, 35547.00061702728
45, 0.24878, 0.2581, 0.2581, 36318.10259389877
46, 0.25034, 0.2587, 0.2587, 37104.60851454735
47, 0.25158, 0.2593, 0.2593, 37925.98953604698
48, 0.24948, 0.2563, 0.2563, 38765.86230349541
49, 0.2521, 0.258, 0.258, 39604.43429732323
