round, train_acc, test_acc, f1, time_stamp
0, 0.0938, 0.0975, 0.0975, 189.75553107261658
1, 0.1, 0.1, 0.1, 384.1622576713562
2, 0.1, 0.1, 0.1, 577.7346422672272
3, 0.1, 0.0997, 0.0997, 776.0313699245453
4, 0.13574, 0.1408, 0.1408, 979.5821979045868
5, 0.10452, 0.104, 0.104, 1181.5015568733215
6, 0.15698, 0.1604, 0.1604, 1349.8868734836578
7, 0.17504, 0.18, 0.18, 1535.5663907527924
8, 0.22466, 0.2347, 0.2347, 1767.8584010601044
9, 0.23374, 0.2386, 0.2386, 2036.8722081184387
10, 0.25304, 0.265, 0.265, 2301.9042971134186
11, 0.25276, 0.2658, 0.2658, 2533.046926498413
12, 0.26874, 0.285, 0.285, 2741.988023042679
13, 0.27248, 0.2882, 0.2882, 2997.0108394622803
14, 0.28904, 0.3105, 0.3105, 3307.081664800644
15, 0.2969, 0.3158, 0.3158, 3558.9670190811157
16, 0.3044, 0.3255, 0.3255, 3778.05281829834
17, 0.3154, 0.3379, 0.3379, 4050.2500779628754
18, 0.32238, 0.3494, 0.3494, 4316.420361757278
19, 0.33122, 0.3559, 0.3559, 4546.657407283783
20, 0.34024, 0.3674, 0.3674, 4776.9707498550415
21, 0.34788, 0.3767, 0.3767, 5090.1730790138245
22, 0.35498, 0.3823, 0.3823, 5390.41453742981
23, 0.36222, 0.394, 0.394, 5617.403941631317
24, 0.3703, 0.3998, 0.3998, 5829.768368721008
25, 0.37566, 0.4061, 0.4061, 6083.2218978405
26, 0.38224, 0.4168, 0.4168, 6328.276541233063
27, 0.38808, 0.4189, 0.4189, 6547.969713687897
28, 0.3885, 0.4176, 0.4176, 6767.041858911514
29, 0.395, 0.4281, 0.4281, 6985.886182785034
30, 0.39484, 0.4321, 0.4321, 7266.145590543747
31, 0.40598, 0.4431, 0.4431, 7532.396141529083
32, 0.40736, 0.4475, 0.4475, 7742.317089557648
33, 0.41386, 0.4464, 0.4464, 7959.5606825351715
34, 0.41834, 0.4551, 0.4551, 8203.361202001572
35, 0.42004, 0.4553, 0.4553, 8431.963183879852
36, 0.41922, 0.4566, 0.4566, 8668.38669371605
37, 0.4217, 0.4562, 0.4562, 8902.03172135353
38, 0.4241, 0.4627, 0.4627, 9143.904456853867
39, 0.42832, 0.4661, 0.4661, 9378.730573654175
40, 0.4267, 0.466, 0.466, 9576.17518901825
41, 0.429, 0.4643, 0.4643, 9782.031641721725
42, 0.43298, 0.4696, 0.4696, 10006.445230722427
43, 0.43264, 0.4678, 0.4678, 10226.152183055878
44, 0.43214, 0.4728, 0.4728, 10439.249554157257
45, 0.43484, 0.4749, 0.4749, 10652.431410074234
46, 0.43712, 0.4742, 0.4742, 10860.675795078278
47, 0.43956, 0.4781, 0.4781, 11079.339500427246
48, 0.43854, 0.4783, 0.4783, 11308.147801876068
49, 0.4423, 0.478, 0.478, 11530.44005894661
