,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.1273,0,0
1,1,10,0,0.212,0,0
2,2,10,0,0.3258,0,0
3,3,10,0,0.3807,0,0
4,4,10,0,0.4215,0,0
5,5,10,0,0.4235,0,0
6,6,10,0,0.4695,0,0
7,7,10,0,0.4776,0,0
8,8,10,0,0.482,0,0
9,9,10,0,0.5002,0,0
10,10,10,0,0.4931,0,0
11,11,10,0,0.5056,0,0
12,12,10,0,0.5124,0,0
13,13,10,0,0.5133,0,0
14,14,10,0,0.5152,0,0
15,15,10,0,0.5179,0,0
16,16,10,0,0.5199,0,0
17,17,10,0,0.5197,0,0
18,18,10,0,0.5195,0,0
19,19,10,0,0.5323,0,0
20,20,10,0,0.5241,0,0
21,21,10,0,0.5296,0,0
22,22,10,0,0.5311,0,0
23,23,10,0,0.5316,0,0
24,24,10,0,0.5334,0,0
25,25,10,0,0.538,0,0
26,26,10,0,0.5311,0,0
27,27,10,0,0.5389,0,0
28,28,10,0,0.5389,0,0
29,29,10,0,0.5419,0,0
30,30,10,0,0.5343,0,0
31,31,10,0,0.5363,0,0
32,32,10,0,0.5376,0,0
33,33,10,0,0.5419,0,0
34,34,10,0,0.5418,0,0
35,35,10,0,0.5442,0,0
36,36,10,0,0.5368,0,0
37,37,10,0,0.5343,0,0
38,38,10,0,0.5446,0,0
39,39,10,0,0.5462,0,0
40,40,10,0,0.5443,0,0
41,41,10,0,0.5427,0,0
42,42,10,0,0.5493,0,0
43,43,10,0,0.5439,0,0
44,44,10,0,0.5462,0,0
45,45,10,0,0.5486,0,0
46,46,10,0,0.5502,0,0
47,47,10,0,0.5514,0,0
48,48,10,0,0.5458,0,0
49,49,10,0,0.5402,0,0
