,Round,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,0.08926,0.0922,"[[0, 0, 702, 0, 0, 0, 0, 298, 0, 0], [0, 0, 704, 0, 0, 0, 0, 296, 0, 0], [0, 0, 567, 0, 0, 0, 0, 433, 0, 0], [0, 0, 610, 0, 0, 0, 0, 390, 0, 0], [0, 0, 496, 0, 0, 0, 0, 504, 0, 0], [0, 0, 717, 0, 0, 0, 0, 283, 0, 0], [0, 0, 610, 0, 0, 0, 0, 390, 0, 0], [0, 0, 645, 0, 0, 0, 0, 355, 0, 0], [0, 0, 695, 0, 0, 0, 0, 305, 0, 0], [0, 0, 669, 0, 0, 0, 0, 331, 0, 0]]"
1,1,0.1,0.1,"[[0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0]]"
2,2,0.1,0.1,"[[0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0]]"
3,3,0.1,0.1,"[[0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0]]"
4,4,0.1116,0.1128,"[[1, 0, 946, 0, 0, 0, 0, 0, 53, 0], [0, 0, 882, 0, 0, 0, 0, 0, 118, 0], [0, 0, 979, 0, 0, 0, 0, 0, 21, 0], [0, 0, 969, 0, 0, 0, 0, 0, 31, 0], [0, 0, 987, 0, 0, 0, 0, 0, 13, 0], [0, 0, 960, 0, 0, 0, 0, 0, 40, 0], [0, 0, 988, 0, 0, 0, 0, 0, 12, 0], [0, 0, 953, 0, 0, 0, 0, 0, 47, 0], [0, 0, 852, 0, 0, 0, 0, 0, 148, 0], [0, 0, 921, 0, 0, 0, 0, 0, 79, 0]]"
5,5,0.10202,0.102,"[[6, 0, 2, 0, 0, 0, 0, 0, 992, 0], [4, 0, 9, 0, 0, 0, 0, 0, 987, 0], [4, 0, 16, 0, 0, 0, 0, 0, 980, 0], [8, 0, 39, 0, 0, 0, 0, 3, 949, 1], [0, 0, 30, 0, 0, 0, 0, 0, 970, 0], [8, 0, 29, 0, 0, 0, 0, 0, 963, 0], [4, 0, 23, 0, 0, 0, 0, 0, 973, 0], [5, 0, 33, 0, 0, 0, 0, 0, 962, 0], [1, 0, 1, 0, 0, 0, 0, 0, 998, 0], [8, 0, 6, 0, 0, 0, 0, 0, 986, 0]]"
6,6,0.15184,0.1586,"[[547, 2, 79, 0, 0, 0, 0, 3, 350, 19], [238, 6, 118, 0, 0, 2, 0, 7, 582, 47], [400, 2, 275, 1, 0, 0, 0, 9, 301, 12], [266, 1, 363, 3, 0, 0, 1, 34, 304, 28], [262, 0, 416, 0, 0, 0, 1, 15, 294, 12], [269, 1, 270, 3, 0, 2, 0, 27, 410, 18], [207, 2, 393, 0, 0, 0, 0, 15, 368, 15], [341, 0, 285, 0, 0, 0, 0, 19, 295, 60], [234, 1, 87, 0, 0, 3, 0, 1, 635, 39], [338, 1, 68, 0, 0, 0, 0, 8, 486, 99]]"
7,7,0.18178,0.189,"[[633, 2, 46, 0, 47, 17, 1, 15, 177, 62], [330, 6, 69, 0, 50, 45, 7, 16, 379, 98], [472, 1, 233, 0, 103, 38, 7, 14, 96, 36], [342, 0, 188, 0, 213, 88, 5, 44, 67, 53], [352, 0, 259, 0, 220, 20, 17, 25, 60, 47], [427, 0, 161, 0, 185, 95, 3, 23, 71, 35], [318, 0, 290, 0, 158, 68, 26, 27, 81, 32], [361, 0, 108, 0, 189, 25, 4, 48, 143, 122], [369, 3, 38, 0, 48, 55, 0, 2, 391, 94], [348, 0, 47, 0, 32, 8, 4, 17, 306, 238]]"
8,8,0.22488,0.2345,"[[431, 36, 19, 0, 0, 119, 13, 54, 238, 90], [134, 104, 31, 1, 0, 165, 54, 39, 336, 136], [196, 25, 84, 1, 9, 350, 143, 67, 75, 50], [127, 15, 60, 1, 12, 452, 124, 115, 30, 64], [99, 16, 72, 0, 7, 342, 277, 96, 32, 59], [156, 19, 44, 0, 13, 476, 118, 97, 43, 34], [67, 11, 58, 0, 12, 352, 329, 105, 23, 43], [102, 41, 48, 1, 8, 269, 112, 174, 76, 169], [218, 29, 9, 0, 0, 164, 4, 12, 418, 146], [173, 28, 25, 0, 4, 80, 37, 62, 270, 321]]"
9,9,0.23788,0.2448,"[[217, 12, 126, 0, 0, 72, 50, 50, 367, 106], [68, 69, 76, 0, 0, 132, 131, 53, 365, 106], [67, 11, 166, 0, 0, 156, 415, 50, 90, 45], [23, 4, 135, 2, 0, 264, 378, 107, 35, 52], [33, 1, 114, 0, 0, 108, 615, 52, 34, 43], [22, 6, 140, 2, 0, 335, 360, 63, 43, 29], [8, 2, 95, 0, 0, 109, 694, 58, 8, 26], [28, 14, 137, 4, 0, 144, 315, 186, 49, 123], [89, 17, 91, 0, 0, 117, 26, 21, 495, 144], [55, 15, 83, 1, 0, 50, 110, 102, 300, 284]]"
10,10,0.25364,0.2691,"[[536, 29, 25, 0, 0, 62, 47, 62, 139, 100], [182, 138, 21, 0, 0, 112, 124, 70, 242, 111], [165, 28, 71, 0, 0, 171, 398, 91, 27, 49], [69, 14, 60, 1, 0, 295, 340, 147, 22, 52], [75, 5, 46, 1, 0, 120, 602, 86, 20, 45], [96, 14, 59, 2, 0, 349, 320, 102, 26, 32], [17, 8, 33, 0, 0, 118, 685, 104, 6, 29], [56, 34, 44, 3, 0, 155, 278, 250, 39, 141], [297, 31, 24, 0, 0, 96, 21, 37, 353, 141], [159, 33, 25, 0, 0, 43, 103, 116, 213, 308]]"
11,11,0.2621,0.2737,"[[486, 32, 20, 0, 2, 55, 34, 36, 256, 79], [126, 148, 16, 1, 0, 99, 94, 62, 347, 107], [173, 32, 71, 4, 2, 223, 320, 77, 52, 46], [89, 19, 51, 21, 2, 345, 251, 125, 49, 48], [85, 6, 57, 13, 1, 173, 504, 78, 38, 45], [98, 20, 51, 15, 4, 385, 246, 88, 70, 23], [28, 10, 52, 7, 1, 171, 598, 92, 10, 31], [74, 34, 50, 18, 4, 181, 196, 223, 67, 153], [205, 33, 15, 2, 0, 85, 9, 22, 510, 119], [116, 32, 20, 4, 0, 54, 76, 81, 323, 294]]"
12,12,0.2707,0.2893,"[[452, 58, 5, 2, 0, 64, 44, 53, 234, 88], [96, 245, 4, 0, 0, 103, 115, 64, 259, 114], [135, 55, 31, 8, 2, 222, 364, 94, 46, 43], [62, 32, 20, 12, 2, 350, 290, 150, 31, 51], [69, 14, 13, 6, 4, 168, 566, 91, 29, 40], [57, 32, 13, 8, 5, 413, 286, 101, 53, 32], [18, 15, 16, 6, 2, 147, 666, 96, 8, 26], [48, 52, 11, 14, 4, 185, 234, 269, 46, 137], [174, 59, 9, 2, 0, 92, 16, 30, 485, 133], [87, 68, 3, 5, 0, 52, 95, 97, 277, 316]]"
