,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.1367,0,0
1,1,10,0,0.096,0,0
2,2,10,0,0.1504,0,0
3,3,10,0,0.1883,0,0
4,4,10,0,0.1785,0,0
5,5,10,0,0.2022,0,0
6,6,10,0,0.253,0,0
7,7,10,0,0.2565,0,0
8,8,10,0,0.2742,0,0
9,9,10,0,0.2907,0,0
10,10,10,0,0.3055,0,0
11,11,10,0,0.3241,0,0
12,12,10,0,0.3284,0,0
13,13,10,0,0.3588,0,0
14,14,10,0,0.3868,0,0
15,15,10,0,0.4048,0,0
16,16,10,0,0.4134,0,0
17,17,10,0,0.4288,0,0
18,18,10,0,0.4386,0,0
19,19,10,0,0.4498,0,0
20,20,10,0,0.455,0,0
21,21,10,0,0.4644,0,0
22,22,10,0,0.473,0,0
23,23,10,0,0.4812,0,0
24,24,10,0,0.484,0,0
