,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,20,0,0.1645,0,0
1,1,20,0,0.2658,0,0
2,2,20,0,0.3127,0,0
3,3,20,0,0.386,0,0
4,4,20,0,0.4332,0,0
5,5,20,0,0.4686,0,0
6,6,20,0,0.4876,0,0
7,7,20,0,0.5074,0,0
8,8,20,0,0.5246,0,0
9,9,20,0,0.5356,0,0
10,10,20,0,0.5473,0,0
11,11,20,0,0.5606,0,0
12,12,20,0,0.5625,0,0
13,13,20,0,0.5706,0,0
14,14,20,0,0.5748,0,0
15,15,20,0,0.5739,0,0
16,16,20,0,0.5765,0,0
17,17,20,0,0.5803,0,0
18,18,20,0,0.5828,0,0
19,19,20,0,0.5874,0,0
20,20,20,0,0.5895,0,0
21,21,20,0,0.5969,0,0
22,22,20,0,0.5965,0,0
23,23,20,0,0.6025,0,0
24,24,20,0,0.6003,0,0
