round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1, 0, 9197.42613697052
1, 0, 0.1, 0, 18393.134506702423
2, 0, 0.1, 0, 27606.499636888504
3, 0, 0.1, 0, 36837.83315658569
4, 0, 0.1, 0, 45992.89368343353
5, 0, 0.1, 0, 55171.08096766472
6, 0, 0.1, 0, 63858.203701496124
7, 0, 0.1, 0, 71770.89671635628
8, 0, 0.1, 0, 79759.004281044
9, 0, 0.1, 0, 87833.36575102806
10, 0, 0.1, 0, 95987.72739505768
11, 0, 0.1, 0, 103936.91023731232
12, 0, 0.1, 0, 111761.3011829853
13, 0, 0.1, 0, 119593.78487467766
14, 0, 0.1, 0, 127420.25119376183
15, 0, 0.1, 0, 135263.64351010323
16, 0, 0.1, 0, 143060.3909535408
17, 0, 0.1, 0, 150959.95914673805
18, 0, 0.1, 0, 158759.62677264214
19, 0, 0.1, 0, 166543.67518377304
20, 0, 0.1, 0, 174335.4070327282
21, 0, 0.1, 0, 182122.50190997124
22, 0, 0.1, 0, 189917.68738269806
23, 0, 0.1, 0, 197706.18413734436
24, 0, 0.1, 0, 207002.80351805687
