,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.134,0,0
1,1,10,0,0.1338,0,0
2,2,10,0,0.1672,0,0
3,3,10,0,0.2315,0,0
4,4,10,0,0.24,0,0
5,5,10,0,0.2708,0,0
6,6,10,0,0.3051,0,0
7,7,10,0,0.3128,0,0
8,8,10,0,0.3596,0,0
9,9,10,0,0.3896,0,0
10,10,10,0,0.4162,0,0
11,11,10,0,0.4415,0,0
12,12,10,0,0.4477,0,0
13,13,10,0,0.4576,0,0
14,14,10,0,0.4724,0,0
15,15,10,0,0.48,0,0
16,16,10,0,0.4906,0,0
17,17,10,0,0.4994,0,0
18,18,10,0,0.5042,0,0
19,19,10,0,0.5139,0,0
20,20,10,0,0.5183,0,0
21,21,10,0,0.5229,0,0
22,22,10,0,0.5301,0,0
23,23,10,0,0.5355,0,0
24,24,10,0,0.5363,0,0
