round, train_acc, test_acc, f1, time_stamp
0, 0, 0.134, 0, 7769.261199235916
1, 0, 0.1338, 0, 15692.513528823853
2, 0, 0.1672, 0, 23609.02172923088
3, 0, 0.2315, 0, 31530.281200647354
4, 0, 0.24, 0, 39452.71065211296
5, 0, 0.2708, 0, 47378.31055474281
6, 0, 0.3051, 0, 55308.66263413429
7, 0, 0.3128, 0, 63230.11244940758
8, 0, 0.3596, 0, 71158.4150698185
9, 0, 0.3896, 0, 80148.55966925621
10, 0, 0.4162, 0, 90065.21608185768
11, 0, 0.4415, 0, 99967.35304737091
12, 0, 0.4477, 0, 109881.365285635
13, 0, 0.4576, 0, 119804.21125531197
14, 0, 0.4724, 0, 129953.0177783966
15, 0, 0.48, 0, 140945.5077021122
16, 0, 0.4906, 0, 151626.32293891907
17, 0, 0.4994, 0, 161399.0733613968
18, 0, 0.5042, 0, 171079.3120660782
19, 0, 0.5139, 0, 179898.34578347206
20, 0, 0.5183, 0, 189470.97401118279
21, 0, 0.5229, 0, 199210.36719560623
22, 0, 0.5301, 0, 208921.0743033886
23, 0, 0.5355, 0, 218628.7280356884
24, 0, 0.5363, 0, 226917.12379837036
