,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,20,0,0.1,0,0
1,1,20,0,0.1,0,0
2,2,20,0,0.1,0,0
3,3,20,0,0.1,0,0
4,4,20,0,0.1,0,0
5,5,20,0,0.1,0,0
6,6,20,0,0.1,0,0
7,7,20,0,0.1,0,0
8,8,20,0,0.1,0,0
9,9,20,0,0.1,0,0
10,10,20,0,0.1,0,0
11,11,20,0,0.1,0,0
12,12,20,0,0.1,0,0
13,13,20,0,0.1,0,0
14,14,20,0,0.1,0,0
15,15,20,0,0.1,0,0
16,16,20,0,0.1,0,0
17,17,20,0,0.1,0,0
18,18,20,0,0.1,0,0
19,19,20,0,0.1,0,0
20,20,20,0,0.1,0,0
21,21,20,0,0.1,0,0
22,22,20,0,0.1,0,0
23,23,20,0,0.1,0,0
24,24,20,0,0.1,0,0
