round, train_acc, test_acc, f1, time_stamp
round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1, 0, 8250.224750757217
0, 0, 0.1, 0, 10225.45049071312
1, 0, 0.1, 0, 16478.988033294678
1, 0, 0.1, 0, 20646.561342716217
2, 0, 0.1, 0, 24699.898009061813
2, 0, 0.1, 0, 32654.5247900486
3, 0, 0.1, 0, 33469.172046899796
4, 0, 0.1, 0, 42276.11706471443
3, 0, 0.1, 0, 44665.440368413925
5, 0, 0.1, 0, 52050.85107898712
4, 0, 0.1, 0, 56673.321640491486
6, 0, 0.1, 0, 61900.78801941872
5, 0, 0.1, 0, 68739.30454683304
7, 0, 0.1, 0, 71759.38491940498
6, 0, 0.1, 0, 80828.73262453079
8, 0, 0.1, 0, 81665.44636774063
9, 0, 0.1, 0, 91666.52405118942
7, 0, 0.1, 0, 92947.19701576233
10, 0, 0.1, 0, 101735.6697177887
8, 0, 0.1, 0, 104962.51474165916
11, 0, 0.1, 0, 111929.14105653763
9, 0, 0.1, 0, 116701.02148270607
12, 0, 0.1, 0, 122045.85006642342
10, 0, 0.1, 0, 127132.40856289864
13, 0, 0.1, 0, 132222.98970508575
11, 0, 0.1, 0, 137749.44353652
14, 0, 0.1, 0, 142406.8239490986
12, 0, 0.1, 0, 148426.35830044746
15, 0, 0.1, 0, 152652.5789217949
13, 0, 0.1, 0, 158912.00996518135
16, 0, 0.1, 0, 162980.25042700768
14, 0, 0.1, 0, 169233.37591362
17, 0, 0.1, 0, 173216.89627218246
15, 0, 0.1, 0, 179573.00634217262
18, 0, 0.1, 0, 183323.5194451809
16, 0, 0.1, 0, 189906.19914340973
19, 0, 0.1, 0, 193405.61723804474
17, 0, 0.1, 0, 200179.06456685066
20, 0, 0.1, 0, 203500.05133080482
18, 0, 0.1, 0, 210554.48127889633
21, 0, 0.1, 0, 214892.2999379635
19, 0, 0.1, 0, 220822.6605963707
22, 0, 0.1, 0, 224168.541025877
20, 0, 0.1, 0, 231096.15372300148
23, 0, 0.1, 0, 234091.84888982773
21, 0, 0.1, 0, 241373.91034650803
24, 0, 0.1, 0, 245962.0305876732
22, 0, 0.1, 0, 251646.92076849937
23, 0, 0.1, 0, 263948.6411008835
24, 0, 0.1, 0, 276337.3584923744
