,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,20,0.10738,0.1071,0.1071,"[[0, 986, 0, 0, 14, 0, 0, 0, 0, 0], [0, 959, 0, 0, 41, 0, 0, 0, 0, 0], [0, 939, 0, 0, 61, 0, 0, 0, 0, 0], [0, 911, 0, 5, 84, 0, 0, 0, 0, 0], [0, 893, 0, 0, 107, 0, 0, 0, 0, 0], [0, 948, 0, 1, 51, 0, 0, 0, 0, 0], [0, 922, 0, 1, 77, 0, 0, 0, 0, 0], [0, 953, 0, 4, 43, 0, 0, 0, 0, 0], [0, 987, 0, 0, 13, 0, 0, 0, 0, 0], [0, 983, 0, 2, 15, 0, 0, 0, 0, 0]]"
1,1,20,0.1427,0.1494,0.1494,"[[0, 751, 0, 0, 213, 36, 0, 0, 0, 0], [0, 694, 0, 0, 255, 51, 0, 0, 0, 0], [0, 432, 0, 0, 514, 54, 0, 0, 0, 0], [0, 346, 0, 0, 494, 160, 0, 0, 0, 0], [0, 298, 0, 0, 623, 79, 0, 0, 0, 0], [0, 407, 0, 0, 416, 177, 0, 0, 0, 0], [0, 288, 0, 0, 645, 67, 0, 0, 0, 0], [1, 508, 0, 0, 415, 76, 0, 0, 0, 0], [0, 790, 0, 0, 124, 86, 0, 0, 0, 0], [0, 799, 0, 0, 181, 20, 0, 0, 0, 0]]"
2,2,20,0.15886,0.1658,0.1658,"[[0, 738, 3, 44, 164, 43, 0, 8, 0, 0], [0, 640, 0, 29, 242, 83, 0, 6, 0, 0], [0, 302, 0, 43, 569, 81, 0, 5, 0, 0], [0, 206, 0, 71, 501, 210, 0, 12, 0, 0], [0, 182, 0, 56, 678, 80, 0, 4, 0, 0], [0, 226, 0, 107, 418, 239, 0, 10, 0, 0], [0, 130, 0, 82, 687, 90, 0, 11, 0, 0], [0, 389, 0, 60, 428, 93, 0, 30, 0, 0], [0, 779, 1, 33, 80, 106, 0, 1, 0, 0], [0, 759, 0, 15, 181, 29, 0, 16, 0, 0]]"
3,3,20,0.1806,0.1924,0.1924,"[[329, 398, 6, 0, 208, 7, 0, 48, 0, 4], [48, 538, 4, 0, 331, 31, 0, 39, 0, 9], [77, 127, 7, 0, 743, 9, 0, 26, 0, 11], [9, 101, 3, 0, 825, 25, 0, 35, 0, 2], [26, 81, 2, 0, 860, 1, 0, 28, 0, 2], [10, 111, 1, 0, 816, 38, 0, 22, 0, 2], [4, 28, 0, 0, 943, 2, 0, 23, 0, 0], [13, 152, 0, 0, 698, 8, 0, 121, 0, 8], [133, 643, 1, 0, 158, 30, 0, 32, 0, 3], [41, 518, 2, 0, 283, 4, 0, 121, 0, 31]]"
4,4,20,0.21464,0.2313,0.2313,"[[518, 248, 11, 2, 98, 12, 0, 68, 0, 43], [166, 486, 3, 1, 186, 43, 0, 70, 1, 44], [122, 126, 9, 7, 607, 36, 0, 75, 0, 18], [32, 117, 11, 3, 614, 93, 0, 117, 0, 13], [55, 70, 5, 1, 763, 22, 0, 66, 0, 18], [22, 186, 5, 2, 588, 119, 0, 71, 0, 7], [11, 33, 2, 2, 856, 22, 0, 70, 0, 4], [38, 134, 5, 0, 485, 38, 0, 264, 0, 36], [405, 379, 1, 1, 59, 40, 0, 60, 3, 52], [164, 323, 2, 0, 167, 7, 0, 185, 4, 148]]"
5,5,20,0.22376,0.2413,0.2413,"[[482, 257, 20, 18, 85, 10, 0, 92, 1, 35], [117, 550, 5, 9, 154, 34, 0, 100, 1, 30], [113, 113, 21, 34, 565, 53, 0, 90, 0, 11], [25, 104, 18, 35, 548, 119, 0, 144, 0, 7], [49, 61, 12, 17, 737, 31, 0, 82, 0, 11], [19, 160, 7, 33, 538, 146, 0, 93, 0, 4], [9, 38, 2, 7, 823, 33, 0, 85, 0, 3], [36, 132, 7, 14, 423, 36, 0, 335, 0, 17], [360, 419, 5, 11, 42, 33, 0, 93, 3, 34], [137, 351, 3, 8, 136, 6, 0, 254, 1, 104]]"
6,6,20,0.245,0.2572,0.2572,"[[492, 207, 17, 41, 69, 7, 1, 105, 14, 47], [132, 515, 7, 21, 116, 29, 1, 125, 17, 37], [119, 91, 18, 82, 511, 54, 5, 111, 2, 7], [25, 80, 17, 106, 465, 122, 4, 172, 0, 9], [46, 36, 13, 61, 690, 27, 6, 109, 1, 11], [24, 101, 13, 123, 463, 147, 3, 123, 1, 2], [10, 37, 1, 29, 743, 45, 22, 109, 0, 4], [35, 109, 8, 37, 354, 41, 2, 397, 1, 16], [350, 325, 0, 44, 34, 24, 0, 103, 53, 67], [111, 311, 3, 19, 100, 9, 0, 286, 29, 132]]"
7,7,20,0.25842,0.2725,0.2725,"[[569, 196, 22, 45, 56, 6, 6, 81, 7, 12], [153, 580, 5, 37, 73, 12, 13, 103, 5, 19], [126, 88, 28, 120, 470, 56, 17, 92, 1, 2], [51, 78, 29, 172, 374, 121, 19, 154, 0, 2], [62, 35, 16, 101, 638, 22, 24, 101, 1, 0], [36, 86, 24, 186, 388, 159, 6, 111, 3, 1], [11, 60, 5, 56, 647, 45, 85, 89, 0, 2], [50, 110, 18, 69, 314, 41, 6, 387, 1, 4], [430, 346, 3, 58, 18, 13, 4, 68, 38, 22], [152, 384, 5, 35, 63, 8, 10, 253, 21, 69]]"
8,8,20,0.28874,0.311,0.311,"[[511, 190, 30, 53, 43, 6, 12, 88, 50, 17], [116, 641, 7, 30, 28, 12, 24, 66, 33, 43], [103, 81, 41, 133, 432, 57, 48, 96, 6, 3], [33, 76, 33, 190, 316, 126, 52, 167, 3, 4], [54, 36, 18, 97, 617, 25, 51, 99, 2, 1], [33, 62, 28, 194, 357, 182, 23, 114, 5, 2], [9, 59, 6, 65, 536, 31, 207, 84, 0, 3], [36, 88, 16, 86, 281, 52, 19, 409, 4, 9], [305, 316, 10, 63, 16, 7, 8, 57, 180, 38], [89, 406, 4, 43, 36, 6, 23, 194, 67, 132]]"
9,9,20,0.30534,0.3341,0.3341,"[[586, 161, 43, 40, 36, 6, 9, 66, 47, 6], [137, 699, 8, 32, 15, 12, 17, 31, 19, 30], [97, 72, 72, 146, 392, 84, 45, 85, 5, 2], [50, 79, 51, 243, 247, 160, 43, 122, 4, 1], [64, 37, 32, 96, 594, 31, 50, 95, 1, 0], [39, 48, 35, 212, 289, 250, 30, 93, 4, 0], [9, 59, 14, 97, 487, 40, 220, 70, 1, 3], [41, 79, 35, 102, 249, 74, 13, 398, 3, 6], [399, 298, 13, 44, 17, 12, 7, 32, 159, 19], [128, 467, 7, 50, 20, 6, 19, 121, 62, 120]]"
10,10,20,0.33314,0.3604,0.3604,"[[541, 172, 46, 38, 27, 11, 12, 59, 83, 11], [79, 749, 6, 26, 10, 12, 21, 26, 39, 32], [81, 63, 88, 149, 351, 101, 60, 91, 12, 4], [41, 79, 52, 245, 189, 195, 69, 117, 8, 5], [58, 41, 39, 91, 558, 41, 64, 100, 7, 1], [31, 51, 28, 191, 229, 310, 43, 105, 11, 1], [8, 54, 10, 112, 415, 46, 278, 71, 1, 5], [31, 71, 31, 105, 191, 97, 24, 430, 8, 12], [317, 278, 15, 45, 15, 11, 10, 29, 260, 20], [80, 491, 4, 53, 9, 9, 28, 91, 90, 145]]"
11,11,20,0.34086,0.3687,0.3687,"[[547, 178, 43, 40, 32, 10, 13, 46, 82, 9], [68, 775, 4, 26, 10, 11, 24, 25, 36, 21], [75, 62, 104, 152, 343, 90, 75, 85, 10, 4], [38, 79, 60, 290, 167, 165, 94, 94, 6, 7], [60, 40, 53, 86, 552, 35, 81, 87, 6, 0], [28, 43, 46, 239, 206, 284, 55, 84, 14, 1], [9, 47, 8, 122, 386, 36, 326, 60, 2, 4], [28, 66, 35, 121, 183, 88, 32, 427, 9, 11], [302, 294, 15, 43, 16, 8, 16, 22, 270, 14], [75, 547, 3, 61, 12, 5, 31, 75, 79, 112]]"
12,12,20,0.3564,0.3887,0.3887,"[[554, 155, 42, 35, 32, 13, 13, 41, 102, 13], [59, 770, 3, 23, 9, 12, 21, 21, 49, 33], [74, 56, 104, 155, 319, 113, 67, 91, 14, 7], [38, 71, 53, 305, 135, 198, 93, 90, 8, 9], [56, 32, 54, 93, 539, 45, 72, 98, 10, 1], [25, 41, 40, 228, 165, 337, 52, 97, 14, 1], [8, 44, 11, 136, 340, 48, 341, 61, 7, 4], [30, 56, 31, 122, 146, 104, 27, 459, 10, 15], [288, 241, 14, 42, 17, 12, 17, 18, 337, 14], [70, 504, 1, 64, 10, 7, 30, 72, 101, 141]]"
13,13,20,0.36642,0.4003,0.4003,"[[566, 152, 43, 38, 34, 12, 13, 38, 95, 9], [50, 785, 6, 23, 9, 9, 21, 22, 46, 29], [72, 55, 139, 145, 314, 97, 75, 83, 14, 6], [32, 67, 68, 337, 123, 182, 103, 74, 6, 8], [54, 31, 63, 83, 548, 42, 78, 87, 12, 2], [20, 38, 63, 246, 152, 329, 51, 85, 12, 4], [8, 37, 16, 136, 334, 44, 363, 49, 7, 6], [31, 48, 44, 122, 139, 97, 36, 459, 8, 16], [289, 243, 14, 45, 19, 9, 17, 16, 336, 12], [60, 515, 5, 67, 10, 7, 35, 66, 94, 141]]"
14,14,20,0.37762,0.4132,0.4132,"[[516, 154, 43, 37, 39, 13, 15, 39, 131, 13], [31, 785, 5, 24, 7, 10, 22, 26, 57, 33], [60, 54, 128, 139, 325, 106, 75, 86, 20, 7], [21, 56, 57, 346, 122, 198, 106, 75, 9, 10], [44, 32, 60, 77, 552, 45, 83, 88, 17, 2], [10, 33, 55, 231, 148, 370, 52, 80, 17, 4], [6, 32, 17, 131, 323, 42, 389, 44, 8, 8], [24, 48, 33, 110, 138, 110, 38, 474, 9, 16], [218, 235, 10, 48, 25, 11, 15, 17, 406, 15], [42, 488, 3, 79, 10, 8, 41, 60, 103, 166]]"
