round, train_acc, test_acc, f1, time_stamp
0, 0.1153, 0.1158, 0.1158, 2009.3098511695862
1, 0.16284, 0.1714, 0.1714, 4009.0089433193207
2, 0.20048, 0.2157, 0.2157, 6014.715366363525
3, 0.24826, 0.266, 0.266, 8029.069427728653
4, 0.28454, 0.3084, 0.3084, 10047.798013925552
5, 0.32778, 0.3462, 0.3462, 12067.67171382904
6, 0.35544, 0.3808, 0.3808, 14073.12638926506
7, 0.37702, 0.4098, 0.4098, 16067.892728805542
8, 0.39436, 0.4344, 0.4344, 18014.511548280716
9, 0.40098, 0.4429, 0.4429, 19945.45239830017
10, 0.41216, 0.455, 0.455, 21878.137330532074
11, 0.42008, 0.4627, 0.4627, 23688.98534679413
12, 0.42808, 0.4707, 0.4707, 25396.842307567596
13, 0.43504, 0.4785, 0.4785, 27370.78481054306
14, 0.4367, 0.4782, 0.4782, 29395.804547309875
15, 0.4403, 0.4807, 0.4807, 31411.516049146652
16, 0.44748, 0.4846, 0.4846, 33462.490423202515
17, 0.44882, 0.4878, 0.4878, 35537.692858695984
18, 0.45066, 0.4872, 0.4872, 37621.88338422775
19, 0.45546, 0.4885, 0.4885, 39690.71943831444
20, 0.45774, 0.4884, 0.4884, 41754.35265803337
21, 0.46272, 0.492, 0.492, 43800.159215927124
22, 0.46546, 0.4933, 0.4933, 45846.72735929489
23, 0.46252, 0.4926, 0.4926, 47909.67391085625
24, 0.46676, 0.4929, 0.4929, 49984.243624687195
