,Round,Epoch,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,10,0.2626,0.266,"[[329, 84, 415, 152, 0, 0, 0, 0, 0, 0], [0, 1103, 32, 0, 0, 0, 0, 0, 0, 0], [0, 202, 829, 1, 0, 0, 0, 0, 0, 0], [1, 107, 503, 399, 0, 0, 0, 0, 0, 0], [0, 382, 600, 0, 0, 0, 0, 0, 0, 0], [2, 217, 564, 109, 0, 0, 0, 0, 0, 0], [1, 82, 862, 13, 0, 0, 0, 0, 0, 0], [7, 408, 590, 23, 0, 0, 0, 0, 0, 0], [0, 153, 799, 22, 0, 0, 0, 0, 0, 0], [1, 330, 674, 4, 0, 0, 0, 0, 0, 0]]"
1,1,10,0.68815,0.7072,"[[943, 0, 6, 24, 1, 0, 4, 1, 1, 0], [0, 1071, 8, 25, 0, 1, 6, 0, 5, 19], [21, 14, 844, 34, 2, 0, 88, 17, 8, 4], [27, 5, 39, 893, 0, 9, 5, 21, 5, 6], [15, 12, 36, 1, 396, 0, 86, 10, 2, 424], [293, 24, 19, 232, 0, 239, 24, 11, 12, 38], [80, 11, 64, 47, 2, 0, 750, 2, 1, 1], [41, 46, 71, 1, 1, 5, 2, 805, 1, 55], [16, 53, 211, 195, 0, 10, 20, 74, 306, 89], [29, 12, 3, 15, 14, 5, 9, 95, 2, 825]]"
2,2,10,0.8312833333333334,0.8401,"[[948, 0, 1, 1, 1, 24, 2, 1, 2, 0], [0, 1113, 5, 6, 0, 1, 4, 0, 5, 1], [16, 6, 910, 8, 22, 0, 34, 20, 13, 3], [5, 9, 25, 888, 2, 37, 7, 20, 12, 5], [1, 5, 3, 0, 828, 0, 29, 1, 2, 113], [53, 8, 7, 131, 13, 602, 41, 7, 13, 17], [24, 13, 34, 4, 25, 18, 838, 2, 0, 0], [4, 32, 34, 0, 7, 1, 0, 879, 3, 68], [7, 75, 46, 55, 16, 36, 31, 41, 587, 80], [16, 8, 4, 11, 102, 12, 3, 42, 3, 808]]"
3,3,10,0.8879833333333333,0.8997,"[[959, 0, 1, 1, 0, 10, 4, 1, 4, 0], [0, 1114, 3, 4, 0, 2, 6, 0, 6, 0], [19, 4, 921, 8, 20, 0, 25, 15, 18, 2], [5, 3, 23, 909, 1, 32, 2, 15, 14, 6], [2, 3, 1, 0, 895, 0, 22, 0, 3, 56], [26, 4, 3, 55, 7, 736, 29, 4, 20, 8], [20, 5, 16, 1, 11, 16, 888, 1, 0, 0], [3, 19, 29, 1, 6, 1, 0, 913, 5, 51], [6, 24, 14, 18, 13, 36, 16, 21, 788, 38], [15, 5, 4, 9, 50, 15, 2, 31, 4, 874]]"
4,4,10,0.91095,0.9192,"[[962, 0, 0, 1, 0, 7, 5, 1, 4, 0], [0, 1117, 3, 3, 0, 2, 5, 0, 5, 0], [19, 2, 937, 8, 20, 0, 18, 12, 14, 2], [3, 2, 22, 928, 0, 21, 1, 12, 13, 8], [1, 2, 1, 0, 922, 0, 16, 1, 3, 36], [18, 3, 4, 50, 5, 756, 23, 4, 23, 6], [16, 4, 10, 1, 11, 13, 902, 1, 0, 0], [3, 10, 33, 3, 3, 0, 0, 927, 3, 46], [5, 15, 11, 15, 10, 19, 16, 16, 848, 19], [12, 6, 2, 10, 36, 14, 2, 29, 5, 893]]"
5,5,10,0.92475,0.9309,"[[965, 0, 0, 1, 0, 4, 5, 1, 4, 0], [0, 1120, 3, 2, 0, 1, 5, 0, 4, 0], [19, 2, 943, 9, 16, 0, 18, 12, 13, 0], [3, 3, 23, 929, 0, 20, 0, 12, 15, 5], [0, 2, 2, 0, 928, 0, 12, 1, 3, 34], [13, 1, 1, 36, 3, 791, 22, 3, 17, 5], [15, 2, 5, 1, 10, 13, 910, 1, 1, 0], [3, 8, 27, 3, 2, 0, 0, 944, 3, 38], [5, 7, 9, 15, 7, 12, 13, 15, 879, 12], [13, 6, 1, 8, 34, 13, 1, 26, 7, 900]]"
6,6,10,0.9336,0.9388,"[[967, 0, 1, 0, 0, 2, 4, 1, 5, 0], [0, 1118, 3, 2, 0, 0, 5, 0, 6, 1], [18, 2, 945, 11, 14, 0, 16, 13, 13, 0], [2, 3, 20, 942, 0, 10, 1, 10, 17, 5], [0, 2, 2, 0, 936, 0, 12, 1, 3, 26], [11, 1, 1, 36, 3, 798, 19, 3, 15, 5], [11, 2, 4, 1, 8, 11, 919, 1, 1, 0], [3, 8, 26, 2, 2, 0, 0, 954, 2, 31], [6, 4, 6, 14, 6, 9, 9, 13, 898, 9], [11, 6, 2, 9, 31, 12, 1, 20, 6, 911]]"
7,7,10,0.9386,0.9441,"[[968, 0, 1, 0, 0, 1, 4, 1, 5, 0], [0, 1119, 3, 2, 0, 0, 5, 0, 5, 1], [24, 2, 938, 11, 14, 0, 16, 14, 13, 0], [2, 4, 14, 938, 0, 15, 3, 9, 20, 5], [0, 2, 2, 0, 939, 0, 12, 1, 3, 23], [10, 1, 0, 25, 1, 822, 15, 2, 12, 4], [10, 2, 1, 1, 8, 8, 927, 0, 1, 0], [3, 8, 20, 3, 2, 0, 0, 965, 2, 25], [6, 4, 3, 12, 7, 8, 10, 13, 903, 8], [10, 6, 0, 7, 29, 13, 2, 15, 5, 922]]"
8,8,10,0.9443,0.9487,"[[968, 0, 1, 0, 0, 1, 4, 1, 5, 0], [0, 1118, 3, 2, 0, 0, 5, 0, 7, 0], [17, 0, 958, 9, 12, 0, 13, 12, 11, 0], [2, 1, 19, 943, 0, 15, 1, 8, 17, 4], [0, 2, 3, 0, 943, 0, 8, 1, 3, 22], [5, 1, 0, 24, 1, 834, 12, 2, 9, 4], [10, 2, 4, 0, 7, 8, 926, 0, 1, 0], [3, 7, 25, 4, 3, 0, 0, 961, 2, 23], [5, 3, 5, 14, 6, 5, 7, 10, 910, 9], [7, 6, 2, 9, 27, 14, 1, 12, 5, 926]]"
9,9,10,0.94765,0.951,"[[968, 0, 1, 0, 0, 1, 4, 1, 5, 0], [0, 1117, 3, 2, 0, 0, 5, 0, 8, 0], [21, 0, 958, 7, 12, 0, 10, 14, 10, 0], [2, 1, 18, 949, 0, 11, 1, 8, 17, 3], [0, 2, 3, 0, 943, 0, 8, 1, 2, 23], [6, 1, 0, 22, 1, 834, 12, 2, 9, 5], [12, 3, 2, 0, 9, 5, 925, 0, 2, 0], [3, 7, 20, 3, 3, 0, 0, 973, 2, 17], [6, 3, 5, 14, 6, 3, 5, 14, 913, 5], [9, 6, 2, 9, 20, 10, 1, 16, 6, 930]]"
10,10,10,0.95045,0.9534,"[[968, 0, 1, 0, 0, 1, 5, 1, 4, 0], [0, 1118, 4, 2, 0, 0, 4, 0, 7, 0], [19, 0, 966, 7, 8, 0, 9, 14, 9, 0], [2, 1, 18, 953, 0, 8, 1, 8, 16, 3], [0, 2, 3, 0, 944, 0, 8, 1, 3, 21], [6, 1, 0, 26, 1, 832, 11, 2, 10, 3], [12, 3, 1, 0, 9, 5, 926, 0, 2, 0], [3, 7, 20, 3, 2, 0, 0, 970, 2, 21], [6, 2, 6, 13, 6, 2, 6, 12, 915, 6], [8, 6, 2, 6, 20, 9, 1, 9, 6, 942]]"
