,Round,Daisy,Epoch,Test Accuracy,Confusion Matrix
0,0,10,10,0.1355,"[[2, 0, 0, 120, 0, 0, 92, 742, 0, 24], [0, 0, 0, 0, 0, 0, 1, 1134, 0, 0], [0, 0, 0, 0, 0, 0, 129, 903, 0, 0], [0, 0, 0, 2, 0, 0, 0, 1008, 0, 0], [0, 0, 0, 2, 0, 0, 5, 975, 0, 0], [0, 0, 0, 3, 0, 0, 2, 885, 0, 2], [0, 0, 0, 0, 0, 0, 329, 629, 0, 0], [0, 0, 0, 6, 0, 0, 0, 1022, 0, 0], [0, 0, 0, 0, 0, 0, 1, 973, 0, 0], [0, 0, 0, 0, 0, 0, 1, 1008, 0, 0]]"
1,1,10,10,0.658,"[[894, 0, 1, 7, 0, 20, 53, 1, 3, 1], [0, 1109, 0, 13, 0, 3, 6, 2, 1, 1], [8, 46, 125, 19, 25, 18, 745, 31, 15, 0], [15, 33, 4, 805, 0, 40, 24, 79, 4, 6], [1, 8, 1, 3, 653, 0, 79, 34, 3, 200], [83, 39, 0, 114, 8, 495, 69, 2, 47, 35], [13, 16, 1, 1, 1, 21, 903, 0, 2, 0], [7, 43, 13, 20, 4, 0, 8, 842, 2, 89], [21, 91, 0, 141, 12, 59, 177, 206, 250, 17], [8, 11, 0, 27, 211, 1, 31, 214, 2, 504]]"
2,2,10,10,0.7752,"[[932, 0, 0, 2, 0, 20, 10, 1, 15, 0], [0, 1119, 2, 4, 0, 0, 3, 0, 7, 0], [24, 62, 737, 8, 32, 8, 87, 17, 57, 0], [11, 75, 17, 775, 2, 56, 8, 20, 41, 5], [2, 15, 7, 0, 688, 1, 23, 4, 41, 201], [76, 41, 2, 48, 5, 545, 28, 1, 127, 19], [26, 29, 42, 0, 17, 24, 794, 0, 26, 0], [8, 83, 21, 4, 14, 0, 0, 779, 23, 96], [25, 98, 5, 26, 18, 40, 26, 25, 705, 6], [21, 39, 0, 8, 176, 3, 3, 51, 30, 678]]"
3,3,10,10,0.7788,"[[947, 0, 1, 1, 0, 20, 6, 1, 4, 0], [0, 1118, 2, 5, 0, 2, 4, 0, 4, 0], [45, 52, 693, 10, 33, 19, 129, 30, 21, 0], [12, 34, 13, 780, 0, 91, 8, 54, 12, 6], [3, 10, 2, 0, 656, 3, 45, 9, 4, 250], [59, 30, 2, 44, 4, 663, 26, 3, 40, 21], [38, 19, 21, 2, 18, 40, 818, 1, 1, 0], [5, 51, 17, 4, 11, 0, 1, 890, 4, 45], [31, 102, 5, 46, 15, 130, 51, 84, 484, 26], [23, 17, 0, 10, 79, 5, 4, 128, 4, 739]]"
4,4,10,10,0.8271,"[[938, 0, 2, 1, 0, 24, 8, 1, 6, 0], [0, 1113, 4, 5, 1, 1, 3, 0, 8, 0], [21, 35, 815, 14, 35, 4, 49, 21, 38, 0], [7, 26, 19, 837, 2, 54, 5, 22, 34, 4], [1, 9, 2, 0, 803, 1, 34, 3, 7, 122], [31, 22, 2, 64, 7, 656, 27, 3, 60, 20], [20, 17, 36, 2, 25, 33, 820, 1, 4, 0], [3, 52, 22, 4, 13, 1, 0, 858, 8, 67], [16, 69, 10, 37, 20, 57, 25, 30, 701, 9], [16, 18, 1, 8, 145, 5, 2, 68, 16, 730]]"
5,5,10,10,0.8364,"[[945, 0, 3, 1, 0, 17, 10, 1, 3, 0], [0, 1103, 8, 6, 1, 2, 3, 1, 11, 0], [22, 18, 835, 10, 30, 6, 63, 22, 26, 0], [7, 19, 20, 847, 1, 60, 7, 18, 26, 5], [1, 8, 2, 0, 804, 0, 52, 3, 5, 107], [31, 21, 2, 58, 6, 673, 38, 2, 44, 17], [19, 8, 29, 1, 17, 31, 852, 1, 0, 0], [4, 41, 27, 4, 11, 1, 1, 863, 6, 70], [18, 48, 13, 44, 19, 67, 44, 29, 678, 14], [17, 13, 1, 12, 119, 6, 5, 62, 10, 764]]"
6,6,10,10,0.8455,"[[945, 0, 3, 1, 0, 16, 8, 1, 5, 1], [0, 1109, 6, 5, 2, 1, 3, 1, 8, 0], [20, 20, 849, 10, 34, 3, 46, 23, 27, 0], [6, 21, 19, 852, 1, 52, 7, 18, 28, 6], [1, 7, 2, 0, 839, 0, 38, 2, 4, 89], [29, 21, 4, 64, 9, 666, 31, 3, 46, 19], [18, 11, 33, 1, 19, 31, 841, 1, 3, 0], [3, 38, 25, 2, 13, 0, 0, 879, 7, 61], [17, 53, 14, 38, 21, 52, 29, 32, 701, 17], [17, 13, 1, 10, 119, 4, 3, 60, 8, 774]]"
7,7,10,10,0.8525,"[[950, 0, 3, 1, 0, 14, 8, 1, 3, 0], [0, 1101, 9, 5, 1, 1, 3, 1, 14, 0], [23, 15, 858, 10, 28, 5, 48, 20, 25, 0], [6, 18, 21, 854, 1, 55, 6, 16, 27, 6], [1, 4, 2, 0, 824, 0, 51, 3, 4, 93], [25, 15, 3, 55, 6, 696, 36, 2, 37, 17], [18, 8, 32, 3, 15, 33, 848, 0, 1, 0], [3, 30, 27, 2, 9, 1, 0, 887, 8, 61], [16, 37, 13, 45, 16, 63, 31, 28, 708, 17], [17, 10, 1, 12, 94, 6, 3, 57, 10, 799]]"
8,8,10,10,0.8587,"[[948, 0, 4, 1, 0, 15, 8, 1, 2, 1], [0, 1106, 7, 4, 1, 1, 3, 1, 12, 0], [23, 14, 865, 10, 28, 5, 41, 21, 25, 0], [6, 18, 20, 856, 1, 53, 6, 16, 28, 6], [1, 5, 2, 0, 840, 0, 46, 2, 5, 81], [21, 14, 4, 56, 6, 703, 33, 2, 37, 16], [18, 9, 30, 3, 16, 33, 848, 0, 1, 0], [3, 29, 28, 3, 7, 1, 0, 900, 7, 50], [13, 35, 12, 45, 15, 60, 26, 28, 724, 16], [18, 10, 2, 12, 95, 6, 1, 59, 9, 797]]"
9,9,10,10,0.8646,"[[949, 0, 4, 1, 0, 14, 8, 1, 2, 1], [0, 1106, 7, 4, 1, 2, 3, 1, 11, 0], [23, 10, 874, 10, 27, 5, 38, 23, 22, 0], [6, 15, 21, 866, 1, 48, 6, 17, 25, 5], [1, 5, 2, 0, 845, 0, 44, 3, 4, 78], [21, 14, 5, 54, 7, 713, 29, 2, 30, 17], [19, 9, 29, 3, 15, 32, 850, 0, 1, 0], [3, 24, 28, 3, 6, 0, 0, 911, 7, 46], [13, 34, 13, 49, 15, 61, 24, 28, 720, 17], [19, 10, 2, 12, 77, 5, 1, 63, 8, 812]]"
