,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0.1,0.1,0.1,"[[0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0]]"
1,1,10,0.1,0.1,0.1,"[[0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0]]"
2,2,10,0.1,0.1,0.1,"[[0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0]]"
3,3,10,0.1,0.1,0.1,"[[0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0]]"
4,4,10,0.1,0.1,0.1,"[[0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0]]"
5,5,10,0.1,0.1,0.1,"[[0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0]]"
6,6,10,0.1,0.1,0.1,"[[0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0]]"
7,7,10,0.10056,0.1009,0.1009,"[[1, 0, 0, 0, 0, 997, 0, 0, 2, 0], [0, 1, 0, 0, 0, 999, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 999, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [1, 0, 0, 0, 0, 992, 0, 0, 7, 0], [0, 0, 0, 0, 0, 999, 0, 0, 1, 0]]"
8,8,10,0.14308,0.1457,0.1457,"[[705, 0, 0, 0, 0, 289, 0, 0, 0, 6], [454, 3, 0, 0, 0, 531, 0, 0, 4, 8], [255, 1, 0, 0, 0, 740, 0, 0, 1, 3], [216, 1, 0, 0, 0, 778, 0, 0, 2, 3], [122, 0, 0, 0, 0, 874, 0, 0, 0, 4], [272, 2, 0, 0, 0, 722, 0, 0, 1, 3], [86, 0, 0, 0, 0, 914, 0, 0, 0, 0], [252, 3, 0, 0, 0, 735, 0, 0, 2, 8], [657, 0, 0, 0, 0, 330, 0, 0, 2, 11], [470, 0, 0, 0, 0, 502, 0, 0, 3, 25]]"
9,9,10,0.1102,0.1095,0.1095,"[[986, 0, 0, 0, 0, 11, 0, 0, 0, 3], [925, 0, 0, 0, 0, 64, 0, 0, 0, 11], [898, 0, 0, 0, 0, 93, 0, 0, 1, 8], [848, 1, 0, 0, 0, 140, 0, 0, 0, 11], [847, 1, 0, 0, 0, 147, 0, 0, 0, 5], [900, 0, 0, 0, 0, 92, 0, 0, 0, 8], [821, 1, 0, 0, 0, 178, 0, 0, 0, 0], [906, 1, 0, 0, 0, 77, 0, 0, 0, 16], [987, 0, 0, 0, 0, 9, 0, 0, 0, 4], [958, 0, 0, 0, 0, 25, 0, 0, 0, 17]]"
