,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0.29866,0.3338,0.3338,"[[355, 28, 124, 0, 56, 46, 10, 45, 258, 78], [47, 330, 9, 1, 42, 82, 15, 30, 134, 310], [55, 22, 155, 0, 443, 151, 49, 68, 29, 28], [44, 30, 83, 3, 281, 290, 89, 119, 15, 46], [34, 6, 73, 0, 623, 73, 58, 84, 27, 22], [21, 15, 93, 1, 309, 365, 58, 94, 21, 23], [6, 12, 41, 0, 503, 144, 185, 74, 15, 20], [29, 17, 70, 1, 245, 134, 30, 381, 12, 81], [149, 56, 64, 0, 56, 40, 2, 30, 448, 155], [40, 94, 14, 0, 60, 30, 15, 91, 163, 493]]"
1,1,10,0.29596,0.3337,0.3337,"[[344, 26, 111, 1, 63, 40, 12, 49, 274, 80], [48, 305, 9, 3, 39, 80, 21, 26, 149, 320], [56, 20, 136, 3, 455, 140, 62, 68, 31, 29], [44, 31, 74, 11, 288, 257, 119, 115, 13, 48], [33, 6, 56, 1, 643, 57, 70, 78, 28, 28], [19, 16, 73, 9, 327, 339, 76, 91, 22, 28], [5, 11, 30, 3, 508, 107, 228, 73, 15, 20], [27, 12, 63, 6, 260, 126, 35, 369, 12, 90], [135, 53, 60, 1, 62, 37, 2, 27, 466, 157], [34, 86, 13, 1, 62, 26, 19, 89, 174, 496]]"
2,2,10,0.30282,0.3357,0.3357,"[[359, 23, 121, 0, 64, 37, 13, 47, 245, 91], [49, 286, 11, 2, 36, 79, 24, 27, 134, 352], [49, 19, 158, 2, 436, 141, 62, 72, 30, 31], [35, 29, 84, 6, 262, 267, 127, 124, 12, 54], [32, 5, 66, 0, 612, 63, 76, 92, 24, 30], [16, 16, 86, 6, 291, 356, 79, 97, 21, 32], [4, 8, 32, 2, 481, 114, 241, 84, 11, 23], [26, 10, 64, 3, 233, 133, 36, 393, 12, 90], [145, 46, 71, 0, 56, 38, 3, 32, 429, 180], [38, 83, 14, 1, 60, 27, 19, 89, 152, 517]]"
3,3,10,0.30016,0.3344,0.3344,"[[332, 23, 130, 0, 73, 38, 15, 46, 261, 82], [41, 277, 13, 2, 38, 72, 27, 27, 167, 336], [43, 16, 171, 1, 443, 141, 57, 69, 29, 30], [34, 30, 90, 7, 277, 255, 124, 120, 12, 51], [27, 4, 74, 0, 629, 59, 67, 85, 25, 30], [14, 16, 85, 5, 308, 349, 75, 100, 21, 27], [4, 11, 34, 1, 501, 91, 242, 80, 14, 22], [25, 9, 72, 3, 240, 130, 39, 383, 12, 87], [135, 43, 73, 0, 62, 38, 3, 34, 446, 166], [33, 76, 15, 2, 63, 26, 17, 89, 171, 508]]"
4,4,10,0.3088,0.3424,0.3424,"[[394, 25, 102, 0, 62, 47, 11, 49, 227, 83], [44, 323, 9, 3, 34, 76, 21, 31, 133, 326], [55, 18, 172, 0, 416, 161, 53, 71, 30, 24], [34, 29, 98, 3, 254, 292, 105, 122, 16, 47], [31, 6, 88, 0, 612, 70, 60, 82, 25, 26], [16, 15, 91, 5, 285, 380, 62, 98, 21, 27], [5, 12, 43, 1, 490, 114, 219, 78, 13, 25], [29, 12, 74, 3, 233, 141, 30, 387, 12, 79], [172, 50, 64, 0, 57, 40, 2, 33, 421, 161], [37, 86, 15, 1, 58, 29, 14, 91, 156, 513]]"
5,5,10,0.31248,0.3475,0.3475,"[[384, 30, 84, 0, 73, 39, 13, 54, 246, 77], [40, 362, 10, 3, 34, 72, 22, 32, 122, 303], [62, 17, 144, 2, 446, 151, 47, 81, 28, 22], [37, 33, 78, 4, 274, 273, 103, 143, 12, 43], [33, 5, 63, 0, 639, 59, 61, 90, 25, 25], [16, 18, 74, 5, 302, 369, 53, 119, 19, 25], [6, 15, 28, 0, 508, 104, 216, 90, 12, 21], [25, 14, 67, 1, 232, 132, 27, 423, 11, 68], [155, 60, 52, 0, 64, 39, 2, 34, 437, 157], [37, 96, 13, 3, 58, 25, 13, 98, 160, 497]]"
6,6,10,0.31508,0.3512,0.3512,"[[364, 25, 89, 0, 60, 42, 12, 51, 277, 80], [39, 348, 6, 4, 35, 71, 27, 27, 142, 301], [55, 18, 173, 2, 406, 156, 61, 75, 28, 26], [33, 32, 99, 3, 230, 290, 119, 134, 14, 46], [33, 5, 80, 0, 612, 68, 69, 90, 27, 16], [15, 17, 90, 4, 270, 383, 64, 114, 22, 21], [6, 13, 40, 0, 473, 99, 251, 88, 13, 17], [27, 12, 69, 2, 223, 139, 36, 405, 12, 75], [136, 56, 54, 0, 55, 39, 5, 29, 472, 154], [35, 96, 15, 2, 48, 24, 19, 95, 165, 501]]"
7,7,10,0.31704,0.3539,0.3539,"[[397, 24, 95, 0, 57, 34, 15, 51, 244, 83], [50, 337, 13, 4, 34, 59, 36, 28, 132, 307], [55, 16, 188, 3, 401, 140, 72, 76, 27, 22], [36, 28, 105, 8, 232, 253, 153, 126, 11, 48], [32, 5, 86, 1, 609, 54, 78, 89, 26, 20], [16, 14, 94, 6, 270, 354, 89, 111, 21, 25], [6, 11, 41, 1, 455, 77, 287, 91, 13, 18], [27, 11, 83, 3, 208, 113, 52, 421, 9, 73], [167, 52, 55, 1, 54, 33, 6, 33, 437, 162], [40, 92, 17, 3, 51, 27, 21, 92, 156, 501]]"
8,8,10,0.3136,0.349,0.349,"[[355, 26, 119, 0, 56, 36, 12, 46, 260, 90], [42, 322, 12, 3, 29, 65, 25, 23, 137, 342], [52, 15, 238, 3, 369, 149, 47, 66, 29, 32], [33, 30, 133, 11, 220, 283, 99, 122, 16, 53], [32, 4, 114, 2, 591, 65, 57, 78, 28, 29], [12, 16, 137, 9, 237, 383, 50, 103, 23, 30], [4, 13, 63, 1, 476, 108, 214, 78, 16, 27], [24, 14, 111, 3, 198, 131, 29, 386, 10, 94], [134, 51, 65, 0, 51, 33, 4, 30, 457, 175], [28, 84, 20, 4, 44, 29, 16, 73, 169, 533]]"
9,9,10,0.32338,0.3601,0.3601,"[[370, 28, 91, 0, 48, 46, 11, 48, 298, 60], [37, 366, 11, 4, 28, 70, 25, 24, 161, 274], [57, 17, 199, 3, 369, 174, 57, 69, 31, 24], [37, 25, 106, 15, 210, 297, 130, 113, 21, 46], [35, 4, 84, 4, 603, 74, 67, 82, 27, 20], [16, 15, 100, 14, 222, 414, 70, 102, 21, 26], [5, 11, 38, 5, 460, 98, 259, 83, 19, 22], [27, 17, 76, 5, 200, 147, 39, 394, 18, 77], [132, 57, 54, 2, 51, 42, 4, 27, 516, 115], [32, 92, 21, 3, 39, 31, 14, 92, 211, 465]]"
