,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,20,0.13908,0.1438,0.1438,"[[0, 698, 302, 0, 0, 0, 0, 0, 0, 0], [0, 620, 380, 0, 0, 0, 0, 0, 0, 0], [0, 182, 818, 0, 0, 0, 0, 0, 0, 0], [0, 93, 906, 0, 1, 0, 0, 0, 0, 0], [0, 94, 906, 0, 0, 0, 0, 0, 0, 0], [0, 92, 907, 0, 1, 0, 0, 0, 0, 0], [0, 28, 971, 0, 1, 0, 0, 0, 0, 0], [0, 211, 789, 0, 0, 0, 0, 0, 0, 0], [0, 733, 266, 0, 1, 0, 0, 0, 0, 0], [0, 644, 356, 0, 0, 0, 0, 0, 0, 0]]"
1,1,20,0.23284,0.254,0.254,"[[468, 377, 67, 0, 40, 0, 14, 34, 0, 0], [37, 806, 56, 1, 21, 0, 60, 17, 0, 2], [139, 110, 235, 4, 443, 0, 31, 38, 0, 0], [75, 119, 298, 7, 394, 0, 39, 68, 0, 0], [57, 66, 136, 3, 652, 0, 44, 42, 0, 0], [56, 110, 347, 8, 427, 0, 24, 28, 0, 0], [14, 56, 131, 1, 636, 0, 136, 26, 0, 0], [54, 174, 186, 1, 334, 0, 19, 232, 0, 0], [245, 644, 67, 1, 19, 0, 3, 20, 1, 0], [50, 709, 73, 1, 37, 0, 46, 81, 0, 3]]"
2,2,20,0.3083,0.3421,0.3421,"[[624, 223, 73, 18, 5, 3, 14, 26, 8, 6], [97, 839, 7, 19, 7, 3, 17, 9, 1, 1], [115, 81, 515, 76, 88, 28, 55, 38, 2, 2], [55, 112, 259, 303, 70, 63, 71, 65, 0, 2], [68, 61, 415, 49, 250, 6, 95, 55, 0, 1], [42, 59, 335, 242, 71, 155, 54, 37, 4, 1], [15, 69, 253, 138, 149, 4, 348, 20, 2, 2], [59, 104, 221, 104, 108, 49, 23, 328, 1, 3], [426, 465, 29, 26, 1, 4, 9, 12, 22, 6], [114, 696, 18, 37, 7, 4, 26, 52, 9, 37]]"
3,3,20,0.36314,0.4064,0.4064,"[[671, 153, 65, 31, 10, 7, 15, 18, 25, 5], [79, 850, 5, 19, 5, 7, 10, 13, 8, 4], [104, 55, 525, 85, 59, 54, 60, 50, 6, 2], [43, 78, 177, 430, 28, 108, 79, 49, 3, 5], [72, 53, 371, 78, 235, 25, 93, 63, 6, 4], [30, 44, 218, 279, 27, 302, 45, 45, 8, 2], [9, 49, 209, 173, 106, 15, 408, 18, 8, 5], [46, 83, 128, 116, 78, 90, 19, 429, 2, 9], [471, 302, 25, 24, 6, 8, 7, 10, 141, 6], [98, 649, 12, 45, 4, 5, 26, 43, 45, 73]]"
4,4,20,0.394,0.4394,0.4394,"[[669, 105, 97, 30, 17, 12, 18, 12, 34, 6], [67, 833, 15, 17, 4, 12, 13, 13, 19, 7], [77, 36, 545, 86, 74, 61, 67, 39, 11, 4], [31, 55, 157, 407, 28, 166, 105, 39, 3, 9], [61, 36, 311, 73, 306, 36, 104, 61, 8, 4], [24, 32, 190, 238, 35, 375, 51, 45, 8, 2], [7, 36, 159, 145, 111, 26, 487, 17, 7, 5], [36, 54, 101, 103, 92, 117, 19, 464, 5, 9], [479, 206, 29, 28, 7, 13, 12, 10, 203, 13], [104, 566, 13, 52, 5, 9, 29, 53, 64, 105]]"
5,5,20,0.41336,0.4584,0.4584,"[[646, 127, 97, 25, 24, 4, 20, 9, 40, 8], [45, 879, 17, 10, 3, 5, 10, 7, 14, 10], [64, 48, 514, 85, 115, 49, 66, 37, 16, 6], [23, 67, 147, 412, 37, 129, 126, 40, 6, 13], [53, 51, 234, 73, 393, 22, 97, 64, 8, 5], [14, 46, 176, 249, 51, 341, 57, 49, 14, 3], [4, 41, 127, 136, 134, 11, 519, 13, 8, 7], [28, 76, 95, 101, 98, 77, 19, 483, 7, 16], [415, 225, 28, 21, 13, 9, 15, 6, 253, 15], [82, 606, 14, 30, 6, 3, 26, 36, 53, 144]]"
6,6,20,0.4335,0.4808,0.4808,"[[639, 106, 103, 23, 19, 6, 23, 11, 61, 9], [34, 863, 17, 8, 4, 6, 14, 9, 28, 17], [62, 40, 525, 76, 108, 56, 67, 39, 20, 7], [26, 50, 137, 379, 43, 166, 136, 42, 8, 13], [46, 38, 226, 70, 414, 31, 94, 65, 11, 5], [14, 30, 171, 213, 47, 393, 62, 55, 12, 3], [4, 34, 126, 110, 124, 19, 556, 11, 11, 5], [26, 54, 83, 82, 102, 96, 22, 511, 8, 16], [344, 199, 27, 25, 18, 12, 15, 6, 339, 15], [68, 537, 17, 30, 6, 7, 31, 42, 73, 189]]"
7,7,20,0.4501,0.4857,0.4857,"[[682, 99, 70, 24, 20, 5, 29, 7, 53, 11], [44, 848, 14, 12, 6, 5, 15, 10, 21, 25], [81, 35, 485, 85, 133, 52, 64, 38, 15, 12], [31, 40, 122, 417, 58, 141, 130, 40, 7, 14], [54, 31, 181, 80, 455, 30, 85, 65, 14, 5], [16, 28, 152, 259, 66, 353, 54, 54, 13, 5], [8, 31, 107, 114, 147, 14, 552, 10, 10, 7], [33, 40, 75, 95, 123, 77, 23, 507, 7, 20], [356, 193, 20, 29, 20, 11, 15, 5, 334, 17], [73, 512, 13, 31, 12, 5, 29, 37, 64, 224]]"
8,8,20,0.46096,0.5014,0.5014,"[[668, 101, 74, 27, 19, 8, 33, 9, 48, 13], [37, 844, 19, 13, 7, 7, 15, 10, 21, 27], [68, 30, 498, 86, 120, 52, 76, 42, 19, 9], [26, 35, 122, 406, 47, 163, 134, 44, 9, 14], [46, 31, 185, 72, 455, 34, 91, 70, 11, 5], [13, 26, 136, 237, 58, 394, 63, 55, 14, 4], [7, 25, 109, 93, 130, 15, 592, 11, 12, 6], [23, 27, 77, 89, 98, 93, 24, 544, 6, 19], [307, 189, 24, 29, 20, 17, 17, 6, 372, 19], [61, 519, 15, 29, 9, 8, 27, 37, 54, 241]]"
9,9,20,0.47186,0.5085,0.5085,"[[687, 78, 78, 24, 15, 4, 30, 9, 63, 12], [47, 830, 19, 14, 5, 6, 15, 9, 20, 35], [67, 30, 523, 84, 117, 46, 71, 30, 20, 12], [27, 36, 144, 427, 39, 140, 126, 35, 11, 15], [48, 19, 191, 79, 449, 33, 96, 58, 20, 7], [13, 24, 149, 267, 53, 364, 61, 49, 17, 3], [8, 28, 115, 85, 111, 13, 612, 11, 13, 4], [26, 32, 84, 99, 111, 91, 28, 502, 7, 20], [315, 157, 26, 24, 15, 17, 15, 6, 406, 19], [68, 471, 21, 26, 9, 7, 28, 29, 56, 285]]"
