,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,20,0.1,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1000, 0, 0, 0]]"
1,1,20,0.17264,0.1817,0.1817,"[[0, 0, 14, 85, 92, 0, 590, 2, 217, 0], [0, 0, 3, 283, 37, 0, 498, 3, 176, 0], [0, 0, 71, 145, 359, 0, 419, 2, 4, 0], [0, 0, 29, 197, 171, 0, 598, 1, 4, 0], [0, 0, 14, 39, 518, 0, 420, 4, 5, 0], [0, 0, 29, 274, 239, 0, 457, 1, 0, 0], [0, 0, 4, 30, 261, 0, 702, 3, 0, 0], [0, 0, 14, 131, 454, 0, 388, 11, 2, 0], [0, 0, 3, 76, 35, 0, 568, 0, 318, 0], [0, 0, 5, 195, 47, 0, 633, 0, 120, 0]]"
2,2,20,0.32418,0.3491,0.3491,"[[111, 12, 156, 126, 143, 0, 82, 15, 345, 10], [4, 325, 8, 199, 20, 1, 122, 12, 237, 72], [11, 2, 307, 201, 284, 5, 138, 29, 22, 1], [1, 5, 68, 582, 110, 8, 184, 26, 13, 3], [7, 2, 69, 172, 533, 1, 147, 47, 18, 4], [0, 4, 85, 583, 136, 31, 105, 54, 2, 0], [0, 0, 24, 221, 229, 1, 506, 13, 5, 1], [3, 2, 45, 312, 195, 4, 59, 371, 6, 3], [31, 33, 35, 98, 81, 0, 98, 5, 614, 5], [4, 118, 18, 316, 65, 2, 134, 34, 198, 111]]"
3,3,20,0.38914,0.4192,0.4192,"[[141, 14, 176, 122, 95, 0, 53, 15, 365, 19], [4, 353, 11, 137, 9, 1, 98, 9, 205, 173], [15, 1, 482, 193, 112, 4, 131, 35, 23, 4], [1, 4, 95, 625, 52, 9, 159, 33, 20, 2], [7, 1, 136, 189, 404, 1, 161, 75, 17, 9], [0, 2, 132, 597, 75, 41, 82, 56, 8, 7], [0, 1, 60, 184, 104, 0, 624, 15, 6, 6], [2, 4, 50, 261, 119, 6, 53, 487, 6, 12], [25, 22, 51, 86, 38, 1, 57, 4, 705, 11], [3, 77, 27, 206, 40, 0, 92, 40, 185, 330]]"
4,4,20,0.45698,0.4866,0.4866,"[[221, 16, 134, 56, 116, 4, 60, 42, 312, 39], [13, 515, 13, 71, 10, 6, 56, 20, 117, 179], [22, 6, 477, 110, 162, 25, 134, 43, 13, 8], [3, 6, 83, 504, 86, 60, 163, 71, 17, 7], [7, 3, 99, 103, 511, 8, 133, 117, 12, 7], [0, 5, 110, 401, 111, 171, 88, 98, 6, 10], [0, 3, 48, 109, 116, 3, 685, 21, 9, 6], [3, 3, 40, 133, 113, 32, 42, 616, 3, 15], [39, 35, 30, 55, 58, 2, 47, 11, 687, 36], [8, 119, 25, 92, 35, 7, 49, 68, 118, 479]]"
5,5,20,0.4752,0.5048,0.5048,"[[346, 30, 106, 58, 51, 1, 51, 27, 313, 17], [14, 628, 12, 60, 7, 1, 50, 12, 154, 62], [34, 10, 505, 148, 89, 8, 149, 27, 27, 3], [7, 10, 76, 592, 42, 12, 184, 43, 22, 12], [14, 7, 148, 139, 408, 1, 163, 99, 16, 5], [3, 11, 103, 550, 63, 83, 106, 65, 13, 3], [1, 4, 46, 110, 54, 2, 763, 9, 8, 3], [4, 6, 37, 176, 81, 15, 51, 613, 7, 10], [28, 30, 26, 58, 21, 1, 34, 8, 783, 11], [12, 239, 20, 111, 19, 2, 46, 50, 174, 327]]"
6,6,20,0.51994,0.5459,0.5459,"[[431, 54, 52, 43, 62, 3, 56, 38, 215, 46], [14, 746, 2, 29, 5, 2, 34, 13, 61, 94], [40, 18, 410, 126, 115, 26, 180, 50, 22, 13], [8, 29, 60, 521, 59, 61, 177, 58, 13, 14], [14, 11, 81, 101, 482, 8, 161, 122, 10, 10], [4, 14, 63, 427, 69, 187, 113, 104, 9, 10], [3, 10, 29, 91, 46, 6, 793, 12, 4, 6], [2, 9, 21, 108, 77, 30, 50, 677, 5, 21], [56, 79, 13, 45, 22, 2, 31, 7, 707, 38], [12, 241, 4, 48, 17, 5, 36, 47, 85, 505]]"
7,7,20,0.51484,0.5423,0.5423,"[[333, 25, 90, 49, 57, 0, 29, 30, 355, 32], [15, 708, 9, 34, 8, 1, 16, 10, 127, 72], [32, 12, 541, 121, 104, 9, 96, 42, 38, 5], [11, 15, 87, 607, 71, 19, 96, 56, 23, 15], [13, 11, 132, 110, 485, 3, 79, 138, 21, 8], [4, 12, 107, 493, 77, 120, 54, 107, 16, 10], [4, 7, 60, 140, 61, 4, 688, 15, 12, 9], [4, 9, 40, 130, 71, 16, 22, 685, 9, 14], [21, 42, 21, 43, 19, 1, 11, 8, 812, 22], [9, 249, 16, 56, 18, 0, 23, 42, 143, 444]]"
8,8,20,0.55044,0.5776,0.5776,"[[575, 48, 56, 26, 32, 6, 38, 27, 166, 26], [25, 812, 2, 19, 10, 4, 24, 7, 48, 49], [59, 15, 510, 84, 85, 34, 145, 36, 24, 8], [16, 21, 81, 501, 67, 86, 155, 44, 16, 13], [25, 12, 115, 83, 497, 18, 123, 110, 12, 5], [9, 16, 84, 348, 72, 294, 89, 73, 6, 9], [9, 13, 47, 82, 41, 13, 776, 11, 5, 3], [10, 9, 32, 88, 86, 58, 31, 669, 6, 11], [99, 70, 18, 33, 15, 4, 19, 9, 703, 30], [31, 325, 6, 34, 21, 5, 33, 27, 79, 439]]"
9,9,20,0.55962,0.5814,0.5814,"[[508, 53, 55, 41, 38, 3, 40, 25, 208, 29], [14, 833, 4, 19, 4, 2, 25, 7, 48, 44], [50, 13, 508, 85, 103, 25, 150, 34, 25, 7], [11, 26, 80, 509, 76, 80, 144, 45, 14, 15], [16, 12, 107, 85, 509, 12, 136, 104, 9, 10], [6, 16, 88, 360, 76, 274, 92, 69, 8, 11], [3, 13, 43, 84, 43, 8, 785, 9, 8, 4], [7, 10, 39, 91, 95, 41, 30, 670, 6, 11], [52, 68, 18, 30, 14, 3, 19, 8, 760, 28], [18, 325, 5, 33, 23, 5, 26, 24, 83, 458]]"
10,10,20,0.56628,0.5939,0.5939,"[[526, 41, 63, 47, 47, 2, 25, 17, 193, 39], [13, 816, 5, 19, 10, 1, 21, 8, 44, 63], [50, 11, 519, 104, 118, 14, 123, 31, 24, 6], [9, 22, 77, 596, 70, 43, 112, 36, 15, 20], [13, 12, 96, 107, 544, 7, 102, 100, 10, 9], [5, 11, 80, 450, 72, 227, 65, 69, 7, 14], [3, 11, 50, 111, 43, 4, 752, 11, 5, 10], [7, 7, 44, 114, 99, 29, 17, 663, 6, 14], [49, 63, 17, 34, 18, 1, 13, 8, 761, 36], [20, 255, 8, 37, 17, 4, 28, 24, 72, 535]]"
11,11,20,0.5712,0.5942,0.5942,"[[569, 43, 73, 32, 36, 3, 24, 18, 174, 28], [12, 834, 5, 17, 7, 0, 15, 7, 57, 46], [56, 12, 555, 88, 90, 15, 109, 36, 34, 5], [16, 24, 85, 571, 62, 52, 101, 42, 31, 16], [27, 16, 114, 94, 517, 10, 87, 116, 12, 7], [8, 12, 98, 399, 59, 252, 63, 83, 9, 17], [5, 14, 57, 103, 52, 6, 731, 14, 11, 7], [8, 8, 48, 95, 84, 35, 14, 686, 8, 14], [64, 56, 17, 26, 12, 3, 13, 9, 771, 29], [32, 313, 6, 31, 11, 5, 24, 24, 98, 456]]"
12,12,20,0.58282,0.6074,0.6074,"[[583, 45, 69, 43, 46, 4, 19, 20, 139, 32], [12, 830, 5, 21, 10, 2, 18, 6, 41, 55], [51, 10, 539, 90, 119, 17, 113, 32, 25, 4], [11, 25, 77, 570, 72, 70, 106, 38, 14, 17], [18, 9, 92, 93, 590, 10, 78, 95, 10, 5], [5, 11, 85, 382, 78, 291, 64, 66, 5, 13], [7, 12, 56, 93, 60, 8, 745, 10, 6, 3], [8, 5, 39, 100, 95, 36, 16, 683, 7, 11], [73, 66, 19, 33, 19, 2, 15, 9, 731, 33], [38, 260, 4, 37, 17, 5, 29, 30, 68, 512]]"
13,13,20,0.5863,0.608,0.608,"[[578, 50, 53, 37, 35, 3, 26, 25, 163, 30], [13, 853, 3, 15, 4, 0, 14, 7, 38, 53], [49, 11, 548, 92, 102, 16, 103, 40, 33, 6], [11, 27, 69, 583, 61, 62, 101, 43, 24, 19], [19, 14, 105, 106, 530, 4, 89, 116, 11, 6], [6, 11, 87, 402, 56, 278, 63, 74, 9, 14], [4, 13, 48, 99, 46, 8, 754, 12, 6, 10], [8, 7, 38, 103, 71, 38, 14, 705, 9, 7], [61, 70, 17, 27, 16, 3, 13, 8, 755, 30], [31, 288, 4, 30, 12, 5, 25, 30, 79, 496]]"
14,14,20,0.5899,0.6103,0.6103,"[[587, 47, 88, 37, 40, 3, 22, 18, 132, 26], [10, 847, 6, 20, 6, 3, 14, 6, 51, 37], [41, 9, 605, 78, 99, 17, 83, 34, 27, 7], [10, 22, 91, 546, 64, 94, 105, 36, 18, 14], [18, 10, 129, 93, 541, 14, 79, 98, 12, 6], [8, 10, 114, 334, 60, 347, 48, 62, 8, 9], [5, 12, 72, 104, 43, 12, 730, 9, 8, 5], [8, 6, 49, 91, 80, 52, 13, 686, 9, 6], [78, 65, 26, 32, 14, 3, 10, 9, 734, 29], [41, 289, 12, 40, 12, 8, 19, 32, 67, 480]]"
15,15,20,0.5507,0.5822,0.5822,"[[416, 41, 134, 48, 79, 6, 57, 27, 154, 38], [9, 778, 6, 30, 12, 1, 51, 14, 44, 55], [26, 7, 536, 101, 125, 13, 135, 31, 21, 5], [7, 10, 77, 522, 107, 60, 156, 49, 5, 7], [6, 6, 87, 85, 611, 7, 102, 87, 6, 3], [3, 5, 90, 361, 101, 268, 92, 68, 3, 9], [2, 7, 43, 63, 50, 10, 811, 10, 1, 3], [2, 4, 52, 103, 110, 26, 30, 666, 3, 4], [42, 53, 39, 43, 39, 2, 37, 11, 701, 33], [34, 199, 19, 65, 25, 11, 46, 39, 49, 513]]"
16,16,20,0.59564,0.6164,0.6164,"[[587, 48, 74, 41, 35, 2, 16, 24, 149, 24], [8, 833, 3, 14, 7, 4, 15, 10, 62, 44], [41, 10, 567, 91, 112, 10, 80, 47, 33, 9], [15, 16, 67, 564, 80, 83, 84, 50, 25, 16], [14, 9, 106, 91, 591, 10, 59, 106, 8, 6], [5, 11, 92, 380, 60, 300, 46, 78, 13, 15], [5, 17, 60, 102, 58, 10, 724, 14, 7, 3], [8, 6, 30, 96, 76, 31, 7, 728, 9, 9], [65, 57, 18, 31, 19, 3, 10, 9, 767, 21], [40, 271, 11, 31, 12, 7, 16, 29, 80, 503]]"
