,Round,Epoch,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,50,0.23666,0.2478,"[[106, 83, 17, 51, 2, 8, 17, 8, 600, 108], [11, 249, 8, 63, 4, 40, 63, 23, 355, 184], [56, 121, 55, 167, 31, 62, 204, 29, 166, 109], [34, 98, 37, 285, 15, 99, 163, 39, 81, 149], [10, 72, 39, 187, 45, 35, 364, 36, 102, 110], [16, 170, 35, 249, 10, 129, 149, 35, 115, 92], [13, 73, 27, 166, 14, 48, 474, 46, 38, 101], [14, 113, 23, 172, 14, 38, 119, 60, 122, 325], [22, 101, 1, 56, 1, 26, 5, 3, 630, 155], [8, 74, 5, 57, 2, 9, 43, 25, 332, 445]]"
1,1,50,0.31066,0.3306,"[[310, 55, 14, 24, 21, 14, 38, 35, 379, 110], [26, 365, 9, 15, 7, 35, 106, 22, 207, 208], [105, 54, 56, 75, 155, 110, 280, 47, 48, 70], [34, 36, 30, 146, 47, 192, 291, 96, 27, 101], [38, 17, 19, 59, 174, 69, 455, 54, 56, 59], [24, 45, 25, 88, 61, 329, 253, 83, 47, 45], [8, 19, 10, 44, 55, 71, 650, 82, 11, 50], [24, 61, 19, 65, 88, 103, 173, 199, 41, 227], [58, 85, 4, 25, 9, 35, 17, 13, 589, 165], [19, 109, 7, 31, 2, 16, 84, 22, 222, 488]]"
2,2,50,0.37676,0.4098,"[[461, 63, 40, 28, 28, 15, 25, 55, 217, 68], [32, 499, 8, 18, 11, 27, 65, 19, 111, 210], [79, 42, 194, 117, 143, 111, 155, 98, 31, 30], [28, 38, 70, 210, 54, 190, 196, 106, 22, 86], [51, 26, 86, 74, 281, 44, 252, 122, 36, 28], [20, 31, 71, 133, 57, 357, 155, 108, 34, 34], [6, 16, 44, 77, 111, 46, 584, 54, 14, 48], [23, 45, 32, 63, 65, 95, 84, 469, 31, 93], [136, 111, 12, 25, 12, 23, 15, 25, 526, 115], [22, 164, 11, 37, 6, 19, 51, 46, 127, 517]]"
3,3,50,0.40628,0.4421,"[[474, 76, 55, 17, 33, 8, 48, 45, 183, 61], [19, 609, 12, 16, 13, 17, 28, 19, 88, 179], [68, 41, 276, 96, 129, 101, 147, 83, 31, 28], [16, 45, 77, 220, 58, 161, 224, 82, 28, 89], [38, 38, 104, 45, 316, 45, 235, 111, 40, 28], [20, 28, 76, 148, 53, 341, 171, 95, 30, 38], [4, 18, 50, 47, 101, 40, 649, 34, 22, 35], [37, 37, 43, 62, 74, 76, 88, 480, 27, 76], [116, 133, 21, 15, 20, 12, 17, 21, 563, 82], [12, 223, 17, 35, 6, 21, 38, 36, 119, 493]]"
4,4,50,0.41808,0.4564,"[[486, 74, 69, 13, 37, 4, 47, 35, 171, 64], [23, 621, 15, 14, 15, 17, 28, 22, 84, 161], [66, 32, 325, 61, 142, 83, 152, 82, 31, 26], [20, 46, 88, 220, 71, 138, 250, 68, 29, 70], [34, 34, 121, 34, 364, 33, 223, 92, 34, 31], [16, 28, 86, 146, 62, 327, 189, 86, 27, 33], [4, 22, 65, 35, 122, 31, 655, 21, 20, 25], [39, 29, 55, 53, 91, 67, 83, 503, 25, 55], [102, 130, 26, 16, 21, 13, 23, 19, 574, 76], [16, 222, 19, 37, 10, 15, 37, 40, 115, 489]]"
5,5,50,0.42496,0.4642,"[[477, 63, 64, 10, 40, 6, 47, 40, 188, 65], [27, 630, 12, 17, 18, 21, 26, 25, 78, 146], [66, 28, 332, 55, 146, 84, 156, 82, 32, 19], [23, 37, 87, 212, 78, 164, 253, 61, 23, 62], [34, 26, 118, 28, 381, 40, 213, 100, 32, 28], [14, 21, 89, 127, 70, 357, 187, 86, 24, 25], [3, 21, 62, 33, 117, 33, 671, 21, 16, 23], [34, 25, 48, 56, 99, 76, 79, 506, 25, 52], [83, 121, 23, 17, 21, 17, 24, 21, 604, 69], [18, 229, 17, 28, 12, 17, 45, 49, 113, 472]]"
6,6,50,0.4271,0.4659,"[[478, 64, 72, 22, 40, 5, 43, 40, 180, 56], [27, 634, 18, 24, 13, 16, 28, 21, 79, 140], [59, 30, 349, 69, 143, 70, 152, 83, 29, 16], [26, 38, 94, 268, 70, 141, 235, 54, 18, 56], [27, 23, 136, 40, 383, 33, 207, 97, 30, 24], [13, 20, 97, 182, 62, 321, 182, 84, 22, 17], [3, 18, 74, 48, 117, 27, 657, 19, 15, 22], [32, 23, 58, 71, 94, 65, 79, 507, 27, 44], [83, 118, 27, 22, 24, 8, 23, 19, 615, 61], [21, 234, 20, 33, 15, 15, 43, 51, 121, 447]]"
7,7,50,0.43628,0.4689,"[[503, 74, 50, 19, 37, 3, 40, 29, 176, 69], [24, 656, 14, 18, 10, 14, 18, 18, 73, 155], [67, 33, 339, 67, 127, 72, 158, 85, 31, 21], [31, 39, 80, 266, 65, 147, 218, 61, 26, 67], [35, 31, 122, 40, 340, 42, 231, 98, 32, 29], [11, 26, 89, 180, 58, 315, 169, 89, 25, 38], [4, 25, 64, 48, 103, 30, 662, 19, 18, 27], [35, 33, 55, 65, 84, 65, 75, 503, 27, 58], [90, 111, 16, 16, 15, 11, 20, 16, 630, 75], [20, 250, 13, 23, 10, 13, 35, 51, 110, 475]]"
8,8,50,0.43946,0.4734,"[[495, 69, 49, 18, 40, 7, 39, 28, 200, 55], [26, 656, 15, 18, 13, 15, 19, 17, 81, 140], [66, 30, 366, 63, 118, 68, 158, 79, 33, 19], [29, 30, 91, 265, 58, 161, 225, 55, 30, 56], [29, 25, 149, 31, 351, 44, 233, 86, 34, 18], [13, 24, 99, 186, 57, 317, 162, 89, 26, 27], [4, 18, 84, 45, 96, 30, 669, 20, 15, 19], [38, 29, 62, 69, 83, 63, 77, 497, 36, 46], [69, 100, 18, 10, 19, 13, 21, 18, 664, 68], [22, 245, 16, 29, 13, 9, 44, 51, 117, 454]]"
9,9,50,0.44712,0.4779,"[[537, 52, 41, 19, 29, 6, 43, 36, 180, 57], [39, 615, 16, 16, 11, 14, 18, 20, 94, 157], [65, 27, 372, 60, 109, 72, 152, 92, 34, 17], [35, 29, 91, 265, 54, 165, 209, 66, 30, 56], [34, 24, 151, 33, 328, 42, 227, 104, 36, 21], [14, 22, 100, 168, 52, 335, 153, 99, 27, 30], [9, 14, 79, 45, 95, 31, 663, 24, 16, 24], [39, 25, 54, 71, 79, 66, 75, 504, 36, 51], [84, 81, 18, 15, 16, 9, 20, 18, 667, 72], [27, 205, 15, 26, 11, 13, 39, 57, 114, 493]]"
10,10,50,0.44732,0.4744,"[[532, 68, 44, 20, 32, 4, 40, 29, 177, 54], [33, 659, 17, 15, 7, 10, 20, 20, 82, 137], [72, 28, 358, 74, 119, 62, 159, 77, 31, 20], [39, 33, 87, 280, 58, 152, 209, 58, 30, 54], [36, 31, 132, 34, 334, 51, 229, 101, 32, 20], [15, 25, 92, 198, 55, 305, 162, 90, 25, 33], [8, 20, 67, 45, 105, 32, 664, 20, 17, 22], [38, 24, 46, 73, 84, 65, 82, 498, 36, 54], [83, 95, 18, 11, 16, 11, 17, 19, 661, 69], [26, 252, 14, 29, 10, 10, 38, 47, 121, 453]]"
11,11,50,0.44728,0.4756,"[[530, 50, 67, 18, 39, 9, 38, 24, 171, 54], [46, 594, 22, 16, 15, 16, 20, 17, 88, 166], [61, 22, 348, 62, 170, 64, 155, 69, 30, 19], [32, 28, 93, 238, 83, 181, 200, 58, 30, 57], [33, 20, 119, 27, 407, 46, 199, 97, 30, 22], [14, 21, 98, 168, 70, 342, 153, 84, 21, 29], [10, 14, 62, 39, 139, 28, 646, 22, 16, 24], [41, 24, 52, 63, 102, 69, 71, 488, 36, 54], [98, 75, 23, 15, 18, 10, 20, 16, 654, 71], [31, 191, 20, 26, 15, 16, 35, 39, 118, 509]]"
12,12,50,0.45484,0.4818,"[[555, 50, 48, 18, 31, 12, 43, 31, 165, 47], [43, 615, 16, 16, 9, 13, 17, 25, 87, 159], [68, 26, 356, 78, 115, 66, 165, 74, 34, 18], [37, 31, 83, 277, 54, 183, 203, 55, 28, 49], [34, 21, 134, 43, 345, 50, 219, 102, 31, 21], [17, 17, 89, 175, 57, 366, 148, 84, 23, 24], [8, 15, 67, 53, 95, 29, 673, 19, 17, 24], [37, 21, 49, 81, 79, 70, 79, 502, 34, 48], [97, 87, 18, 15, 21, 14, 18, 17, 651, 62], [32, 216, 17, 30, 15, 17, 32, 40, 123, 478]]"
13,13,50,0.45472,0.4795,"[[499, 59, 47, 19, 33, 12, 34, 35, 205, 57], [28, 635, 15, 15, 6, 15, 15, 25, 97, 149], [63, 26, 330, 73, 152, 74, 147, 81, 35, 19], [33, 32, 82, 273, 65, 180, 187, 67, 30, 51], [27, 22, 103, 37, 398, 54, 189, 115, 35, 20], [12, 17, 79, 175, 59, 365, 146, 97, 26, 24], [11, 18, 57, 50, 127, 34, 634, 32, 17, 20], [27, 23, 45, 70, 87, 83, 62, 519, 37, 47], [71, 86, 14, 15, 20, 15, 16, 15, 674, 74], [23, 239, 14, 29, 11, 19, 35, 48, 114, 468]]"
14,14,50,0.4597,0.4824,"[[527, 59, 50, 17, 33, 13, 42, 34, 179, 46], [36, 621, 16, 18, 6, 10, 19, 28, 96, 150], [66, 22, 353, 55, 136, 73, 163, 80, 34, 18], [34, 30, 79, 258, 64, 181, 222, 59, 30, 43], [33, 20, 125, 36, 377, 51, 205, 105, 30, 18], [15, 17, 82, 161, 53, 364, 167, 92, 28, 21], [11, 13, 62, 41, 105, 39, 667, 25, 18, 19], [31, 20, 45, 74, 88, 78, 70, 520, 34, 40], [86, 84, 15, 18, 18, 11, 19, 16, 669, 64], [27, 215, 18, 28, 14, 17, 34, 48, 131, 468]]"
15,15,50,0.45584,0.4759,"[[505, 57, 50, 24, 46, 9, 39, 37, 198, 35], [38, 599, 15, 26, 11, 10, 18, 25, 122, 136], [63, 25, 346, 79, 145, 72, 149, 74, 32, 15], [35, 32, 70, 305, 75, 167, 204, 59, 25, 28], [30, 20, 118, 49, 404, 41, 194, 100, 31, 13], [14, 14, 80, 202, 65, 328, 167, 85, 25, 20], [7, 17, 63, 57, 124, 28, 651, 21, 17, 15], [28, 18, 46, 86, 92, 83, 71, 507, 32, 37], [74, 89, 19, 20, 20, 12, 22, 13, 681, 50], [28, 226, 19, 35, 13, 17, 42, 49, 138, 433]]"
