,Round,Daisy,Epoch,Test Accuracy,Confusion Matrix
0,0,10,10,0.601,"[[600, 22, 56, 25, 31, 11, 29, 19, 159, 48], [26, 710, 4, 15, 9, 8, 19, 7, 64, 138], [64, 12, 421, 77, 148, 72, 125, 40, 26, 15], [14, 17, 53, 433, 83, 166, 130, 46, 24, 34], [24, 9, 73, 69, 549, 42, 97, 114, 17, 6], [12, 10, 46, 259, 65, 440, 67, 75, 12, 14], [6, 11, 46, 73, 66, 19, 753, 10, 7, 9], [9, 6, 21, 75, 90, 71, 26, 663, 7, 32], [62, 46, 14, 21, 16, 6, 10, 10, 769, 46], [32, 117, 14, 26, 9, 8, 22, 21, 79, 672]]"
1,1,10,10,0.6031,"[[591, 20, 57, 27, 32, 9, 32, 21, 157, 54], [21, 687, 6, 18, 9, 7, 22, 7, 57, 166], [56, 13, 438, 68, 153, 65, 132, 41, 21, 13], [13, 16, 53, 423, 80, 162, 153, 52, 21, 27], [22, 7, 73, 67, 561, 32, 105, 111, 17, 5], [7, 9, 45, 268, 73, 427, 73, 75, 12, 11], [6, 11, 36, 68, 67, 18, 774, 5, 7, 8], [7, 7, 22, 65, 101, 67, 29, 664, 6, 32], [57, 42, 17, 25, 19, 4, 10, 8, 771, 47], [32, 98, 12, 29, 9, 5, 23, 20, 77, 695]]"
2,2,10,10,0.5973,"[[587, 20, 65, 31, 43, 9, 32, 29, 118, 66], [24, 663, 4, 17, 11, 15, 33, 9, 51, 173], [50, 9, 401, 79, 168, 65, 158, 36, 18, 16], [10, 10, 40, 435, 97, 160, 163, 46, 12, 27], [16, 3, 55, 65, 591, 32, 118, 102, 10, 8], [5, 8, 42, 270, 89, 415, 87, 70, 7, 7], [5, 9, 31, 59, 63, 21, 798, 4, 4, 6], [5, 6, 18, 79, 110, 71, 32, 652, 2, 25], [63, 45, 16, 34, 24, 8, 17, 10, 722, 61], [22, 95, 16, 37, 12, 14, 28, 21, 46, 709]]"
3,3,10,10,0.6026,"[[625, 20, 42, 26, 34, 10, 30, 25, 142, 46], [26, 693, 3, 19, 10, 9, 20, 8, 71, 141], [64, 9, 424, 78, 151, 64, 138, 37, 23, 12], [13, 16, 43, 442, 82, 154, 145, 49, 24, 32], [24, 6, 70, 73, 574, 29, 94, 104, 20, 6], [10, 8, 41, 283, 75, 408, 75, 77, 11, 12], [7, 10, 34, 78, 63, 14, 770, 9, 9, 6], [8, 9, 18, 78, 101, 66, 28, 657, 7, 28], [67, 46, 15, 22, 18, 8, 10, 8, 759, 47], [38, 111, 10, 27, 8, 13, 21, 21, 77, 674]]"
4,4,10,10,0.6019,"[[607, 20, 52, 32, 33, 9, 29, 21, 149, 48], [27, 702, 5, 14, 11, 10, 18, 5, 61, 147], [60, 10, 431, 78, 142, 71, 134, 36, 22, 16], [12, 19, 50, 434, 79, 163, 153, 39, 22, 29], [21, 8, 73, 75, 550, 36, 107, 104, 19, 7], [10, 8, 42, 281, 69, 423, 77, 66, 12, 12], [6, 12, 34, 70, 53, 19, 783, 7, 9, 7], [7, 7, 22, 79, 99, 79, 31, 635, 6, 35], [61, 44, 13, 23, 17, 8, 10, 8, 768, 48], [34, 115, 12, 31, 9, 7, 20, 18, 68, 686]]"
5,5,10,10,0.6039,"[[593, 25, 58, 25, 39, 10, 30, 21, 142, 57], [24, 709, 3, 17, 11, 9, 19, 5, 54, 149], [54, 12, 430, 76, 157, 65, 138, 29, 21, 18], [13, 19, 48, 445, 86, 149, 145, 42, 23, 30], [18, 7, 71, 76, 589, 26, 100, 90, 16, 7], [9, 9, 46, 286, 81, 403, 75, 67, 12, 12], [6, 11, 32, 69, 65, 17, 776, 6, 9, 9], [6, 6, 20, 80, 108, 66, 32, 639, 6, 37], [60, 47, 16, 22, 18, 5, 11, 7, 764, 50], [26, 117, 13, 29, 9, 8, 19, 15, 73, 691]]"
6,6,10,10,0.6016,"[[598, 25, 54, 33, 31, 11, 26, 17, 153, 52], [23, 722, 5, 16, 9, 8, 18, 4, 71, 124], [61, 12, 449, 95, 129, 58, 125, 37, 22, 12], [13, 16, 46, 480, 71, 142, 129, 45, 24, 34], [25, 8, 71, 87, 541, 41, 91, 110, 18, 8], [12, 12, 44, 312, 66, 394, 67, 67, 15, 11], [11, 10, 32, 87, 59, 15, 755, 9, 12, 10], [11, 6, 20, 89, 96, 70, 28, 634, 10, 36], [57, 47, 13, 26, 16, 6, 9, 9, 776, 41], [33, 121, 11, 33, 8, 8, 18, 18, 83, 667]]"
7,7,10,10,0.605,"[[595, 25, 57, 25, 38, 11, 30, 20, 137, 62], [18, 705, 5, 16, 10, 9, 22, 6, 48, 161], [57, 11, 431, 76, 146, 66, 140, 38, 21, 14], [12, 21, 47, 433, 77, 174, 146, 45, 18, 27], [19, 7, 73, 71, 557, 37, 104, 111, 14, 7], [10, 9, 47, 264, 74, 430, 73, 71, 10, 12], [5, 10, 31, 73, 56, 25, 779, 5, 6, 10], [7, 4, 20, 72, 101, 73, 30, 653, 6, 34], [56, 46, 14, 26, 17, 7, 12, 10, 756, 56], [27, 105, 10, 30, 9, 9, 23, 17, 59, 711]]"
8,8,10,10,0.6037,"[[633, 20, 40, 33, 28, 10, 25, 20, 135, 56], [25, 673, 6, 19, 9, 9, 19, 5, 60, 175], [64, 10, 433, 95, 146, 61, 117, 34, 22, 18], [14, 16, 46, 478, 84, 149, 116, 43, 23, 31], [24, 8, 67, 79, 567, 45, 85, 100, 15, 10], [14, 10, 43, 307, 66, 407, 59, 68, 11, 15], [8, 9, 36, 108, 55, 14, 743, 8, 9, 10], [12, 7, 18, 86, 107, 69, 26, 632, 8, 35], [69, 41, 15, 24, 14, 4, 9, 8, 768, 48], [36, 91, 10, 35, 7, 8, 18, 19, 73, 703]]"
9,9,10,10,0.6032,"[[594, 16, 59, 26, 29, 11, 29, 20, 156, 60], [19, 684, 5, 17, 9, 9, 21, 6, 69, 161], [56, 10, 465, 75, 138, 64, 124, 31, 21, 16], [13, 17, 58, 425, 84, 151, 156, 39, 24, 33], [21, 7, 79, 72, 560, 38, 103, 98, 16, 6], [11, 9, 51, 270, 72, 420, 78, 64, 12, 13], [7, 9, 39, 67, 60, 18, 777, 6, 7, 10], [8, 5, 24, 82, 103, 74, 35, 622, 8, 39], [52, 35, 17, 23, 17, 6, 12, 5, 784, 49], [28, 93, 13, 30, 10, 8, 20, 19, 78, 701]]"
